# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_apartments
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	906.061462 1224.495361 45.117039	2.216 -18.398 -83.943
weapon_jm_secondary_heavy	115.448418 1594.612915 45.136005	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	914.261780 1745.461548 45.146114	2.227 -18.491 -84.240
weapon_jm_secondary_heavy	107.085854 -787.137390 45.123035	2.219 -18.436 -84.004
weapon_jm_secondary_heavy	1887.703857 1887.999268 8.853013	2.223 -18.473 -84.119
weapon_jm_secondary_heavy	1894.455200 -875.396729 8.871082	2.230 -18.490 -84.304
weapon_jm_secondary_heavy	1944.414063 483.016754 41.371437	1.952 -18.760 -85.879
weapon_jm_secondary_heavy	90.611267 -600.684937 256.970490	1.900 -20.612 -85.970
weapon_jm_grenade_jump	916.738831 1236.875366 44.447693	-2.320 -1.370 -1.269
weapon_jm_grenade_jump	107.199013 1589.100952 44.464828	-1.692 -1.464 -0.925
weapon_jm_grenade_jump	115.017540 -204.681931 44.450485	-2.218 -1.361 -1.213
weapon_jm_grenade_jump	911.238892 -555.465393 44.458141	-1.937 -1.428 -1.059
weapon_jm_grenade_jump	424.262238 -192.096390 292.431732	-1.739 -1.399 -1.843
weapon_jm_grenade_jump	593.972778 1209.362793 292.444550	-2.428 -1.323 -1.327
weapon_jm_grenade_jump	278.285706 532.774414 36.453182	-2.120 -1.402 -1.159
weapon_jm_grenade_jump	-990.495728 481.658478 256.137909	-0.987 -1.295 -0.575
weapon_jm_grenade_jump	2010.837769 513.732849 256.127655	-1.096 -1.264 -0.639
weapon_jm_grenade_jump	519.255432 513.446228 216.172806	-2.088 -1.401 -1.142
weapon_jm_grenade_jump	118.010735 -605.083374 256.144592	-0.853 -1.651 -1.302
weapon_jm_grenade_jump	908.563538 1636.473511 256.130737	-0.991 -1.578 -1.514
item_jm_ammo_light	1554.432861 91.977127 36.465137	0.447 0.054 0.040
item_jm_ammo_light	1554.449097 103.650040 36.415554	0.433 0.068 0.058
item_jm_ammo_light	1646.429565 939.563354 36.469925	0.448 0.054 0.038
item_jm_ammo_light	1645.401001 924.877930 36.538891	0.429 2.193 -0.007
item_jm_ammo_light	903.757385 -603.501892 44.625870	0.442 0.057 0.046
item_jm_ammo_light	902.575134 -587.319824 44.591507	0.432 0.068 0.059
item_jm_ammo_light	122.984642 -167.224197 44.593906	0.433 0.068 0.058
item_jm_ammo_light	120.772942 -179.775772 44.631439	0.443 0.057 0.044
item_jm_ammo_light	294.460724 473.401520 36.623989	0.441 0.057 0.047
item_jm_ammo_light	284.584412 474.540375 36.636791	0.445 0.055 0.042
item_jm_ammo_light	276.881195 475.389740 36.638512	0.445 0.055 0.041
item_jm_ammo_light	788.437866 1200.395020 532.648071	0.448 0.054 0.038
item_jm_ammo_light	787.553589 1182.461304 532.625671	0.442 0.057 0.046
item_jm_ammo_light	233.427628 -175.296509 532.631226	0.444 0.057 0.044
item_jm_ammo_light	227.399567 -165.589645 532.683655	1.430 0.915 -0.011
item_jm_ammo_light	434.472717 -146.236572 292.602936	0.435 0.064 0.054
item_jm_ammo_light	432.970825 -159.763489 292.641632	0.446 0.054 0.040
item_jm_ammo_light	599.767090 1180.322144 292.639954	0.446 0.055 0.041
item_jm_ammo_light	588.839417 1179.416138 292.639954	0.446 0.055 0.041
item_jm_ammo_light	-993.649231 521.089172 256.333069	0.464 0.066 0.050
item_jm_ammo_light	-983.440002 520.371582 256.346832	0.465 0.064 0.045
item_jm_ammo_light	2017.386108 480.154541 256.362518	0.467 0.060 0.039
item_jm_ammo_light	2007.594360 476.806671 256.360901	0.467 0.060 0.040
item_jm_ammo_light	85.006500 1962.628540 496.397217	0.463 0.054 0.029
item_jm_ammo_light	95.519920 1964.324585 496.340546	0.452 0.063 0.052
item_jm_ammo_light	933.393311 -940.131653 496.357056	0.455 0.059 0.046
item_jm_ammo_light	914.614868 -942.911865 496.323883	0.448 0.067 0.059
item_jm_ammo_light	913.940796 1647.373169 256.384644	0.239 0.674 0.029
item_jm_ammo_light	924.303894 1648.394165 256.355377	0.455 0.062 0.045
item_jm_ammo_heavy	904.387573 1190.810547 44.664207	-0.461 -0.002 0.448
item_jm_ammo_heavy	904.480225 1206.274536 44.726910	-0.560 -0.005 0.465
item_jm_ammo_heavy	119.913506 1626.816284 44.649250	0.779 0.008 -0.554
item_jm_ammo_heavy	121.319656 1612.829712 44.727093	-0.555 -0.005 0.460
item_jm_ammo_heavy	921.684753 -520.579102 44.656796	0.514 0.018 -0.341
