# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_block_alley
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	1438.813843 -482.543915 1240.970581	1.947 -20.587 -85.888
weapon_jm_secondary_heavy	1387.093018 -625.933105 560.970581	1.951 -20.587 -85.880
weapon_jm_secondary_heavy	1509.092651 -3111.432373 720.854797	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	862.798340 -2623.627197 680.882446	2.234 -18.490 -84.421
weapon_jm_secondary_heavy	1729.030396 -3218.162354 560.859924	2.226 -18.489 -84.190
weapon_jm_secondary_heavy	1029.437012 -2631.056885 520.793762	-0.448 -24.386 -84.362
weapon_jm_secondary_heavy	1618.453735 -2332.418213 520.976257	2.246 -22.184 -85.818
weapon_jm_secondary_heavy	1497.926758 -2170.549316 200.981995	2.589 -19.911 -85.677
weapon_jm_secondary_heavy	1476.273682 -359.383850 480.970245	1.717 -19.212 -86.287
weapon_jm_grenade_jump	1655.356201 -3302.459473 1040.161499	-2.502 -1.323 -1.368
weapon_jm_grenade_jump	1538.486084 -577.869019 1121.706787	-49.958 -60.901 -86.455
weapon_jm_grenade_jump	1461.597900 -492.362335 1240.203003	-0.518 -1.387 -0.855
weapon_jm_grenade_jump	1185.276611 -1332.996460 441.690491	17.616 -151.885 -90.845
weapon_jm_grenade_jump	1271.109497 -994.950195 601.784668	-47.479 37.243 -86.544
weapon_jm_grenade_jump	1913.034912 -980.613037 600.140381	-1.918 -1.293 -1.943
weapon_jm_grenade_jump	1243.861450 -2595.125977 680.190063	-2.041 -1.740 -0.448
weapon_jm_grenade_jump	1442.437378 -3437.914063 920.156738	0.275 -27.476 0.531
weapon_jm_grenade_jump	1820.793213 -2305.864258 200.170166	-2.185 -1.389 -1.195
item_jm_ammo_light	1655.642578 -3330.323242 880.326050	0.449 0.068 0.058
item_jm_ammo_light	1666.762329 -3313.931396 1040.344482	0.453 0.061 0.051
item_jm_ammo_light	1537.112305 -552.663513 920.414307	0.664 0.236 -0.006
item_jm_ammo_light	1532.812622 -624.154358 720.362122	0.457 0.060 0.043
item_jm_ammo_light	1578.532349 -629.557739 560.363770	0.457 0.060 0.042
item_jm_ammo_light	1899.365845 -587.020996 520.404358	0.362 0.054 -0.087
item_jm_ammo_light	1027.622925 -535.807312 520.390320	0.462 0.055 0.032
item_jm_ammo_light	1902.520020 -3184.162598 520.360413	0.456 0.058 0.044
item_jm_ammo_light	1028.743164 -3133.934326 520.353577	0.454 0.059 0.047
item_jm_ammo_light	1338.548828 -2107.454590 520.357056	0.455 0.059 0.046
item_jm_ammo_light	1415.945557 -1568.562012 600.362061	0.456 0.058 0.043
item_jm_ammo_light	1027.366821 -1333.162720 520.338623	0.451 0.064 0.053
item_jm_ammo_light	2069.231445 -1456.341431 520.365295	0.457 0.058 0.042
item_jm_ammo_light	1773.086670 -2694.875732 280.314850	0.448 0.075 0.061
item_jm_ammo_light	1139.352661 -1424.437988 320.312500	0.447 0.075 0.062
item_jm_ammo_light	1900.354614 -939.915039 320.340576	0.452 0.064 0.052
item_jm_ammo_heavy	1656.886353 -3344.832764 880.439087	0.658 -0.009 0.543
item_jm_ammo_heavy	1653.854248 -3313.588135 1040.400024	1.037 0.018 0.856
item_jm_ammo_heavy	1531.017944 -579.850586 1120.427002	-0.671 -0.006 0.597
item_jm_ammo_heavy	1475.696655 -485.457642 1240.493164	-0.179 1.443 0.074
item_jm_ammo_heavy	1455.603394 -483.585052 1240.376709	0.017 0.033 0.001
item_jm_ammo_heavy	1375.052002 -617.072266 560.475891	-0.268 4.323 0.256
item_jm_ammo_heavy	1013.481812 -543.684204 520.405273	-0.844 -0.007 0.750
item_jm_ammo_heavy	1505.363281 -3097.218750 720.396973	-0.937 -0.003 0.830
item_jm_ammo_heavy	859.122131 -2610.559570 680.397461	-0.919 -0.009 0.818
item_jm_ammo_heavy	1022.457214 -3160.124756 520.512390	-0.064 -0.159 -1.558
