# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_breakdown
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-217.022491 1165.899780 40.759209	-0.605 -26.865 -89.678
weapon_jm_secondary_heavy	214.150146 1168.988281 40.404179	-3.159 -24.317 -86.787
weapon_jm_secondary_heavy	211.100784 874.572571 40.885742	1.941 -22.840 -90.621
weapon_jm_secondary_heavy	-217.343338 879.250366 40.637699	-3.112 -27.236 -88.705
weapon_jm_grenade_jump	-29.678835 1095.070557 -728.339783	-1.807 -1.355 -1.913
weapon_jm_grenade_jump	33.899948 1098.769043 -728.331909	-1.602 -1.381 -1.696
weapon_jm_grenade_jump	-24.002329 952.204163 -728.346313	-1.978 -1.276 -2.095
weapon_jm_grenade_jump	33.741650 950.456848 -728.345215	-1.948 -1.297 -2.063
item_jm_ammo_light	24.839069 1008.229370 -248.117813	0.669 0.206 -0.016
item_jm_ammo_light	-26.320843 1007.047607 -248.160217	0.761 0.217 -0.024
item_jm_ammo_light	-24.408051 991.721619 -248.115204	0.663 0.206 -0.015
item_jm_ammo_light	19.512156 990.830322 -248.072083	0.263 4.485 -0.088
item_jm_ammo_light	-9.284478 938.380981 -728.152527	0.745 0.213 -0.022
item_jm_ammo_light	5.965246 938.235718 -728.150696	0.741 0.213 -0.022
item_jm_ammo_light	19.753792 937.978943 -728.135315	0.707 0.209 -0.019
item_jm_ammo_heavy	23.575752 1031.658081 -248.046539	-0.534 -0.020 0.542
item_jm_ammo_heavy	-28.388885 1035.705933 -248.131897	1.406 -0.003 -1.077
item_jm_ammo_heavy	24.629610 1046.879639 -248.071396	-0.763 -0.020 0.773
item_jm_ammo_heavy	-26.026159 1051.697510 -248.058258	-0.641 -0.019 0.650
item_jm_ammo_heavy	-13.727860 1109.545288 -728.082092	-1.036 -0.011 1.015
item_jm_ammo_heavy	7.997736 1110.018921 -728.077087	-0.851 -0.022 0.856
item_jm_ammo_heavy	22.793026 1107.947144 -728.139465	1.002 0.001 -0.744
item_jm_ammo_heavy	182.290634 1227.304688 -424.082489	-0.894 -0.031 0.897
item_jm_ammo_heavy	-203.167221 821.093872 -424.065979	0.726 0.015 0.648
weapon_jm_primary_smg	188.888107 826.885742 -423.414978	0.262 1.187 -87.242
weapon_jm_grenade_tag	-27.023119 1022.008789 -248.341888	-1.862 -1.303 -1.972
weapon_jm_grenade_tag	27.552856 1021.898621 -248.337708	-1.753 -1.349 -1.856
weapon_jm_primary_lmg	2.566215 954.246155 -730.687195	19.006 -0.195 3.009
weapon_jm_primary_lmg	-1.983685 1094.247681 -730.686646	19.053 -0.192 3.011
weapon_jm_primary_rifle	-192.095779 1216.959351 -423.551971	0.013 10.966 -88.219
weapon_jm_secondary_light	-215.012146 1194.757568 40.397732	-0.409 34.013 90.358
weapon_jm_secondary_light	214.050446 1197.811646 40.397537	-0.397 34.026 90.326
weapon_jm_secondary_light	212.603256 905.037476 40.398567	-0.462 33.994 90.496
