# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_cathedral
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-74.232056 -3339.667725 37.217937	2.255 -18.505 -84.978
weapon_jm_secondary_heavy	42.610184 -3336.840088 37.186676	2.498 -17.574 -84.743
weapon_jm_secondary_heavy	-2029.562256 -198.444382 37.132450	2.222 -18.469 -84.101
weapon_jm_secondary_heavy	2170.894531 -483.325378 37.152332	2.230 -18.490 -84.304
weapon_jm_secondary_heavy	2395.057129 -1839.831421 37.195110	2.246 -18.496 -84.743
weapon_jm_secondary_heavy	2260.236816 -1983.305176 101.136086	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	-857.414490 -463.356049 37.110794	2.214 -18.387 -83.878
weapon_jm_secondary_heavy	-581.461792 -1052.739014 -47.029911	1.566 -19.253 -86.550
weapon_jm_secondary_heavy	-160.177643 -1857.845215 -47.029579	1.835 -19.173 -86.081
weapon_jm_secondary_heavy	805.153748 -1863.243042 -47.029892	1.587 -19.242 -86.513
weapon_jm_secondary_heavy	225.786163 -1471.537964 -47.140831	19.115 -14.176 -52.592
weapon_jm_grenade_jump	-2380.114258 -1275.354736 36.473618	-1.371 -1.490 -0.750
weapon_jm_grenade_jump	-2380.836670 -1167.823608 36.439632	-2.618 -1.234 -1.431
weapon_jm_grenade_jump	2178.815674 -228.105225 340.487396	-0.816 -1.139 -0.511
weapon_jm_grenade_jump	2178.798828 -740.459290 340.490265	-0.754 -1.511 -0.412
weapon_jm_grenade_jump	-0.054275 -412.946533 896.185730	-1.429 -1.452 -1.028
weapon_jm_grenade_jump	858.745300 -296.451172 272.155396	-0.801 -1.322 -0.467
weapon_jm_grenade_jump	2454.454590 -464.283630 257.277252	-2.320 -1.370 -1.269
weapon_jm_grenade_jump	2394.328125 -1850.249023 36.446762	-2.356 -1.359 -1.288
weapon_jm_grenade_jump	2190.071777 -1375.569946 100.493690	-0.640 -1.512 -0.350
weapon_jm_grenade_jump	-480.989868 -1467.960571 -47.863495	-1.002 -1.285 -0.584
weapon_jm_grenade_jump	607.324890 -1481.291626 -47.848053	-0.838 -1.322 -0.488
weapon_jm_grenade_jump	-656.062317 -1861.354736 -47.867813	-1.048 -1.284 -0.611
weapon_jm_grenade_jump	217.010788 -1459.577271 -47.841316	-0.766 -1.330 -0.446
item_jm_ammo_light	-2385.398926 -1126.448975 36.627781	0.442 0.057 0.045
item_jm_ammo_light	-2397.904785 -1249.154175 36.636787	0.445 0.055 0.042
item_jm_ammo_light	2173.129150 -191.493210 340.636536	0.445 0.055 0.042
item_jm_ammo_light	2173.472168 -706.423340 340.619843	0.440 0.060 0.048
item_jm_ammo_light	-1923.876099 -2213.099854 36.664124	0.453 0.051 0.032
item_jm_ammo_light	1982.716064 -512.998474 36.593937	0.433 0.068 0.058
item_jm_ammo_light	-1080.797363 -3090.310547 36.633266	0.444 0.055 0.043
item_jm_ammo_light	-969.052917 -3031.250244 172.627533	0.442 0.057 0.045
item_jm_ammo_light	887.893860 -3039.451904 164.607346	0.437 0.064 0.053
item_jm_ammo_light	778.891846 -3094.689453 28.620075	0.440 0.060 0.048
item_jm_ammo_light	2074.354980 -1386.336792 100.603233	0.435 0.064 0.054
item_jm_ammo_light	2086.323242 -1386.637939 100.652939	0.450 0.052 0.036
item_jm_ammo_light	48.849255 -2556.850830 48.340572	0.452 0.065 0.052
item_jm_ammo_light	-50.455864 -2558.376953 48.346321	0.453 0.062 0.049
item_jm_ammo_light	-486.322083 -2542.699463 0.374404	0.459 0.057 0.038
item_jm_ammo_light	-1516.654175 -1148.801880 0.353592	0.455 0.060 0.047
item_jm_ammo_light	479.103699 -2547.716553 0.374404	0.459 0.057 0.038
item_jm_ammo_light	1515.851929 -1151.852295 0.391504	0.462 0.055 0.031
item_jm_ammo_light	283.673676 -1317.864868 36.699245	0.463 0.049 0.019
item_jm_ammo_light	-351.208862 -1321.602051 36.605419	0.436 0.064 0.054
item_jm_ammo_light	415.404022 -614.727783 36.640202	0.446 0.055 0.041
item_jm_ammo_light	-418.588776 -597.115173 36.618069	0.440 0.060 0.049
item_jm_ammo_light	-603.759583 -1464.910034 -47.624760	0.211 -2.518 0.013
item_jm_ammo_light	-219.994766 -1479.582275 -47.686939	0.462 0.075 0.057
item_jm_ammo_light	-676.528625 -1853.623535 -47.662861	0.464 0.066 0.048
item_jm_ammo_light	-295.093597 -1851.894775 -47.642471	0.466 0.062 0.041
item_jm_ammo_light	432.815308 -505.653564 136.415466	0.681 0.208 0.014
item_jm_ammo_light	-432.864960 -505.800171 136.374268	0.783 0.153 0.028
item_jm_ammo_heavy	-95.506035 -3334.108154 36.668793	0.324 -0.000 0.324
item_jm_ammo_heavy	15.867645 -3336.838135 36.724297	0.687 0.006 0.572
item_jm_ammo_heavy	-2391.611572 -1176.614990 36.732624	0.520 -0.006 0.392
item_jm_ammo_heavy	-2397.769531 -1288.178833 36.665199	0.709 -0.000 0.637
item_jm_ammo_heavy	2164.685303 -744.495117 340.666840	-1.131 -0.012 0.992
item_jm_ammo_heavy	2171.443115 -234.325500 340.727875	-0.547 -0.005 0.453
item_jm_ammo_heavy	-1992.556519 -192.118332 36.727348	0.656 0.006 0.547
item_jm_ammo_heavy	2162.048096 -464.168640 36.734699	-0.492 -0.004 0.407
item_jm_ammo_heavy	-1052.469238 -3091.525391 36.703369	-0.805 -0.007 0.676
item_jm_ammo_heavy	-935.371033 -3028.004150 172.653397	0.756 -0.021 -0.537
item_jm_ammo_heavy	2393.438965 -1863.831909 36.665237	0.740 0.000 0.663
item_jm_ammo_heavy	2396.572266 -1821.879395 36.661850	-0.234 -0.004 -0.126
item_jm_ammo_heavy	2244.134521 -1980.634155 100.709785	0.443 1.105 0.619
item_jm_ammo_heavy	2048.191895 -1387.352539 100.657974	0.352 0.003 -0.211
item_jm_ammo_heavy	2057.370605 -1387.176147 100.745277	-0.404 -0.004 0.335
item_jm_ammo_heavy	-861.103760 -447.396210 36.659241	0.200 0.004 -0.088
item_jm_ammo_heavy	349.120758 -1321.371216 36.667534	0.255 -0.001 0.270
item_jm_ammo_heavy	-286.822754 -1323.799438 36.638599	-1.005 -0.001 -0.810
item_jm_ammo_heavy	414.505768 -600.782654 36.664108	-0.415 -0.002 0.409
item_jm_ammo_heavy	-417.028809 -617.895386 36.692402	-0.893 -0.009 0.753
item_jm_ammo_heavy	-578.151428 -1061.895996 -47.628578	0.766 -0.119 -0.533
item_jm_ammo_heavy	162.707626 -1856.705566 -47.655785	0.610 0.003 -0.485
item_jm_ammo_heavy	-162.321045 -1842.985840 -47.600029	-0.886 -0.015 0.787
item_jm_ammo_heavy	808.554016 -1841.316772 -47.550716	-0.492 -0.006 0.437
item_jm_ammo_heavy	232.657822 -1461.867676 -47.547146	-0.438 0.402 0.403
weapon_jm_primary_smg	-1873.958252 -2219.020996 37.251389	-0.013 5.875 -86.520
weapon_jm_primary_smg	1987.200928 -455.758423 37.375908	0.268 6.177 -87.226
weapon_jm_primary_smg	953.480591 -3042.728760 165.374969	0.293 6.174 -87.256
weapon_jm_primary_smg	844.005920 -3096.855957 29.374376	0.323 6.187 -87.293
