# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_circuit
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-2193.279297 360.572021 165.228333	2.220 -22.003 -85.154
weapon_jm_secondary_heavy	-2166.795166 356.819092 165.207123	2.251 -18.500 -84.869
weapon_jm_secondary_heavy	616.636169 237.541672 165.106201	2.212 -18.358 -83.834
weapon_jm_secondary_heavy	613.420715 218.734299 165.212112	2.253 -18.503 -84.920
weapon_jm_grenade_jump	-816.829651 -1175.618164 164.448410	-2.289 -1.366 -1.248
weapon_jm_grenade_jump	-794.367249 -1174.955811 164.451172	-2.185 -1.389 -1.194
weapon_jm_grenade_jump	-781.609558 -1176.192139 164.445541	-2.391 -1.322 -1.308
weapon_jm_grenade_jump	-775.031433 1620.087402 164.451172	-2.185 -1.389 -1.195
weapon_jm_grenade_jump	-802.693848 1622.559204 164.437210	-2.698 -1.246 -1.475
weapon_jm_grenade_jump	-821.953613 1617.959473 164.445541	-2.391 -1.322 -1.308
item_jm_ammo_light	-940.451843 -124.861343 164.694031	0.461 0.049 0.021
item_jm_ammo_light	-922.538452 -126.186554 164.583878	0.430 0.076 0.061
item_jm_ammo_light	-934.018921 -138.267151 164.621796	0.441 0.060 0.047
item_jm_ammo_light	-653.464233 579.991028 164.702057	0.464 0.049 0.018
item_jm_ammo_light	-666.130127 565.602173 164.648056	0.448 0.054 0.038
item_jm_ammo_light	-679.210938 580.465820 164.654114	0.450 0.052 0.036
item_jm_ammo_heavy	-943.001465 -102.643845 164.687607	1.030 0.096 0.810
item_jm_ammo_heavy	-927.231079 -101.481194 164.690872	0.472 1.432 0.426
item_jm_ammo_heavy	-939.341125 -86.030838 164.721359	0.614 -0.003 0.463
item_jm_ammo_heavy	-659.905579 535.708740 164.649490	0.777 0.008 -0.549
item_jm_ammo_heavy	-655.432129 553.802063 164.660278	0.055 0.003 0.029
item_jm_ammo_heavy	-673.345032 546.978516 164.713638	-0.665 -0.004 0.551
weapon_jm_primary_smg	605.908142 -404.478241 261.375671	0.268 6.177 -87.226
weapon_jm_primary_smg	607.891846 -436.946381 261.375305	0.281 6.176 -87.242
weapon_jm_primary_smg	-1459.157593 1622.553955 165.374695	0.302 6.174 -87.268
weapon_jm_primary_smg	-1415.484863 1621.551636 165.374313	0.316 6.184 -87.285
weapon_jm_grenade_tag	-1084.014404 354.648865 164.469223	-1.523 -1.475 -0.833
weapon_jm_grenade_tag	-1151.725708 356.792572 164.492310	-0.679 -1.512 -0.371
weapon_jm_grenade_tag	-443.988464 90.591812 164.456314	-1.996 -1.430 -1.091
weapon_jm_grenade_tag	-512.436157 91.128586 164.453796	-2.088 -1.401 -1.142
weapon_jm_grenade_tag	-475.997620 103.302887 164.458710	-1.908 -1.428 -1.043
weapon_jm_grenade_tag	-477.071594 77.605927 164.456314	-1.996 -1.430 -1.091
weapon_jm_grenade_tag	-1119.863281 347.774017 164.454651	-2.057 -1.402 -1.125
weapon_jm_grenade_tag	-1119.682373 371.216797 164.440460	-2.578 -1.238 -1.410
weapon_jm_primary_lmg	-480.221832 92.549721 162.089447	18.634 -0.362 2.992
weapon_jm_primary_lmg	-1116.606445 358.590973 162.089447	18.634 -0.367 2.992
weapon_jm_primary_rifle	-296.786621 -1163.203613 165.125229	0.197 11.252 -87.022
weapon_jm_primary_rifle	-291.733215 -1137.047241 165.122131	0.022 10.230 -87.572
weapon_jm_primary_rifle	-173.510880 1633.312988 165.138718	0.179 11.252 -87.171
weapon_jm_primary_rifle	-138.695511 1624.838135 165.144302	-0.030 12.753 -87.489
weapon_jm_secondary_light	-790.097290 -1182.132324 165.175613	-0.546 34.063 89.846
weapon_jm_secondary_light	-811.906311 -1180.985352 165.175369	-0.506 34.065 89.805
weapon_jm_secondary_auto	-817.583679 1631.679932 165.394104	-0.826 25.595 91.616
weapon_jm_secondary_auto	-788.641174 1635.558105 165.391815	-0.688 25.625 91.331
