# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_desert
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	346.320282 410.896698 160.970459	1.859 -20.628 -86.041
weapon_jm_secondary_heavy	366.313812 2209.856201 392.970520	1.942 -20.587 -85.897
weapon_jm_secondary_heavy	38.286278 2518.520508 160.970627	1.996 -20.568 -85.802
weapon_jm_secondary_heavy	1009.340637 1232.234253 165.131653	2.236 -18.491 -84.474
weapon_jm_secondary_heavy	1242.762695 1742.189209 0.889618	2.922 -16.621 -84.205
weapon_jm_secondary_heavy	2517.495117 2170.577148 0.864857	2.227 -18.491 -84.240
weapon_jm_secondary_heavy	1203.240234 740.489685 8.970557	1.947 -20.587 -85.888
weapon_jm_secondary_heavy	487.925385 495.562775 32.944420	2.033 -19.492 -85.450
weapon_jm_secondary_heavy	1983.175293 1815.858154 0.864857	2.227 -18.491 -84.240
weapon_jm_grenade_jump	356.121277 2209.367920 392.150757	-0.792 -1.677 -1.208
weapon_jm_grenade_jump	111.032501 2448.931885 464.148346	-0.816 -1.671 -1.245
weapon_jm_grenade_jump	557.515198 2002.711304 160.144577	-0.863 -1.650 -1.297
weapon_jm_grenade_jump	20.438780 2540.863525 160.122986	-1.068 -1.488 -1.632
weapon_jm_grenade_jump	1325.220093 1225.179688 248.150787	-0.792 -1.677 -1.208
weapon_jm_grenade_jump	2164.145264 343.309937 136.204529	-0.544 -1.569 -0.551
weapon_jm_grenade_jump	1738.276245 2287.511963 136.163559	-2.428 -1.323 -1.328
weapon_jm_grenade_jump	922.781799 1241.106201 35.501778	-0.780 -1.675 -1.190
weapon_jm_grenade_jump	1246.631958 1762.428589 0.161702	-2.210 -1.303 -1.591
weapon_jm_grenade_jump	1513.259033 2201.353516 0.152815	-2.822 -1.186 -1.544
weapon_jm_grenade_jump	2160.872803 2043.057617 -155.549728	-2.218 -1.361 -1.213
weapon_jm_grenade_jump	868.728027 642.209778 43.467846	-1.122 -1.329 -1.705
weapon_jm_grenade_jump	487.907837 487.800110 32.127682	-1.031 -1.553 -1.554
weapon_jm_grenade_jump	1190.857910 1146.151489 128.182449	-0.478 -1.747 -0.725
weapon_jm_grenade_jump	2292.798828 248.625961 8.155169	-1.596 -1.414 -1.625
weapon_jm_grenade_jump	1844.976318 1994.991699 137.041946	-28.541 0.385 -30.235
weapon_jm_grenade_jump	2158.653564 2287.593506 464.176117	-1.966 -1.430 -1.075
weapon_jm_grenade_jump	1471.746582 1279.779541 411.755157	-2.782 -1.170 -1.519
weapon_jm_grenade_jump	2176.330566 385.147675 419.769531	-2.252 -1.362 -1.231
weapon_jm_grenade_jump	1119.162354 639.824646 347.753998	-2.822 -1.186 -1.543
weapon_jm_grenade_jump	129.648331 2430.656494 627.754028	-2.822 -1.186 -1.544
weapon_jm_grenade_jump	2455.540283 1877.969727 -155.559555	-2.580 -1.238 -1.409
item_jm_ammo_light	93.092377 2452.214111 464.338654	0.452 0.066 0.052
item_jm_ammo_light	209.234879 2049.875977 160.423172	0.469 0.056 0.019
item_jm_ammo_light	483.712219 2350.758789 160.363754	0.457 0.060 0.042
item_jm_ammo_light	1338.066895 1227.162720 248.342575	0.453 0.064 0.050
item_jm_ammo_light	2179.625000 323.980743 136.473541	2.165 0.080 -1.157
item_jm_ammo_light	1746.790283 2280.595703 136.349991	0.454 0.061 0.048
item_jm_ammo_light	1572.900635 1213.957153 8.336645	0.452 0.066 0.053
item_jm_ammo_light	949.234863 1244.599609 35.680553	0.437 0.065 0.049
item_jm_ammo_light	1569.019531 1183.305908 128.344482	0.453 0.064 0.049
item_jm_ammo_light	795.804565 2285.678711 0.328217	0.449 0.067 0.057
item_jm_ammo_light	1521.296021 2195.761963 0.413773	0.466 0.053 0.023
item_jm_ammo_light	2092.761230 2538.039063 0.422013	0.623 4.349 0.066
item_jm_ammo_light	2405.155762 2368.770508 0.330368	0.450 0.068 0.056
item_jm_ammo_light	2080.479004 1993.688843 136.366867	0.457 0.058 0.041
item_jm_ammo_light	1590.824463 1823.485352 0.317089	0.447 0.072 0.061
item_jm_ammo_light	1847.751709 2111.429688 -155.384201	0.439 0.060 0.050
item_jm_ammo_light	2449.162354 2329.668701 -191.655609	0.452 0.061 0.051
item_jm_ammo_light	2183.115723 326.444489 8.365304	0.457 0.058 0.042
item_jm_ammo_light	867.174011 672.217651 43.705448	0.444 0.057 0.040
item_jm_ammo_light	1367.958862 608.591553 43.678432	0.436 0.066 0.050
item_jm_ammo_light	404.076202 501.726837 32.405579	0.465 0.056 0.025
item_jm_ammo_light	495.688080 394.691925 32.334610	0.452 0.066 0.053
item_jm_ammo_light	63.681221 48.257656 128.319366	0.447 0.072 0.061
item_jm_ammo_light	1198.833130 1131.847656 128.348221	0.454 0.064 0.048
item_jm_ammo_light	560.695190 2015.330078 160.358810	0.456 0.062 0.044
item_jm_ammo_light	2317.896484 245.983032 8.340570	0.452 0.065 0.052
item_jm_ammo_light	1241.935181 1358.866943 8.350060	0.455 0.064 0.047
item_jm_ammo_heavy	408.080719 342.352631 160.461563	1.181 -0.255 -0.260
