# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_divide
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-989.020996 -856.080261 37.121078	2.218 -18.429 -83.984
weapon_jm_secondary_heavy	-982.737610 -807.186523 37.159584	2.233 -18.491 -84.379
weapon_jm_secondary_heavy	-913.307190 980.509277 37.121086	2.218 -18.429 -83.984
weapon_jm_secondary_heavy	-865.752808 978.995728 37.123051	2.219 -18.436 -84.004
weapon_jm_grenade_jump	728.604187 -621.347290 172.452942	-2.120 -1.402 -1.159
weapon_jm_grenade_jump	-728.027588 -594.868530 172.455490	-2.026 -1.422 -1.108
weapon_jm_grenade_jump	-393.391144 15.426904 8.139300	-0.906 -1.607 -1.383
weapon_jm_grenade_jump	379.761902 -10.938185 8.144595	-0.853 -1.651 -1.302
item_jm_ammo_light	994.660889 -817.275574 36.623985	0.441 0.057 0.047
item_jm_ammo_light	997.375000 -852.574463 36.635040	0.444 0.055 0.043
item_jm_ammo_light	908.391418 1004.298645 36.645130	0.447 0.054 0.039
item_jm_ammo_light	869.697021 996.899170 36.715130	0.467 0.049 0.013
item_jm_ammo_heavy	737.813110 -624.498901 172.664948	-0.594 -0.003 0.555
item_jm_ammo_heavy	-742.238281 -598.705200 172.631195	0.810 0.003 -0.652
item_jm_ammo_heavy	-1002.254639 -849.155151 36.712654	-0.675 -0.004 0.559
item_jm_ammo_heavy	-1000.203369 -808.902222 36.660545	0.050 0.003 0.033
item_jm_ammo_heavy	-916.697510 1002.218933 36.630672	-0.681 -0.003 -0.546
item_jm_ammo_heavy	-862.869080 997.679565 36.707920	0.849 0.008 0.707
item_jm_ammo_heavy	-104.897308 981.027283 172.718582	0.741 0.007 0.617
item_jm_ammo_heavy	147.149811 984.949585 172.685806	1.075 -0.001 0.895
item_jm_ammo_heavy	-174.245026 -421.720276 36.733524	0.466 2.575 0.389
weapon_jm_primary_smg	-514.008423 -613.334534 45.374706	0.311 6.176 -87.279
weapon_jm_primary_smg	496.894257 -614.998047 45.375450	0.284 6.176 -87.246
weapon_jm_primary_smg	-349.399292 -971.447632 37.377907	0.252 6.269 -87.265
weapon_jm_primary_smg	-824.630676 8.695500 7.487245	-7.361 1.035 -2.353
weapon_jm_primary_smg	816.017822 -0.402482 7.495104	-7.452 1.173 -2.042
weapon_jm_grenade_tag	521.997620 -610.074829 44.453182	-2.120 -1.402 -1.159
weapon_jm_grenade_tag	-502.027771 -617.510132 44.471870	-1.135 -1.217 -1.001
weapon_jm_grenade_tag	994.647095 -834.852783 36.451416	-2.185 -1.389 -1.195
weapon_jm_grenade_tag	891.871033 989.523438 36.445782	-2.391 -1.323 -1.308
weapon_jm_grenade_tag	136.064316 981.638123 172.449356	-2.252 -1.362 -1.231
weapon_jm_grenade_tag	-110.022911 974.719421 173.761780	19.042 40.274 -89.299
weapon_jm_grenade_tag	-346.578217 -957.316467 38.520382	-37.131 -98.073 89.479
