# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_elevator_2
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-714.520203 1755.303345 1536.970337	1.742 -19.198 -86.245
weapon_jm_secondary_heavy	-694.080383 1755.697754 1536.970459	1.822 -19.174 -86.104
weapon_jm_secondary_heavy	-653.317322 1761.266724 1536.969849	1.409 -14.319 -86.824
weapon_jm_secondary_heavy	-638.387207 1758.975586 1536.970581	1.928 -19.147 -85.920
weapon_jm_secondary_heavy	221.962326 1685.340210 328.868011	2.229 -18.489 -84.273
weapon_jm_grenade_jump	234.868607 1757.753052 1344.184937	-1.642 -1.464 -0.897
weapon_jm_grenade_jump	1191.006714 1715.856567 1216.176147	-1.966 -1.430 -1.075
weapon_jm_grenade_jump	-837.519043 1728.255737 714.115601	25.109 -137.445 90.925
weapon_jm_grenade_jump	177.717377 1748.378906 328.155090	-2.739 -1.229 -1.497
item_jm_ammo_light	246.732483 1777.625122 512.430237	0.936 -0.397 -0.888
item_jm_ammo_light	264.143463 1776.261719 512.423889	0.947 0.067 -0.985
item_jm_ammo_light	255.568497 1777.720825 512.414246	0.677 0.057 -0.928
item_jm_ammo_light	198.638931 1777.556396 512.432617	1.125 -0.415 -0.990
item_jm_ammo_light	187.150375 1777.676514 512.455688	1.003 -0.470 -0.578
item_jm_ammo_light	179.668488 1777.699585 512.429993	0.759 -0.310 -0.765
item_jm_ammo_light	691.590820 1774.523071 1024.373291	0.468 0.059 0.035
item_jm_ammo_light	703.319458 1776.044678 1024.385620	0.469 0.058 0.031
item_jm_ammo_light	714.505066 1776.489502 1024.326660	0.463 0.070 0.052
item_jm_ammo_light	627.447815 1776.533081 1024.328857	0.463 0.070 0.051
item_jm_ammo_light	638.773865 1776.695435 1024.373291	0.468 0.059 0.035
item_jm_ammo_light	647.255371 1775.635864 1024.350464	0.466 0.064 0.044
item_jm_ammo_light	-248.659103 1774.151611 1024.320068	0.463 0.075 0.055
item_jm_ammo_light	-261.353882 1773.961548 1024.333008	0.464 0.066 0.050
item_jm_ammo_light	-276.611511 1777.800903 1024.349487	0.492 0.044 0.026
item_jm_ammo_light	-199.639938 1777.200562 1024.343018	0.465 0.064 0.046
item_jm_ammo_light	-185.250229 1776.562622 1024.402100	0.584 0.540 0.151
item_jm_ammo_light	-174.059189 1776.697632 1024.407593	0.552 -1.877 0.227
item_jm_ammo_heavy	259.318512 1752.332642 1344.399170	-1.040 0.017 0.884
item_jm_ammo_heavy	192.743134 1753.985962 1344.355225	1.041 0.001 -0.836
item_jm_ammo_heavy	-844.106079 1722.475098 712.390015	-0.996 0.018 0.882
item_jm_ammo_heavy	-826.482178 1721.201294 712.375427	0.672 -0.001 -0.458
item_jm_ammo_heavy	-650.309875 1772.734009 1536.460083	-0.294 1.688 0.423
item_jm_ammo_heavy	-636.695435 1773.565552 1536.372070	0.762 -0.122 -0.527
item_jm_ammo_heavy	-695.433167 1773.562988 1536.423828	-0.688 -0.006 0.613
item_jm_ammo_heavy	-713.847046 1773.093384 1536.432251	-0.673 -0.004 0.523
item_jm_ammo_heavy	-623.075195 1773.847046 1536.355347	1.043 0.000 -0.839
item_jm_ammo_heavy	-726.768677 1774.974731 1536.430786	-0.636 -0.006 0.565
item_jm_ammo_heavy	274.944458 1454.635620 704.445618	-0.528 -0.007 0.468
item_jm_ammo_heavy	193.752701 1695.130615 328.376617	0.487 0.018 -0.309
item_jm_ammo_heavy	254.327164 1699.644043 328.387695	-1.010 -0.011 0.895
weapon_jm_primary_smg	1205.349121 1720.398560 1217.093872	0.297 6.174 -87.261
weapon_jm_primary_smg	638.252930 1440.769409 1217.094116	0.289 6.175 -87.252
weapon_jm_primary_smg	-270.658569 1454.800537 1217.093750	0.302 6.174 -87.268
weapon_jm_grenade_tag	215.793274 1778.006714 512.122925	-1.147 -1.263 -0.668
weapon_jm_grenade_tag	230.712112 1776.871704 512.209106	-0.229 -1.370 -0.134
weapon_jm_grenade_tag	679.534607 1775.315674 1024.099731	-1.393 -1.219 -0.812
weapon_jm_grenade_tag	663.271118 1775.291748 1024.140625	-0.958 -1.299 -0.558
weapon_jm_grenade_tag	-233.375870 1776.246216 1024.105591	-1.332 -1.209 -0.776
weapon_jm_grenade_tag	-216.626266 1775.743896 1024.165771	-0.690 -1.337 -0.402
weapon_jm_grenade_tag	-681.854675 1776.084717 1536.136475	-1.002 -1.285 -0.584
weapon_jm_grenade_tag	-662.387878 1776.953613 1536.099854	-1.394 -1.219 -0.812
weapon_jm_primary_lmg	221.946289 1700.812500 325.808441	18.634 -0.363 2.992
weapon_jm_primary_rifle	-1186.974365 1719.642822 1728.879272	-0.105 11.267 -87.732
weapon_jm_primary_rifle	-700.257813 1447.815430 1728.944092	0.079 11.217 -88.333
weapon_jm_secondary_light	691.346924 1758.765503 1024.155518	36.402 0.466 0.297
weapon_jm_secondary_light	708.310730 1757.647095 1024.156494	36.397 0.463 0.293
weapon_jm_secondary_light	626.159973 1761.971191 1024.159058	36.384 0.456 0.280
weapon_jm_secondary_light	640.440063 1764.209595 1024.173828	36.308 0.412 0.206
weapon_jm_secondary_light	-197.909180 1764.053223 1024.159912	36.379 0.453 0.275
weapon_jm_secondary_light	-186.577560 1764.541626 1024.828247	0.622 42.316 88.869
weapon_jm_secondary_light	-269.467377 1762.667603 1024.148804	36.436 0.486 0.330
weapon_jm_secondary_light	-253.876526 1764.296631 1024.157349	36.393 0.461 0.288
weapon_jm_secondary_auto	174.883423 1772.378296 513.110413	-0.849 25.104 91.347
weapon_jm_secondary_auto	193.800278 1772.464478 513.110413	-0.849 25.104 91.347
weapon_jm_secondary_auto	242.549240 1772.756470 513.109131	-0.738 25.128 91.171
weapon_jm_secondary_auto	260.575378 1771.526611 513.110718	-0.869 25.103 91.379
weapon_jm_primary_sniper	222.862244 1754.433472 1343.174683	3.487 13.205 65.307
weapon_jm_primary_shotgun	-831.656860 1734.100952 713.475098	-0.429 -9.712 -89.444
weapon_jm_primary_shotgun	249.252228 1455.444702 705.453003	-0.496 -9.614 -89.005
item_jm_ammo_medium	-1225.943848 1721.939453 1728.349976	-0.130 -0.019 -0.039
item_jm_ammo_medium	-1216.304810 1722.331421 1728.387085	-0.098 -0.020 -0.030
item_jm_ammo_medium	1200.844849 1744.745850 1216.362793	-0.119 -0.019 -0.036
item_jm_ammo_medium	1209.275269 1746.362427 1216.390381	-0.095 -0.020 -0.029
item_jm_ammo_medium	-728.983582 1450.654907 1728.358643	-0.122 -0.019 -0.037
item_jm_ammo_medium	611.974060 1446.126221 1216.362793	-0.119 -0.019 -0.036
item_jm_ammo_medium	-298.618591 1463.994507 1216.393555	-0.092 -0.020 -0.028
weapon_jm_grenade_frag	-1202.467163 1713.407471 1729.549438	34.807 -20.500 -67.441
weapon_jm_grenade_frag	266.474121 1747.423462 330.088074	-35.630 -56.831 -89.832
ent_jm_carepackage_spawn	-1204.115112 1754.611084 1728.342285	0.001 0.000 -0.000
ent_jm_carepackage_spawn	222.104218 1725.802246 1344.360718	-0.014 -0.017 0.018
ent_jm_carepackage_spawn	1156.111572 1720.453857 1216.412720	0.008 0.000 0.007
ent_jm_carepackage_spawn	222.208664 1758.497925 337.002930	-0.016 0.016 -0.001
ent_jm_carepackage_spawn	-785.180054 1741.841675 712.342285	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-226.789764 1461.605469 1216.366943	-0.012 -0.017 0.017
ent_jm_carepackage_spawn	207.521988 1450.356689 704.386841	0.002 0.000 0.001
ent_jm_carepackage_spawn	-656.278381 1453.106934 1728.415894	-0.003 -0.011 0.005
