# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_elevator
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	265.265900 80.473579 160.861603	2.226 -18.490 -84.207
weapon_jm_secondary_heavy	275.791840 89.021194 160.849487	2.367 -37.931 -85.057
weapon_jm_grenade_jump	244.510452 17.496031 93.092155	83.543 -146.620 134.488
item_jm_ammo_light	278.709686 151.246231 160.326080	0.449 0.068 0.058
item_jm_ammo_light	267.398834 152.511688 160.384018	0.460 0.055 0.035
item_jm_ammo_light	277.944855 135.673416 160.344421	0.452 0.061 0.050
item_jm_ammo_light	265.622864 136.095657 160.332474	0.450 0.064 0.055
item_jm_ammo_light	281.547607 121.110664 160.410263	0.466 0.053 0.024
item_jm_ammo_light	265.616638 121.423950 160.323883	0.448 0.068 0.059
item_jm_ammo_light	281.805725 105.354240 160.344421	0.452 0.061 0.050
item_jm_ammo_light	269.076904 105.310059 160.312393	0.446 0.072 0.063
item_jm_ammo_light	243.861572 240.808701 0.386940	0.469 0.057 0.030
item_jm_ammo_light	244.359192 226.671890 0.352303	0.466 0.062 0.043
item_jm_ammo_light	244.687195 210.387726 0.344208	0.619 -0.019 -0.027
item_jm_ammo_light	244.367981 194.950043 0.370371	0.467 0.059 0.036
item_jm_ammo_light	243.959000 180.079880 0.359223	0.466 0.062 0.040
item_jm_ammo_light	233.603958 240.773087 0.367305	0.467 0.060 0.037
item_jm_ammo_light	234.106628 227.044876 0.364146	0.467 0.060 0.038
item_jm_ammo_light	232.806686 210.951462 0.367305	0.467 0.060 0.037
item_jm_ammo_light	232.886002 193.749069 0.360889	0.467 0.060 0.040
item_jm_ammo_light	233.583664 179.286484 0.350507	0.465 0.064 0.043
item_jm_ammo_heavy	276.881134 182.492233 160.381836	0.283 0.001 0.285
item_jm_ammo_heavy	264.846802 181.950119 160.427277	-0.672 -0.006 0.596
item_jm_ammo_heavy	276.426392 167.610062 160.433365	0.710 -0.007 0.585
item_jm_ammo_heavy	263.811127 168.163986 160.334946	-0.361 0.001 -0.308
weapon_jm_grenade_tag	243.942688 11.940061 92.561317	8.645 10.401 15.833
weapon_jm_grenade_tag	236.919464 12.635755 95.408524	-7.599 0.648 21.423
weapon_jm_secondary_light	233.760223 165.158554 0.159949	36.379 0.453 0.275
weapon_jm_secondary_light	234.231506 155.020599 0.154653	36.406 0.469 0.302
weapon_jm_secondary_light	233.553192 148.460251 0.141390	36.474 0.508 0.367
weapon_jm_secondary_light	233.124878 140.524582 0.154653	36.406 0.469 0.302
weapon_jm_secondary_light	232.097244 131.321655 0.162422	36.367 0.446 0.263
weapon_jm_secondary_light	234.341141 123.295662 0.178644	36.283 0.398 0.183
weapon_jm_secondary_light	234.658340 116.256592 0.148854	36.436 0.486 0.330
weapon_jm_secondary_light	234.957062 107.388603 0.141390	36.474 0.508 0.367
weapon_jm_secondary_light	235.768219 98.992134 0.166303	36.347 0.435 0.244
weapon_jm_secondary_light	237.366058 88.674957 0.163222	36.363 0.444 0.259
weapon_jm_secondary_auto	265.230591 73.632591 161.110687	-0.680 25.626 91.315
weapon_jm_secondary_auto	280.656433 75.773544 160.103210	1.094 2.905 5.575
weapon_jm_grenade_frag	220.992233 129.273605 290.155792	-36.664 -55.832 -91.427
ent_jm_carepackage_spawn	192.291840 126.373276 288.386505	0.045 -0.022 0.049
ent_jm_carepackage_spawn	125.121620 125.791420 0.359669	0.002 0.000 -0.001
ent_jm_carepackage_spawn	62.509804 64.026039 136.391907	0.003 0.000 0.002
ent_jm_carepackage_spawn	202.139893 61.887741 136.337921	-0.014 -0.016 0.023
ent_jm_carepackage_spawn	196.738708 205.831757 136.370377	0.001 0.000 0.001
ent_jm_carepackage_spawn	126.027489 198.079514 0.430720	0.026 -0.000 0.024
ent_jm_carepackage_spawn	127.254845 57.543594 0.361773	0.002 0.000 -0.001
