# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_garden
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-363.241730 -95.262024 -831.029358	1.971 -18.759 -85.846
weapon_jm_secondary_heavy	-413.994019 297.397491 37.150814	2.229 -18.490 -84.289
weapon_jm_secondary_heavy	-415.880249 233.157364 37.130638	2.221 -18.466 -84.082
weapon_jm_secondary_heavy	-418.418854 254.064041 165.159363	2.233 -18.491 -84.379
weapon_jm_secondary_heavy	-418.168701 317.913086 165.106201	2.212 -18.358 -83.834
weapon_jm_grenade_jump	-161.412750 -1463.756348 217.484360	18.800 45.580 -89.176
weapon_jm_grenade_jump	-97.835342 -282.223358 292.438293	-2.657 -1.239 -1.453
weapon_jm_grenade_jump	-866.176147 194.989243 292.437195	-2.698 -1.247 -1.475
weapon_jm_grenade_jump	-363.854614 -71.544128 -831.838379	-1.458 -1.457 -1.484
item_jm_ammo_light	-82.087379 -86.538612 -831.648132	0.454 0.060 0.047
item_jm_ammo_light	-419.462921 -366.933563 36.687881	0.460 0.050 0.023
item_jm_ammo_light	-416.796753 -385.702179 36.616039	0.439 0.060 0.050
item_jm_ammo_light	-409.008484 -368.668457 36.651379	0.449 0.052 0.037
item_jm_ammo_light	-406.316681 -385.632050 36.651379	0.449 0.052 0.037
item_jm_ammo_light	-157.426025 -205.173660 164.707184	0.507 1.038 0.021
item_jm_ammo_light	-157.434845 -220.269394 164.598389	0.434 0.068 0.056
item_jm_ammo_light	-145.621216 -226.439621 164.661194	0.452 0.052 0.033
item_jm_ammo_light	-146.597549 -211.002930 164.715317	0.244 0.305 -0.024
item_jm_ammo_light	-292.774628 -202.710205 164.701797	0.024 -2.761 0.250
item_jm_ammo_light	-297.399506 -222.537796 164.679459	0.457 0.050 0.026
item_jm_ammo_light	-305.980194 -205.822937 164.713104	0.489 -3.397 0.040
item_jm_ammo_light	-310.679993 -221.114563 164.652634	0.450 0.052 0.036
item_jm_ammo_light	-283.799835 135.127823 292.685486	0.313 -2.678 0.499
item_jm_ammo_light	-284.722351 118.901459 292.609497	0.437 0.064 0.052
item_jm_ammo_light	-294.975128 122.781197 292.704529	0.575 -0.687 -0.102
item_jm_ammo_light	-295.216095 136.559387 292.625641	0.442 0.057 0.046
item_jm_ammo_heavy	-158.764435 -278.733032 292.655365	0.683 -0.002 -0.477
