# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_houseparty
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-398.533966 529.365417 293.126648	2.220 -18.437 -84.044
weapon_jm_secondary_heavy	-371.716064 531.192322 293.204865	3.138 -16.544 -84.555
weapon_jm_secondary_heavy	364.090332 533.178467 293.101715	2.210 -18.356 -83.788
weapon_jm_secondary_heavy	398.713623 533.436646 293.171143	2.237 -18.492 -84.500
weapon_jm_secondary_heavy	306.103973 495.810303 37.106449	2.212 -18.358 -83.834
weapon_jm_secondary_heavy	303.380615 520.016174 37.163708	2.234 -18.490 -84.421
weapon_jm_secondary_heavy	-305.224792 496.608124 37.123055	2.219 -18.436 -84.004
weapon_jm_secondary_heavy	-306.556458 514.217957 37.184780	2.242 -18.495 -84.637
weapon_jm_secondary_heavy	-306.500824 528.001160 37.108631	2.213 -18.357 -83.856
weapon_jm_secondary_heavy	306.862915 483.891754 37.155308	2.231 -18.489 -84.335
weapon_jm_secondary_heavy	385.447937 531.662781 293.183502	2.242 -18.494 -84.627
weapon_jm_secondary_heavy	-384.486816 534.737183 293.251312	1.747 -20.295 -86.236
weapon_jm_grenade_jump	-94.328552 93.344376 -147.535385	-1.692 -1.464 -0.925
item_jm_ammo_light	-487.642975 -445.731384 292.641632	0.446 0.054 0.040
item_jm_ammo_light	-491.086731 -423.362671 292.621796	0.441 0.060 0.047
item_jm_ammo_light	487.666687 -421.849426 292.686676	0.459 0.049 0.024
item_jm_ammo_light	489.765594 -440.101624 292.613739	0.438 0.060 0.050
item_jm_ammo_light	493.611664 -402.114014 292.651123	0.449 0.052 0.037
item_jm_ammo_light	493.031708 -463.777252 292.691376	0.461 0.049 0.022
item_jm_ammo_light	-494.918121 -399.617371 292.615784	0.439 0.060 0.050
item_jm_ammo_light	-493.317078 -464.852600 292.655579	0.450 0.052 0.035
item_jm_ammo_light	-486.262848 -457.069519 36.652878	0.450 0.052 0.036
item_jm_ammo_light	-486.665680 -437.524017 36.596298	0.433 0.068 0.057
item_jm_ammo_light	-483.237244 -419.820099 36.652878	0.450 0.052 0.036
item_jm_ammo_light	-487.991486 -402.761658 36.717270	0.468 0.049 0.013
item_jm_ammo_light	495.635864 -401.034943 36.661438	0.452 0.052 0.033
item_jm_ammo_light	495.357178 -416.541473 36.661438	0.452 0.052 0.033
item_jm_ammo_light	494.156952 -437.499969 36.671696	0.455 0.050 0.029
item_jm_ammo_light	493.786102 -459.272369 36.598633	0.434 0.068 0.056
item_jm_ammo_heavy	-402.282623 545.230835 292.697784	-0.798 -0.003 0.661
item_jm_ammo_heavy	-362.698181 545.979614 292.636017	-1.014 0.010 -0.836
item_jm_ammo_heavy	374.883057 550.478516 292.659058	0.194 0.003 -0.083
item_jm_ammo_heavy	390.982025 550.175537 292.733551	-0.499 -0.004 0.413
item_jm_ammo_heavy	285.794891 483.369720 36.657017	-0.490 0.019 -0.336
item_jm_ammo_heavy	284.906525 501.870758 36.721836	0.608 -0.003 0.464
item_jm_ammo_heavy	282.103455 527.630554 36.662056	0.179 -0.001 0.207
item_jm_ammo_heavy	284.339569 543.489868 36.667091	-1.131 -0.012 0.992
item_jm_ammo_heavy	-284.459930 544.236572 36.726612	0.682 0.006 0.564
item_jm_ammo_heavy	-283.919189 524.670471 36.659679	-0.137 0.000 -0.048
item_jm_ammo_heavy	-285.422333 508.419464 36.713383	-0.529 -0.226 -0.269
item_jm_ammo_heavy	-284.279510 489.231964 36.693111	0.948 -0.002 0.742
item_jm_ammo_heavy	-107.330803 86.561226 -147.368759	-0.811 0.006 -0.670
weapon_jm_grenade_tag	101.759293 -460.923340 292.443542	-2.464 -1.325 -1.348
weapon_jm_grenade_tag	-103.562622 -459.540070 292.485077	-0.943 -1.507 -0.515
weapon_jm_grenade_tag	-103.934944 -464.656311 36.449596	-2.252 -1.362 -1.231
weapon_jm_grenade_tag	101.276039 -464.430176 36.430515	-2.953 -1.168 -1.615
weapon_jm_secondary_light	467.115967 -407.169220 293.176910	-0.750 34.052 90.057
weapon_jm_secondary_light	468.056274 -445.939392 293.175873	-0.589 34.061 89.890
weapon_jm_secondary_light	470.410797 -430.135529 293.176117	-0.625 34.060 89.928
weapon_jm_secondary_light	468.039246 -412.818695 37.175426	-0.476 34.065 89.774
weapon_jm_secondary_light	472.146912 -429.546356 37.175968	-0.563 34.062 89.863
weapon_jm_secondary_light	468.276611 -448.013062 37.175709	-0.522 34.064 89.821
weapon_jm_secondary_auto	-479.922272 -453.243591 293.393616	-0.797 25.608 91.557
weapon_jm_secondary_auto	-477.904602 -410.098907 293.391083	-0.644 25.631 91.240
weapon_jm_secondary_auto	-472.460571 -435.253632 293.393616	-0.797 25.608 91.557
weapon_jm_secondary_auto	-468.500458 -445.510376 37.394863	-0.855 25.578 91.678
weapon_jm_secondary_auto	-470.555298 -417.433502 37.387745	-0.431 25.641 90.800
weapon_jm_secondary_auto	-471.026764 -434.975464 37.394188	-0.816 25.596 91.596
weapon_jm_primary_sniper	-139.340607 101.618179 -148.598007	3.611 13.250 64.997
weapon_jm_grenade_frag	230.922089 516.825378 134.449326	-36.853 -55.625 -91.726
weapon_jm_grenade_frag	-234.562225 513.266846 134.375015	-35.718 -56.753 -89.964
ent_jm_carepackage_spawn	7.762816 -431.822784 256.382935	0.002 0.000 0.001
ent_jm_carepackage_spawn	1.693386 -711.560120 256.397858	0.004 0.000 0.003
ent_jm_carepackage_spawn	395.550934 -435.366821 256.348633	0.001 0.000 -0.001
ent_jm_carepackage_spawn	317.756744 333.466583 256.364441	0.001 0.000 0.001
ent_jm_carepackage_spawn	-371.906830 -327.064606 256.369843	0.002 0.000 0.000
ent_jm_carepackage_spawn	-394.741058 258.085388 256.368469	0.001 0.000 0.001
ent_jm_carepackage_spawn	-8.147522 552.498779 256.477966	-0.140 -0.000 0.069
ent_jm_carepackage_spawn	7.026217 501.806061 96.377594	-0.012 0.018 -0.016
ent_jm_carepackage_spawn	-8.351551 674.516418 96.359642	0.001 0.000 -0.000
ent_jm_carepackage_spawn	404.562134 499.567200 0.374313	0.001 0.000 0.001
ent_jm_carepackage_spawn	451.817444 -305.514984 0.399391	0.004 0.000 0.003
ent_jm_carepackage_spawn	5.918321 -429.488739 0.391592	0.003 0.000 0.002
ent_jm_carepackage_spawn	4.612262 -717.635803 0.359637	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-447.423187 -298.638855 0.343986	0.001 0.000 -0.001
ent_jm_carepackage_spawn	-471.870026 257.390778 0.390319	0.002 0.000 0.002
ent_jm_carepackage_spawn	-104.675789 182.898819 -183.672134	-0.013 -0.000 -0.013
ent_jm_carepackage_spawn	109.404045 207.719009 -183.629211	-0.009 -0.000 -0.011
ent_jm_carepackage_spawn	0.728345 791.882446 -151.550323	0.110 -0.000 0.110
ent_jm_carepackage_spawn	-549.836182 481.673340 0.419165	0.012 -0.000 0.012
ent_jm_carepackage_spawn	550.677368 482.218781 0.391885	0.002 0.000 0.002
ent_jm_carepackage_spawn	0.658520 17.543253 0.429702	0.025 -0.000 0.024
ent_jm_carepackage_spawn	-7.562232 102.433434 0.377635	0.002 0.000 0.001
ent_jm_carepackage_spawn	7.674317 188.155319 0.409694	0.007 0.000 0.006
ent_jm_carepackage_spawn	-147.439758 128.032349 0.363979	0.001 0.000 0.000
ent_jm_carepackage_spawn	156.621155 111.575905 0.371957	0.002 0.000 0.000
ent_jm_carepackage_spawn	118.133568 492.888428 96.405762	-0.010 -0.003 0.012
ent_jm_carepackage_spawn	-126.930023 505.523438 96.424934	0.017 -0.000 0.016
ent_jm_carepackage_spawn	-3.715401 -194.635818 256.357513	0.001 0.000 -0.000
