# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_kook_town
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	407.542603 1684.606812 40.844803	3.282 -16.511 -83.586
weapon_jm_secondary_heavy	725.119507 1604.183228 0.970239	1.692 -19.228 -86.332
weapon_jm_secondary_heavy	323.303436 818.329407 40.872585	2.230 -18.491 -84.320
weapon_jm_secondary_heavy	91.330208 -403.304413 0.970533	1.927 -20.598 -85.923
weapon_jm_secondary_heavy	342.670319 1635.274658 0.970610	1.991 -20.314 -85.812
weapon_jm_secondary_heavy	536.082703 -20.761372 40.859192	3.166 -16.553 -83.785
weapon_jm_secondary_heavy	-344.530579 760.771912 0.970506	1.895 -18.768 -85.978
weapon_jm_secondary_heavy	-241.369888 816.667664 0.970552	1.942 -18.776 -85.895
weapon_jm_grenade_jump	-77.172150 2444.044678 0.111038	-1.274 -1.213 -0.742
weapon_jm_grenade_jump	613.943115 1897.838745 40.172935	-1.845 -1.408 -1.328
weapon_jm_grenade_jump	713.992126 1628.456299 0.126115	-1.113 -1.266 -0.649
weapon_jm_grenade_jump	341.182343 -221.122620 155.491348	-0.879 -1.638 -1.342
weapon_jm_grenade_jump	621.786926 1881.221069 156.951019	21.294 -85.397 -89.226
weapon_jm_grenade_jump	98.191467 -392.783447 1.788226	-47.503 44.018 -87.504
weapon_jm_grenade_jump	351.128662 1642.258667 1.852659	41.969 -76.341 -78.827
weapon_jm_grenade_jump	633.809814 41.264977 1.478356	19.197 39.971 -89.350
weapon_jm_grenade_jump	858.844299 35.366867 0.161614	-1.458 -1.457 -1.484
weapon_jm_grenade_jump	517.212952 -22.497395 40.165676	-2.081 -1.342 -1.498
weapon_jm_grenade_jump	1769.766968 830.917419 0.184381	-0.973 -1.548 -0.989
weapon_jm_grenade_jump	492.542023 2512.314697 0.126115	-1.113 -1.266 -0.649
weapon_jm_grenade_jump	-444.678162 892.953186 720.161560	-2.502 -1.323 -1.368
weapon_jm_grenade_jump	-571.414490 426.550018 0.140654	-0.892 -1.606 -1.362
item_jm_ammo_light	-78.869110 2457.200195 0.350505	0.466 0.064 0.043
