# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lockdown
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-156.180511 -741.927368 37.141167	2.226 -18.490 -84.190
weapon_jm_secondary_heavy	-103.470551 -739.842896 37.162350	2.234 -18.490 -84.407
weapon_jm_secondary_heavy	98.366875 -737.814026 37.123051	2.219 -18.436 -84.004
weapon_jm_secondary_heavy	157.573761 -742.499939 37.167622	2.236 -18.492 -84.461
weapon_jm_grenade_jump	-1121.716064 -1862.367920 36.436333	-2.739 -1.229 -1.498
weapon_jm_grenade_jump	1118.239990 -1836.956299 36.451405	-2.185 -1.389 -1.195
weapon_jm_grenade_jump	1112.189941 -203.388901 36.453171	-2.120 -1.402 -1.159
weapon_jm_grenade_jump	-1117.894653 -189.428528 36.434048	-2.826 -1.186 -1.542
weapon_jm_grenade_jump	6.407708 -597.272339 -215.827209	-2.088 -1.401 -1.142
weapon_jm_grenade_jump	-0.305067 -976.609436 128.198074	-1.163 -1.499 -0.636
item_jm_ammo_light	1129.068359 -1551.825195 36.682880	0.458 0.050 0.025
item_jm_ammo_light	1129.386108 -1532.451904 36.611874	0.438 0.064 0.051
item_jm_ammo_light	1117.513428 -1536.115479 36.633259	0.444 0.055 0.043
item_jm_ammo_light	1116.743164 -1552.062500 36.652874	0.450 0.052 0.036
item_jm_ammo_light	-1127.448975 -1552.872437 36.598618	0.434 0.068 0.056
item_jm_ammo_light	-1129.435181 -1534.753052 36.622036	0.441 0.060 0.047
item_jm_ammo_light	-1111.504150 -1537.364014 36.627773	0.442 0.057 0.045
item_jm_ammo_light	-1111.588989 -1550.771240 36.627773	0.442 0.057 0.045
item_jm_ammo_light	-1129.936646 -517.169861 36.625893	0.442 0.057 0.046
item_jm_ammo_light	-1128.741089 -496.304596 36.633263	0.444 0.055 0.043
item_jm_ammo_light	-1113.802490 -515.686768 36.685921	0.459 0.050 0.024
item_jm_ammo_light	-1116.648926 -499.855011 36.618065	0.440 0.060 0.049
item_jm_ammo_light	1129.192749 -500.168762 36.613968	0.438 0.060 0.050
item_jm_ammo_light	1129.697510 -522.186157 36.598621	0.434 0.068 0.056
