# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lost_at_sea
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	307.494232 -1032.490967 416.966034	2.788 -15.540 -85.230
weapon_jm_secondary_heavy	1027.161377 -307.257782 416.861603	2.226 -18.489 -84.207
weapon_jm_secondary_heavy	-307.963165 998.304504 416.827362	2.213 -18.357 -83.856
weapon_jm_secondary_heavy	-994.913818 -308.290009 416.843750	2.219 -18.440 -84.024
weapon_jm_secondary_heavy	-1817.052002 -1808.288696 312.867371	2.682 -22.508 -84.117
weapon_jm_secondary_heavy	1810.112183 -1806.377197 312.883911	3.081 -17.166 -84.090
weapon_jm_secondary_heavy	1811.068115 1795.772217 312.824371	2.128 -20.796 -83.972
weapon_jm_secondary_heavy	-1802.539551 1810.349976 312.878357	2.233 -18.491 -84.379
weapon_jm_grenade_jump	1028.881470 65.853554 536.180725	-1.797 -1.448 -0.982
weapon_jm_grenade_jump	-65.684113 -1015.933533 536.155090	-2.739 -1.229 -1.498
weapon_jm_grenade_jump	-1023.767151 66.464966 537.480347	19.056 48.723 -89.254
weapon_jm_grenade_jump	56.913864 1020.005615 536.187622	-1.546 -1.475 -0.845
weapon_jm_grenade_jump	1186.633423 -277.014374 296.176117	-1.966 -1.430 -1.075
weapon_jm_grenade_jump	268.413757 -1192.077148 296.176910	-1.937 -1.428 -1.059
weapon_jm_grenade_jump	-1192.677979 -294.800842 296.192352	-1.371 -1.490 -0.750
weapon_jm_grenade_jump	-307.117950 1187.805786 296.174469	-2.026 -1.422 -1.108
weapon_jm_grenade_jump	-1805.098999 -1808.892456 312.170166	-2.185 -1.389 -1.195
weapon_jm_grenade_jump	1801.074951 -1810.656860 312.164520	-1.532 -1.153 -1.899
weapon_jm_grenade_jump	1808.950928 1807.611450 312.160492	-2.540 -1.297 -1.389
weapon_jm_grenade_jump	-1813.459229 1803.161987 312.176117	-1.966 -1.430 -1.075
item_jm_ammo_light	988.320740 55.217789 536.351807	0.454 0.059 0.048
item_jm_ammo_light	-57.348526 -1063.419922 536.349976	0.454 0.061 0.048
item_jm_ammo_light	-1059.718140 61.020969 536.314758	0.447 0.072 0.063
item_jm_ammo_light	57.718998 1051.307739 536.332458	0.450 0.064 0.055
item_jm_ammo_light	-1048.524292 240.982635 416.417877	0.467 0.053 0.021
item_jm_ammo_light	-998.994019 243.847229 416.326050	0.449 0.068 0.058
item_jm_ammo_light	244.095566 1000.176025 416.323853	0.448 0.068 0.059
item_jm_ammo_light	239.241501 1039.222290 416.321625	0.448 0.068 0.060
item_jm_ammo_light	1053.987549 242.208008 416.348145	0.453 0.061 0.049
item_jm_ammo_light	995.595154 249.304855 416.365265	0.457 0.058 0.042
