# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_pool
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-1053.269531 511.969635 200.970169	1.637 -19.247 -86.427
weapon_jm_secondary_heavy	1031.937378 -432.897064 165.142609	2.226 -18.490 -84.207
weapon_jm_secondary_heavy	2974.468018 798.293091 200.970367	1.787 -19.185 -86.165
weapon_jm_secondary_heavy	1587.856079 -356.991547 512.879150	3.006 -16.593 -84.061
weapon_jm_secondary_heavy	2121.369873 1092.988403 248.847534	2.221 -18.438 -84.063
weapon_jm_grenade_jump	1048.780029 -503.383026 164.457932	-1.937 -1.428 -1.059
weapon_jm_grenade_jump	1046.500610 -495.342163 164.453796	-2.088 -1.401 -1.142
weapon_jm_grenade_jump	-1418.499878 1166.722046 656.177795	-1.686 -1.426 -1.213
weapon_jm_grenade_jump	2850.679688 253.523438 728.135071	-1.017 -1.284 -0.593
weapon_jm_grenade_jump	2864.739258 512.235657 464.121307	-1.164 -1.249 -0.678
weapon_jm_grenade_jump	2938.461426 799.023315 200.143280	-0.930 -1.299 -0.542
weapon_jm_grenade_jump	1603.131226 -359.791504 512.160645	-2.244 -1.302 -1.615
weapon_jm_grenade_jump	1043.605957 -993.245483 704.189514	-1.306 -1.461 -0.939
weapon_jm_grenade_jump	2094.245117 518.325256 104.985970	-47.536 -62.677 -86.275
weapon_jm_grenade_jump	-479.237885 508.857697 106.608353	-0.204 0.267 0.429
weapon_jm_grenade_jump	1045.753662 515.991821 106.241112	-0.801 -1.652 -1.267
weapon_jm_grenade_jump	-1549.051514 618.109497 257.183441	-2.057 -1.402 -1.125
weapon_jm_grenade_jump	-1264.443481 399.221954 256.888977	-0.934 -1.146 -0.707
weapon_jm_grenade_jump	2113.043701 1082.543945 248.172806	-2.088 -1.401 -1.142
item_jm_ammo_light	999.923096 -438.685638 164.613739	0.438 0.060 0.050
item_jm_ammo_light	999.648438 -461.608582 164.638260	0.445 0.055 0.041
item_jm_ammo_light	998.234253 -482.714722 164.607346	0.437 0.064 0.053
item_jm_ammo_light	1000.281311 -510.465851 164.654114	0.450 0.052 0.036
item_jm_ammo_light	3542.134766 1184.592407 138.781754	0.449 0.060 0.050
item_jm_ammo_light	3552.607422 1194.002197 138.824539	0.459 0.054 0.033
item_jm_ammo_light	3552.744873 1171.557251 138.758652	0.444 0.071 0.059
item_jm_ammo_light	3626.163818 1194.889771 138.781754	0.449 0.060 0.050
item_jm_ammo_light	3638.901855 1189.147949 138.806107	0.455 0.057 0.041
item_jm_ammo_light	3635.599609 1170.598267 138.787415	0.451 0.060 0.048
item_jm_ammo_heavy	1000.471802 -334.267273 164.652115	-0.790 0.100 -0.572
item_jm_ammo_heavy	1000.149719 -356.765747 164.715714	0.662 -0.004 0.500
item_jm_ammo_heavy	998.433716 -380.577576 164.684525	1.023 0.015 0.827
item_jm_ammo_heavy	999.928101 -406.285217 164.628113	-0.699 0.005 -0.579
item_jm_ammo_heavy	111.752350 -878.897888 128.338013	0.454 0.004 -0.357
item_jm_ammo_heavy	112.607796 -861.150269 128.382538	-0.426 0.000 0.432
item_jm_ammo_heavy	118.845009 -844.292297 128.411346	-0.795 -0.006 0.707
item_jm_ammo_heavy	1927.669800 -886.667969 128.344147	0.613 0.003 -0.487
item_jm_ammo_heavy	1925.524414 -865.461365 128.458359	-0.427 -0.006 0.379
item_jm_ammo_heavy	1923.453003 -840.275757 128.344147	0.613 0.003 -0.487
weapon_jm_primary_smg	2324.759277 -451.969421 129.096344	0.208 6.194 -87.152
weapon_jm_primary_smg	-280.343506 -447.884613 129.096344	0.208 6.184 -87.152
weapon_jm_primary_smg	3554.001953 -135.414001 129.096344	0.208 6.194 -87.152
weapon_jm_primary_smg	446.610382 -364.087280 513.096313	0.208 6.177 -87.152
weapon_jm_primary_smg	3306.626465 325.749115 129.090561	0.414 1.815 -87.405
weapon_jm_primary_smg	1014.692749 -1519.654419 225.093491	0.310 6.176 -87.277
weapon_jm_primary_smg	-1284.855225 395.621033 257.782562	0.300 6.174 -87.264
weapon_jm_grenade_tag	1047.754761 -471.537933 164.452057	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	1045.693481 -463.516266 164.459488	-1.880 -1.442 -1.028
weapon_jm_grenade_tag	1025.245361 -1002.145691 704.180847	-1.588 -1.441 -1.142
weapon_jm_grenade_tag	3608.229248 1175.365112 139.934982	18.048 39.564 -88.897
weapon_jm_grenade_tag	2200.776367 1164.991211 267.901245	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	1125.712646 1133.311279 128.169571	-2.470 -0.704 -1.079
weapon_jm_grenade_tag	2150.829102 1172.776245 128.164703	-2.113 -1.347 -1.520
weapon_jm_grenade_tag	1051.770020 -155.234238 128.176254	-1.737 -1.420 -1.250
weapon_jm_grenade_tag	990.575562 -153.496384 128.188934	-1.326 -1.461 -0.953
weapon_jm_grenade_tag	1016.171570 -1525.624512 224.166473	-2.320 -1.370 -1.269
weapon_jm_grenade_tag	695.160400 -981.059143 330.139954	-69.608 -99.094 -90.332
weapon_jm_grenade_tag	1355.109863 -991.787109 328.151855	-2.532 -1.217 -1.823
weapon_jm_grenade_tag	3556.762451 -145.345520 128.168503	-1.989 -1.378 -1.431
weapon_jm_grenade_tag	-1252.268677 687.474548 138.127686	-2.026 -1.423 -1.108
weapon_jm_primary_lmg	3593.631104 1169.870483 136.247635	18.634 -0.369 2.992
weapon_jm_primary_lmg	2143.660889 1185.565552 125.808449	18.634 -0.347 2.992
weapon_jm_primary_lmg	1016.696899 508.869354 103.902878	18.636 -0.007 2.992
weapon_jm_primary_lmg	-511.266510 508.099976 104.190666	18.612 0.536 2.753
weapon_jm_primary_rifle	-426.879883 -966.489746 128.872223	-0.049 11.142 -87.596
weapon_jm_primary_rifle	2475.454834 -959.431580 128.891678	-0.025 11.146 -87.745
weapon_jm_primary_rifle	3177.208496 455.821533 392.888977	-0.028 11.145 -87.724
weapon_jm_primary_rifle	-1275.840210 676.092407 138.842819	0.134 11.253 -87.523
weapon_jm_primary_rifle	831.848633 -366.244873 512.860840	-0.064 11.138 -87.509
weapon_jm_primary_rifle	1021.259460 -158.839325 128.860855	-0.064 11.138 -87.509
weapon_jm_primary_rifle	357.615906 -395.351746 128.892960	0.130 13.130 -87.560
weapon_jm_primary_rifle	1677.932617 -387.016693 128.877304	0.152 13.129 -87.387
weapon_jm_primary_rifle	-1559.259888 638.235413 257.854004	0.197 11.252 -87.022
weapon_jm_primary_rifle	1092.025024 1101.285034 128.902466	-0.006 9.708 -87.822
weapon_jm_secondary_light	-1050.721924 353.632080 200.172592	36.315 0.416 0.213
weapon_jm_secondary_light	-1047.708496 225.953644 200.141388	36.474 0.508 0.367
weapon_jm_secondary_light	1032.216187 -484.555206 165.175934	-0.598 34.060 89.899
weapon_jm_secondary_light	-191.539200 -974.629700 128.195389	36.510 0.358 0.026
weapon_jm_secondary_light	-61.316723 -974.819519 128.184662	36.729 0.366 0.040
weapon_jm_secondary_light	2238.735352 -970.297729 128.180679	36.811 0.369 0.045
weapon_jm_secondary_light	2108.752686 -969.851135 128.189423	36.632 0.362 0.034
weapon_jm_secondary_light	1362.193726 -998.023987 328.180115	36.822 0.370 0.046
weapon_jm_secondary_light	574.456848 -172.078583 128.186493	36.692 0.365 0.038
weapon_jm_secondary_light	-1272.513672 730.409485 128.186935	36.683 0.364 0.037
weapon_jm_secondary_light	3471.856445 -48.187416 128.186935	36.683 0.364 0.037
weapon_jm_secondary_light	1217.372314 -309.951111 328.181183	36.800 0.370 0.044
weapon_jm_secondary_light	817.095337 -302.423920 328.190186	36.616 0.362 0.033
weapon_jm_secondary_light	3562.338135 1177.522461 139.334427	-0.644 34.057 89.948
weapon_jm_secondary_light	3619.563477 1184.173462 139.334244	-0.616 34.060 89.918
weapon_jm_secondary_auto	-1048.808838 800.471619 201.111206	-0.912 25.088 91.447
weapon_jm_secondary_auto	-1057.804077 676.651794 201.110321	-0.839 25.114 91.331
weapon_jm_secondary_auto	1035.239746 -454.407318 165.392746	-0.744 25.618 91.447
weapon_jm_secondary_auto	-777.076111 -966.336060 129.111160	-0.700 25.441 91.373
weapon_jm_secondary_auto	-647.303101 -969.319031 129.105637	-0.377 25.456 90.694
weapon_jm_secondary_auto	2823.789063 -960.402954 129.110413	-0.655 25.446 91.278
weapon_jm_secondary_auto	2696.983643 -963.446472 129.110779	-0.677 25.442 91.324
weapon_jm_secondary_auto	681.695068 -987.172974 329.112274	-0.766 25.427 91.512
weapon_jm_secondary_auto	1131.096802 1113.656250 129.111465	-0.712 26.902 91.408
weapon_jm_secondary_auto	1482.206421 -166.995712 129.110291	-0.648 25.446 91.264
weapon_jm_primary_sniper	-1412.118896 1152.087769 655.158142	3.344 13.326 65.060
weapon_jm_primary_sniper	3165.031250 177.560013 655.207642	3.325 13.348 65.426
weapon_jm_primary_sniper	2208.411377 1161.123779 266.822876	3.676 13.276 64.833
weapon_jm_primary_sniper	1024.618774 -964.614746 703.193909	3.331 13.342 65.325
weapon_jm_primary_shotgun	52.489113 -860.816223 129.441483	-0.492 -9.616 -88.913
weapon_jm_primary_shotgun	1981.991089 -861.356018 129.501663	-0.511 -9.604 -89.396
weapon_jm_primary_shotgun	-1571.983765 -124.862480 129.448486	-0.494 -9.553 -88.969
weapon_jm_primary_shotgun	1228.011475 -365.787292 513.514221	-0.515 -9.525 -89.497
weapon_jm_primary_shotgun	1368.726929 -978.662476 329.470581	-0.501 -9.258 -89.147
weapon_jm_primary_shotgun	673.270508 -974.107910 329.455841	-0.497 -9.550 -89.028
weapon_jm_primary_shotgun	-354.034241 1191.567627 129.491837	-0.508 -9.535 -89.317
item_jm_ammo_medium	1037.996338 -393.027618 164.647995	-0.113 -0.020 -0.028
item_jm_ammo_medium	1051.782593 -395.849670 164.643967	-0.116 -0.020 -0.029
item_jm_ammo_medium	1038.325806 -354.525726 164.641891	-0.118 -0.020 -0.029
item_jm_ammo_medium	1054.524902 -354.962891 164.666473	-0.097 -0.020 -0.024
item_jm_ammo_medium	-1327.539185 682.255920 138.320084	0.114 0.020 -0.033
item_jm_ammo_medium	-1316.004395 685.489746 138.311859	0.122 0.020 -0.035
item_jm_ammo_medium	-1238.651611 686.142029 138.322052	0.113 0.020 -0.032
item_jm_ammo_medium	-1228.019165 685.105103 138.296234	0.135 0.019 -0.039
weapon_jm_grenade_frag	1047.751343 -441.673096 167.311996	-36.571 -49.013 -110.806
weapon_jm_grenade_frag	1045.042358 -447.844391 165.670715	11.573 -29.543 -73.571
weapon_jm_grenade_frag	2724.622803 -532.651550 129.988403	13.139 -31.600 -88.105
weapon_jm_grenade_frag	-671.726685 -532.832581 130.080475	13.066 -31.894 -89.598
weapon_jm_grenade_frag	1007.846863 -994.893311 706.022644	13.113 -31.721 -88.659
weapon_jm_grenade_frag	3311.937988 304.706360 130.166565	12.990 -32.186 -91.007
ent_jm_carepackage_spawn	2294.252686 1154.369873 268.079254	-0.001 -0.000 -0.002
ent_jm_carepackage_spawn	2776.791748 512.739075 464.403900	0.005 0.000 0.003
ent_jm_carepackage_spawn	2797.053711 262.685974 728.406799	0.006 0.000 0.004
ent_jm_carepackage_spawn	2842.423584 789.539368 200.357819	-0.008 -0.008 0.010
ent_jm_carepackage_spawn	2785.273193 462.331390 89.298325	-0.062 1.248 0.216
ent_jm_carepackage_spawn	2469.315186 470.711090 90.475533	0.326 1.265 -0.216
ent_jm_carepackage_spawn	1969.344971 504.993103 90.449806	0.174 4.551 -0.099
ent_jm_carepackage_spawn	1715.656128 483.127014 87.689445	0.198 -0.376 -0.340
ent_jm_carepackage_spawn	1450.073608 442.641449 87.945686	-0.014 -0.648 0.082
ent_jm_carepackage_spawn	698.791748 428.216919 84.687210	0.432 3.059 0.101
ent_jm_carepackage_spawn	510.226166 414.844543 85.748909	0.057 1.730 0.073
ent_jm_carepackage_spawn	265.800110 405.840668 84.387039	-0.310 0.810 -0.161
ent_jm_carepackage_spawn	4.193281 405.608002 86.631905	-0.162 -0.080 0.139
ent_jm_carepackage_spawn	-755.973572 374.628845 85.199852	0.092 0.054 0.209
ent_jm_carepackage_spawn	-884.096619 571.592224 89.623940	0.659 -0.026 -0.678
ent_jm_carepackage_spawn	-1118.500000 519.059937 192.358200	0.001 0.000 0.000
