# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_roof_party
# Exported by: Seb
setting:	replacespawns 0
weapon_jm_secondary_heavy	122.299042 -145.364929 896.970520	1.905 -20.599 -85.960
weapon_jm_secondary_heavy	268.891449 -152.434357 416.020447	2.268 -18.039 -85.124
weapon_jm_secondary_heavy	-29.586744 -235.312027 405.696320	2.278 -18.781 -85.277
weapon_jm_secondary_heavy	-20.299950 981.996887 421.333313	3.515 164.248 86.250
weapon_jm_secondary_heavy	-1039.449097 1276.649414 421.373810	1.871 -20.628 -86.020
weapon_jm_secondary_heavy	449.401306 1328.296265 590.320801	1.846 -20.629 -86.063
weapon_jm_secondary_heavy	-529.586426 1812.419067 384.837860	2.217 -18.398 -83.963
weapon_jm_secondary_heavy	57.392017 1453.739868 384.970520	1.906 -18.795 -85.959
weapon_jm_secondary_heavy	1165.806519 1082.269043 149.181122	2.090 -19.597 -84.749
weapon_jm_grenade_jump	109.616539 -183.212738 1024.174438	-2.026 -1.423 -1.108
weapon_jm_grenade_jump	147.168381 1279.359497 672.139038	-1.940 -1.274 -1.977
item_jm_ammo_light	299.892090 -139.595810 415.534180	0.468 -0.020 0.003
item_jm_ammo_light	231.854767 -147.450897 415.402954	0.496 -0.073 -0.018
item_jm_ammo_light	-7.445261 -244.504379 405.814178	0.462 0.709 8.866
item_jm_ammo_light	-43.968750 -245.244141 405.843140	0.055 0.494 10.939
item_jm_ammo_light	303.072662 485.694214 423.387878	0.493 0.061 0.133
item_jm_ammo_light	-65.100784 470.070007 434.407898	0.792 0.105 -0.020
item_jm_ammo_light	-808.603149 773.904175 384.358765	0.455 0.059 0.045
item_jm_ammo_light	-804.943909 1838.929199 442.347565	0.448 0.059 0.044
item_jm_ammo_light	760.448975 621.136597 192.381363	0.460 0.055 0.036
item_jm_ammo_light	497.501923 1320.578735 387.365295	0.457 0.058 0.042
item_jm_ammo_light	-458.335938 1811.025757 384.344421	0.453 0.061 0.051
item_jm_ammo_light	-490.688080 1813.205200 384.434723	0.864 16.411 0.200
item_jm_ammo_light	-522.525757 1792.018677 384.400848	0.268 25.283 -0.467
item_jm_ammo_light	360.787323 229.263260 417.339142	0.464 0.067 0.048
item_jm_ammo_light	1051.812500 1491.352905 384.351837	0.454 0.060 0.047
item_jm_ammo_light	938.301270 682.995483 192.340530	0.452 0.063 0.052
item_jm_ammo_heavy	106.959694 -149.455597 896.429443	-0.313 0.214 -0.051
item_jm_ammo_heavy	121.414566 -152.302505 896.493042	-0.048 -0.297 0.038
item_jm_ammo_heavy	265.969391 -137.099640 415.557831	-0.215 0.025 -0.213
item_jm_ammo_heavy	-27.235678 -240.408249 405.218536	0.120 -0.115 0.092
item_jm_ammo_heavy	-7.854179 990.210938 420.467957	-0.191 -6.341 -2.757
item_jm_ammo_heavy	-1029.352539 1286.942261 420.813660	0.704 0.002 0.648
item_jm_ammo_heavy	-777.180725 776.756348 384.398560	-0.923 -0.009 0.818
item_jm_ammo_heavy	422.596527 1346.591187 589.735229	-0.722 -0.005 0.656
item_jm_ammo_heavy	449.188660 1344.574951 589.720825	0.765 -0.112 -0.542
item_jm_ammo_heavy	731.239380 630.541992 192.403824	-0.857 -0.010 0.762
item_jm_ammo_heavy	-509.838989 1814.139526 384.413483	-0.782 -0.006 0.693
item_jm_ammo_heavy	57.915661 1445.728882 384.412903	-0.983 0.003 0.775
item_jm_ammo_heavy	49.461349 1503.041992 384.419128	-0.737 -0.006 0.654
item_jm_ammo_heavy	1167.664063 1078.953125 149.491959	0.024 -0.150 11.505
weapon_jm_primary_smg	-167.176285 -71.253143 384.968475	0.723 6.415 -85.710
weapon_jm_primary_smg	355.159546 762.293945 427.231964	0.543 -0.172 -86.078
weapon_jm_primary_smg	1087.215088 1507.579834 385.092560	0.343 6.561 -87.318
weapon_jm_primary_smg	955.995056 654.034241 193.096344	0.208 6.191 -87.152
weapon_jm_grenade_tag	137.641754 -158.925537 896.139282	-0.906 -1.607 -1.383
weapon_jm_grenade_tag	95.483757 -145.630936 896.143311	-0.866 -1.650 -1.322
weapon_jm_grenade_tag	357.276398 755.604797 426.546509	-0.014 -1.357 -0.010
weapon_jm_grenade_tag	-72.269302 466.045807 435.534973	17.794 -0.888 -90.032
weapon_jm_grenade_tag	-790.557922 804.333496 384.160492	-2.540 -1.297 -1.389
weapon_jm_grenade_tag	491.287842 1293.933716 387.155151	-1.595 -1.415 -1.625
weapon_jm_grenade_tag	920.760925 661.649597 192.165680	-2.081 -1.342 -1.498
weapon_jm_grenade_tag	14.290401 977.086304 422.605103	23.354 -160.357 92.741
weapon_jm_primary_lmg	147.227463 -236.472366 381.808441	18.634 -0.122 2.992
weapon_jm_primary_lmg	-97.976715 824.552856 416.733093	19.055 -3.204 2.234
weapon_jm_primary_lmg	-724.789185 1836.450073 444.748077	-0.733 -15.344 88.636
weapon_jm_primary_rifle	-1030.848145 1251.242432 421.280762	0.153 13.136 -87.398
weapon_jm_primary_rifle	-764.494507 1829.231567 442.927734	0.129 7.485 -88.607
weapon_jm_primary_rifle	502.650757 1332.713135 387.872711	0.158 8.599 -87.336
weapon_jm_primary_rifle	-360.737732 1502.521729 547.696106	0.177 11.252 -87.186
