# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_space_station
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-2720.005371 485.197388 320.861603	2.226 -18.490 -84.207
weapon_jm_secondary_heavy	899.196472 -400.244049 320.873444	3.052 -16.589 -83.982
weapon_jm_secondary_heavy	-44.357159 -676.740479 320.970184	1.646 -19.247 -86.410
weapon_jm_secondary_heavy	-1272.942871 -658.247437 351.989777	2.034 -22.370 -85.737
weapon_jm_secondary_heavy	-1617.313477 167.866150 448.848572	3.252 -16.530 -83.638
weapon_jm_secondary_heavy	-1948.171021 1031.850830 320.826385	3.429 -16.459 -83.332
weapon_jm_secondary_heavy	-1414.603271 1658.406738 361.217529	2.126 -21.742 -85.407
weapon_jm_secondary_heavy	109.500862 1700.981323 320.970032	1.513 -46.434 -86.643
weapon_jm_grenade_jump	-2716.066895 517.885010 320.160522	-2.540 -1.297 -1.389
weapon_jm_grenade_jump	117.308090 -62.474483 352.199005	-1.128 -1.500 -0.617
weapon_jm_grenade_jump	127.675934 -60.183521 352.166473	-2.320 -1.370 -1.269
weapon_jm_grenade_jump	131.836548 1083.379272 352.153961	-2.780 -1.170 -1.520
weapon_jm_grenade_jump	117.720596 1083.677734 352.184967	-1.642 -1.464 -0.898
item_jm_ammo_light	532.668152 1431.834106 352.346283	0.453 0.061 0.050
item_jm_ammo_light	530.804688 1411.710205 352.381348	0.460 0.056 0.036
item_jm_ammo_light	544.601563 1432.450806 352.328217	0.449 0.068 0.057
item_jm_ammo_light	545.486816 1411.506104 352.375824	0.459 0.056 0.038
item_jm_ammo_light	1134.576904 1409.133057 352.319366	0.448 0.072 0.060
item_jm_ammo_light	1133.625732 1428.412231 352.363678	0.456 0.058 0.043
item_jm_ammo_light	1121.651489 1426.300781 352.334534	0.451 0.064 0.054
item_jm_ammo_light	1122.393066 1410.499146 352.349976	0.454 0.061 0.048
item_jm_ammo_light	1122.823486 159.752090 320.372925	0.458 0.056 0.039
item_jm_ammo_light	554.831482 162.956284 320.344421	0.452 0.061 0.051
item_jm_ammo_light	287.527252 -675.637634 320.333069	0.464 0.066 0.050
item_jm_ammo_light	120.843254 -678.766296 320.359222	0.466 0.062 0.040
item_jm_ammo_light	-1122.998779 -656.853394 360.314758	0.447 0.072 0.062
item_jm_ammo_light	-1205.376343 -648.232666 360.336578	0.451 0.064 0.054
item_jm_ammo_light	-2077.425049 -407.644592 320.360413	0.456 0.057 0.044
item_jm_ammo_light	-2145.406494 -351.086884 320.309967	0.445 0.071 0.065
item_jm_ammo_light	-2148.238281 -58.510197 448.374390	0.458 0.056 0.039
item_jm_ammo_light	-1943.968994 1275.577026 320.380005	0.459 0.055 0.036
item_jm_ammo_light	-1753.797852 1274.462769 320.326080	0.449 0.067 0.058
item_jm_ammo_light	-1762.584961 1034.675659 320.328247	0.449 0.067 0.057
item_jm_ammo_light	-2108.182129 1445.980469 320.334534	0.450 0.063 0.055
item_jm_ammo_light	-801.516357 1563.721680 320.362061	0.456 0.057 0.044
item_jm_ammo_light	-1259.695679 1308.255859 320.338562	0.451 0.063 0.053
item_jm_ammo_light	478.632080 1314.769043 320.312378	0.446 0.072 0.064
item_jm_ammo_light	-219.500504 1314.877441 320.328247	0.449 0.067 0.057
item_jm_ammo_heavy	1076.507813 895.851929 352.431061	-0.643 -0.007 0.571
item_jm_ammo_heavy	1091.906738 893.785706 352.395355	-0.952 -0.004 0.843
item_jm_ammo_heavy	578.840942 890.668579 352.347260	0.718 0.003 -0.572
