# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_speed_dating
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	216.869034 1679.858643 37.150818	2.229 -18.490 -84.289
weapon_jm_secondary_heavy	272.154144 1655.627808 37.126915	2.220 -18.437 -84.044
weapon_jm_secondary_heavy	873.410461 134.087250 37.125000	2.219 -18.440 -84.024
weapon_jm_secondary_heavy	-1236.964478 -14.450582 37.196594	2.986 -18.394 -84.473
weapon_jm_secondary_heavy	-380.596252 340.691406 37.134266	2.223 -18.473 -84.119
weapon_jm_grenade_jump	1455.426514 979.329956 36.458958	-1.908 -1.428 -1.043
weapon_jm_grenade_jump	-1569.874268 1025.306396 36.464859	-1.692 -1.464 -0.925
weapon_jm_grenade_jump	864.064697 144.736130 36.456562	-1.996 -1.430 -1.091
weapon_jm_grenade_jump	504.751678 -272.795227 37.905907	18.520 54.646 -90.292
weapon_jm_grenade_jump	-912.238647 -52.247952 36.463451	-1.744 -1.459 -0.953
weapon_jm_grenade_jump	-1242.906616 -20.668909 36.454891	-2.057 -1.402 -1.125
item_jm_ammo_light	-845.673279 2028.184814 276.654114	0.450 0.052 0.036
item_jm_ammo_light	721.302124 2084.949463 276.643280	0.447 0.054 0.040
item_jm_ammo_light	-320.657379 1712.943359 36.636799	0.445 0.055 0.042
item_jm_ammo_light	-379.760040 1632.795288 36.641884	0.446 0.054 0.040
item_jm_ammo_light	1341.681152 1822.536621 36.625896	0.442 0.057 0.046
item_jm_ammo_light	-976.618225 1889.441895 36.641872	0.446 0.054 0.040
item_jm_ammo_light	1576.182861 1037.440552 36.654362	0.450 0.052 0.036
item_jm_ammo_light	1595.968140 1033.071899 36.618073	0.440 0.060 0.049
item_jm_ammo_light	-1704.384521 971.448486 36.631466	0.443 0.057 0.044
item_jm_ammo_light	-1687.666138 970.026794 36.651379	0.449 0.052 0.037
item_jm_ammo_light	272.160492 365.046265 36.641884	0.446 0.054 0.040
item_jm_ammo_light	470.625977 -279.487793 36.625896	0.442 0.057 0.046
item_jm_ammo_light	-908.508545 -16.176119 36.627785	0.442 0.057 0.045
item_jm_ammo_light	208.994202 283.929077 36.640213	0.446 0.055 0.041
item_jm_ammo_light	-318.455109 370.205139 36.613987	0.438 0.060 0.050
item_jm_ammo_light	126.794205 805.756165 36.648304	0.448 0.054 0.038
item_jm_ammo_light	-262.226990 808.408997 36.620071	0.440 0.060 0.048
item_jm_ammo_light	135.822891 1212.938110 36.685928	0.459 0.050 0.024
item_jm_ammo_light	-250.829407 1222.896851 36.618069	0.440 0.060 0.049
item_jm_ammo_heavy	-830.945068 2034.319946 276.631226	0.814 0.003 -0.656
item_jm_ammo_heavy	721.231567 2067.700195 276.665833	0.984 0.002 0.862
item_jm_ammo_heavy	216.432907 1635.539063 36.657528	-0.474 0.019 -0.319
item_jm_ammo_heavy	-378.801300 1648.975586 36.650200	-0.767 0.003 -0.555
item_jm_ammo_heavy	275.174622 1711.349854 36.670948	0.701 0.005 0.632
item_jm_ammo_heavy	-977.048157 1906.457397 36.667065	1.187 0.005 1.024
item_jm_ammo_heavy	1597.942993 966.607971 36.734619	-0.510 -0.005 0.426
item_jm_ammo_heavy	1575.393311 967.742432 36.691608	1.018 0.114 0.782
item_jm_ammo_heavy	-1704.088867 1033.589844 36.711323	1.225 2.860 0.095
item_jm_ammo_heavy	-1687.986816 1037.969849 36.718582	1.118 2.851 0.086
item_jm_ammo_heavy	862.813416 164.195969 36.733810	-0.499 -0.004 0.414
item_jm_ammo_heavy	859.660339 181.287491 36.682587	-1.018 -0.004 0.847
item_jm_ammo_heavy	-1276.243896 -21.589037 36.663418	-0.090 -0.005 -0.009
item_jm_ammo_heavy	-376.664978 286.736053 36.694199	0.990 0.027 0.763
weapon_jm_primary_smg	219.277039 1696.764771 37.374992	0.301 6.174 -87.266
weapon_jm_primary_smg	-321.695801 1637.020264 37.374790	0.308 6.177 -87.275
weapon_jm_primary_smg	272.883881 290.935181 37.375393	0.287 6.175 -87.249
weapon_jm_primary_smg	-378.077087 356.413696 37.374874	0.305 6.174 -87.272
weapon_jm_grenade_tag	-377.001312 1669.059448 36.452312	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	-316.733612 1675.249268 36.449604	-2.252 -1.362 -1.231
weapon_jm_grenade_tag	221.137573 1671.826782 36.464169	-1.718 -1.464 -0.939
weapon_jm_grenade_tag	272.504242 1673.403809 36.459743	-1.880 -1.442 -1.028
weapon_jm_grenade_tag	1458.264893 1024.660034 36.452305	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	-1569.785767 979.105957 36.454044	-2.088 -1.401 -1.142
weapon_jm_grenade_tag	277.448059 329.652557 36.441757	-2.540 -1.297 -1.389
weapon_jm_grenade_tag	-378.961060 328.128662 36.460510	-1.852 -1.448 -1.012
weapon_jm_grenade_tag	-316.675079 333.331390 36.447731	-2.320 -1.370 -1.269
weapon_jm_grenade_tag	213.066299 326.546844 36.438560	-2.658 -1.239 -1.453
weapon_jm_grenade_tag	-262.787384 1223.805786 36.466892	-1.617 -1.471 -0.884
weapon_jm_grenade_tag	149.529785 1214.400269 36.440697	-2.578 -1.238 -1.410
weapon_jm_grenade_tag	137.898529 805.200195 36.445789	-2.391 -1.323 -1.308
weapon_jm_grenade_tag	-274.377808 808.133850 36.458168	-1.937 -1.428 -1.059
weapon_jm_primary_lmg	1381.094482 1826.381958 34.089695	18.634 -0.363 2.992
weapon_jm_primary_lmg	521.560791 -275.641602 34.089695	18.634 -0.371 2.992
weapon_jm_primary_rifle	277.017029 1637.589600 37.145699	0.169 11.252 -87.245
weapon_jm_primary_rifle	-905.247131 -90.570236 37.205837	0.086 11.255 -87.909
weapon_jm_primary_rifle	-1214.260742 -22.732653 37.225563	-0.052 11.027 -88.267
weapon_jm_primary_rifle	212.723801 365.528595 37.150127	-0.021 13.097 -87.529
weapon_jm_primary_rifle	-316.579956 293.968170 37.144390	0.171 11.252 -87.231
weapon_jm_secondary_light	-837.923279 2061.646484 277.176239	-0.645 34.057 89.948
weapon_jm_secondary_light	717.288147 2042.267334 277.175629	-0.546 34.063 89.846
weapon_jm_secondary_light	-381.092651 1682.863525 37.176369	-0.625 34.059 89.928
weapon_jm_secondary_light	486.329834 -281.995087 37.176727	-0.685 34.056 89.990
weapon_jm_secondary_light	-910.013062 -69.615524 37.176186	-0.598 34.060 89.899
weapon_jm_secondary_light	-316.197205 315.641998 37.176083	-0.580 34.062 89.881
weapon_jm_secondary_light	147.701569 808.478149 37.175911	-0.554 34.062 89.855
weapon_jm_secondary_light	98.437866 813.466553 37.175858	-0.546 34.063 89.846
weapon_jm_secondary_light	165.491455 1213.828491 37.175560	-0.498 34.065 89.797
weapon_jm_secondary_light	105.559906 1212.362305 37.176418	-0.635 34.059 89.938
weapon_jm_secondary_auto	-320.166412 1665.571533 37.392586	-0.719 25.619 91.396
weapon_jm_secondary_auto	1357.425903 1824.408569 37.390282	-0.578 25.827 91.110
weapon_jm_secondary_auto	-977.885376 1946.033081 37.388809	-0.494 25.640 90.931
weapon_jm_secondary_auto	275.397705 319.647766 37.392059	-0.688 25.625 91.331
weapon_jm_secondary_auto	210.560287 335.271057 37.399170	0.176 26.653 91.795
weapon_jm_secondary_auto	-291.519165 809.920471 37.391438	-0.651 25.630 91.255
weapon_jm_secondary_auto	-237.729309 812.285767 37.392052	-0.688 25.625 91.331
weapon_jm_secondary_auto	-285.107880 1226.388428 37.394352	-0.826 25.595 91.616
weapon_jm_secondary_auto	-227.082367 1222.874023 37.392178	-0.695 25.625 91.346
weapon_jm_primary_sniper	-836.293823 2091.219482 275.431610	3.261 11.834 64.933
weapon_jm_primary_sniper	717.727417 2030.074707 275.397980	3.620 13.251 64.973
weapon_jm_primary_shotgun	-380.065125 1698.727417 37.741428	-0.498 -9.396 -89.063
weapon_jm_primary_shotgun	-982.214600 1957.061401 37.729012	-0.494 -8.972 -88.963
weapon_jm_primary_shotgun	868.226440 115.852585 37.796722	-0.515 -9.600 -89.507
item_jm_ammo_medium	214.081039 1655.809326 36.633560	-0.125 -0.020 -0.031
item_jm_ammo_medium	-321.918365 1695.189819 36.614780	0.141 0.019 -0.034
item_jm_ammo_medium	272.461639 1693.253052 36.644604	-0.009 -0.029 0.013
item_jm_ammo_medium	1594.528687 996.933105 36.668770	0.005 0.030 0.012
item_jm_ammo_medium	1575.830688 996.345947 36.657829	-0.105 -0.020 -0.026
item_jm_ammo_medium	-1703.397095 1001.951172 36.652168	-0.109 -0.020 -0.027
item_jm_ammo_medium	-1691.620850 999.068237 36.633549	-0.125 -0.020 -0.031
item_jm_ammo_medium	270.979950 345.959076 36.642147	-0.118 -0.020 -0.029
item_jm_ammo_medium	-910.044678 -35.038177 36.620159	0.007 0.028 0.017
item_jm_ammo_medium	-1261.686035 -19.287439 36.644630	0.006 0.029 0.015
item_jm_ammo_medium	211.066406 302.273254 36.661476	-0.101 -0.020 -0.025
