# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_standoff
# Exported by: Josh Mate
setting:	replacespawns 0
item_jm_ammo_heavy	-1930.732056 -750.806824 391.918762	-1.068 -0.013 1.042
item_jm_ammo_heavy	-1927.687866 -768.610840 391.943329	-0.660 -0.017 0.665
item_jm_ammo_heavy	-2022.289429 -158.343048 391.956604	-0.535 -0.019 0.539
item_jm_ammo_heavy	-2018.126709 -139.524277 391.902954	-0.556 -0.006 0.691
item_jm_ammo_heavy	-2028.449463 152.137573 391.957458	-0.527 -0.019 0.530
item_jm_ammo_heavy	-2013.169678 154.766022 391.963715	-0.467 -0.019 0.470
item_jm_ammo_heavy	-1773.963501 937.038818 391.958160	-0.518 -0.019 0.522
item_jm_ammo_heavy	-1760.488647 938.076172 391.902496	0.197 0.018 0.080
item_jm_ammo_heavy	-1155.548462 1000.311340 391.902740	0.773 -0.018 -0.378
item_jm_ammo_heavy	-1139.826416 997.137085 391.959900	-0.503 -0.018 0.507
item_jm_ammo_heavy	-883.010498 998.233521 391.913727	-1.086 -0.003 1.068
item_jm_ammo_heavy	-859.416565 999.068359 391.943573	0.708 0.006 0.608
item_jm_ammo_heavy	-91.751320 736.298035 391.917572	-1.085 -0.015 1.059
item_jm_ammo_heavy	-106.307220 724.654785 391.913361	-1.137 -0.007 1.109
item_jm_ammo_heavy	-28.305065 -145.515091 391.960632	-0.499 -0.019 0.502
item_jm_ammo_heavy	-37.828228 -154.820694 391.901001	0.785 -0.201 -0.384
item_jm_ammo_heavy	-23.065413 143.988724 391.858307	0.879 0.002 -0.640
item_jm_ammo_heavy	-32.191086 119.288033 391.925201	-0.863 -0.022 0.865
item_jm_ammo_heavy	-281.697113 -933.893188 391.914124	1.115 0.016 0.955
item_jm_ammo_heavy	-292.696960 -936.686523 391.927856	0.874 0.008 0.750
item_jm_ammo_heavy	-860.645691 -1000.942505 391.864685	1.179 -0.001 -0.888
item_jm_ammo_heavy	-869.072327 -1004.084045 391.919342	-1.098 -0.014 1.064
item_jm_ammo_heavy	-1186.927246 -988.610718 391.996460	-0.024 -0.868 0.178
item_jm_ammo_heavy	-1197.917603 -986.054626 391.959900	-0.503 -0.018 0.507
weapon_jm_grenade_tag	-1947.326782 -748.001709 391.679077	-1.133 -1.167 -1.511
weapon_jm_grenade_tag	-2008.286499 -157.134583 391.685486	-0.990 -1.203 -1.320
weapon_jm_grenade_tag	-2022.388428 143.280594 391.696747	-1.148 -1.132 -0.723
weapon_jm_grenade_tag	-1780.632202 914.261658 393.200867	-43.962 42.027 -86.430
weapon_jm_grenade_tag	-1173.567139 1005.518066 391.676727	-1.185 -1.138 -1.581
weapon_jm_grenade_tag	-866.939331 1002.524353 391.692230	-0.840 -1.221 -1.118
weapon_jm_grenade_tag	-113.067902 754.709778 391.676727	-1.185 -1.138 -1.581
weapon_jm_grenade_tag	-34.084202 146.845337 391.676727	-1.185 -1.138 -1.581
weapon_jm_grenade_tag	-19.667501 -174.819504 391.678314	-1.150 -1.167 -1.534
weapon_jm_grenade_tag	-275.104980 -924.988525 392.770996	17.107 42.072 -58.739
weapon_jm_grenade_tag	-882.351440 -996.493713 393.600067	26.278 27.750 90.971
weapon_jm_grenade_tag	-1178.577271 -998.755981 393.606781	-63.503 57.697 -90.230
weapon_jm_secondary_light	-1949.842651 -761.567200 392.395874	-0.525 37.907 90.054
weapon_jm_secondary_light	-2035.465454 -145.233688 392.385895	-0.241 33.530 89.472
weapon_jm_secondary_light	-2029.623169 175.911972 392.249786	17.070 30.063 71.241
weapon_jm_secondary_light	-1776.864990 920.461914 392.362305	-0.598 33.811 89.676
weapon_jm_secondary_light	-1191.737427 1006.892700 392.379639	-0.530 33.510 89.699
weapon_jm_secondary_light	-860.167114 976.251465 392.379822	-0.522 33.510 89.693
weapon_jm_secondary_light	-126.482666 731.349670 392.376709	-0.665 33.488 89.805
weapon_jm_secondary_light	-36.332401 170.687988 392.380798	-0.476 33.518 89.657
weapon_jm_secondary_light	-37.276314 -176.817017 392.381256	-0.455 33.519 89.641
weapon_jm_secondary_light	-275.255157 -910.311890 392.377563	-0.626 33.497 89.775
weapon_jm_secondary_light	-1165.549438 -1001.496094 394.099060	-0.384 33.141 104.998
weapon_jm_secondary_light	-889.473206 -1008.631226 392.379303	-0.546 33.510 89.712
weapon_jm_primary_sniper	-1936.176636 -726.482483 390.581207	3.724 10.711 64.991
weapon_jm_primary_sniper	-2015.756714 -166.822739 390.684967	3.472 10.701 65.456
weapon_jm_primary_sniper	-2016.883423 175.077118 390.697876	3.452 10.772 65.634
weapon_jm_primary_sniper	-1768.539307 932.052551 390.800385	3.211 8.519 66.499
weapon_jm_primary_sniper	-1182.606567 998.139648 390.707794	3.416 10.704 65.556
weapon_jm_primary_sniper	-863.469116 991.237000 390.593597	3.694 10.709 65.046
weapon_jm_primary_sniper	-117.396317 747.947266 390.684753	3.472 10.705 65.453
weapon_jm_primary_sniper	-38.050133 -160.431564 390.659851	3.533 10.706 65.342
weapon_jm_primary_sniper	-39.358902 164.397293 390.605072	3.666 10.709 65.098
weapon_jm_primary_sniper	-291.393097 -915.010315 390.781830	4.246 12.252 67.619
weapon_jm_primary_sniper	-872.743835 -982.563904 390.745453	3.323 10.721 65.778
weapon_jm_primary_sniper	-1186.458984 -999.667419 390.717468	4.316 11.431 66.585
ent_jm_carepackage_spawn	-1941.720703 -87.974052 391.865723	-0.007 0.000 0.008
