# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_the_thing
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-865.089783 1262.164551 37.106453	2.212 -18.358 -83.834
weapon_jm_secondary_heavy	-879.101807 1261.470093 37.174961	2.238 -18.492 -84.536
weapon_jm_secondary_heavy	866.720459 1365.561646 37.136028	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	885.203735 1370.207886 37.160995	2.233 -18.491 -84.393
weapon_jm_secondary_heavy	-474.136475 805.089050 37.144497	2.227 -18.490 -84.224
weapon_jm_secondary_heavy	-474.580505 820.098022 37.121094	2.218 -18.429 -83.984
weapon_jm_secondary_heavy	246.092224 1665.832886 0.970214	1.673 -22.135 -86.365
weapon_jm_grenade_jump	-479.468079 857.298706 36.456566	-1.996 -1.430 -1.091
weapon_jm_grenade_jump	-477.337738 875.368286 36.446774	-2.356 -1.358 -1.288
weapon_jm_grenade_jump	-1628.233032 1626.278931 36.443798	-2.464 -1.325 -1.348
weapon_jm_grenade_jump	-1632.172119 1648.962036 36.466225	-1.642 -1.464 -0.898
weapon_jm_grenade_jump	-1630.530151 1668.721436 36.455730	-2.026 -1.423 -1.108
weapon_jm_grenade_jump	-1623.239990 1690.758423 36.447720	-2.320 -1.370 -1.269
weapon_jm_grenade_jump	285.395844 1701.661133 0.235615	-2.842 4.991 -2.569
weapon_jm_grenade_jump	291.288513 1696.037231 1.094055	-30.547 0.678 -31.809
weapon_jm_grenade_jump	271.461792 -1741.853394 8.174483	-2.026 -1.422 -1.108
weapon_jm_grenade_jump	278.077454 -1741.843384 8.162550	-2.464 -1.325 -1.348
weapon_jm_grenade_jump	203.615326 -1952.095337 16.148363	-0.816 -1.671 -1.245
item_jm_ammo_light	2153.791504 1463.551025 36.651371	0.449 0.052 0.037
item_jm_ammo_light	2154.138184 1436.790894 36.609745	0.437 0.064 0.052
item_jm_ammo_light	2146.456055 1450.275757 36.593925	0.433 0.068 0.058
item_jm_ammo_light	2134.292236 1464.790649 36.649845	0.449 0.052 0.037
item_jm_ammo_light	2133.872070 1435.887085 36.603172	0.435 0.064 0.054
item_jm_ammo_light	1390.598022 2341.149170 36.627792	0.442 0.057 0.045
item_jm_ammo_light	1406.628418 2342.174805 36.607605	0.437 0.064 0.053
item_jm_ammo_light	-929.965210 2346.038818 36.620083	0.440 0.060 0.048
item_jm_ammo_light	-913.427734 2341.633057 36.636799	0.445 0.055 0.042
item_jm_ammo_light	-866.677917 1626.362305 36.674171	1.012 0.586 -0.030
item_jm_ammo_light	-879.991272 1623.056030 36.598629	0.434 0.068 0.056
item_jm_ammo_light	1378.310059 1396.348389 36.622047	0.441 0.060 0.048
item_jm_ammo_light	1391.585449 1395.471680 36.662785	0.452 0.052 0.033
item_jm_ammo_light	288.215088 -1859.536255 144.390610	0.635 -0.224 0.198
item_jm_ammo_light	284.226837 -1869.706787 144.415497	0.719 -0.321 -0.940
item_jm_ammo_heavy	2154.850830 1204.857300 36.679157	-1.049 -0.008 0.873
item_jm_ammo_heavy	2153.873291 1179.826294 36.715069	-0.655 -0.004 0.543
item_jm_ammo_heavy	2138.463379 1176.559448 36.726547	0.566 -0.005 0.434
item_jm_ammo_heavy	2132.702881 1205.324829 36.714371	-0.665 -0.005 0.519
item_jm_ammo_heavy	2144.614502 1190.267212 36.662262	0.211 -0.001 0.236
item_jm_ammo_heavy	2150.899658 1718.147949 36.651402	0.768 -0.110 -0.546
item_jm_ammo_heavy	2150.282471 1697.060425 36.695072	-0.822 -0.009 0.681
item_jm_ammo_heavy	2128.735352 1718.432251 36.649372	0.779 0.008 -0.553
item_jm_ammo_heavy	2136.873535 1707.291626 36.729065	-0.540 -0.005 0.447
item_jm_ammo_heavy	2130.566406 1693.259277 36.619133	-0.437 0.001 -0.366
item_jm_ammo_heavy	-862.685425 1244.643188 36.618652	-0.368 -0.004 -0.290
item_jm_ammo_heavy	-875.963501 1248.345337 36.740013	0.531 0.005 0.442
item_jm_ammo_heavy	866.167725 1384.805908 36.699787	0.929 0.008 0.774
item_jm_ammo_heavy	880.064697 1386.242554 36.633778	-0.794 -0.003 -0.638
item_jm_ammo_heavy	-488.691162 806.044006 36.690609	1.022 0.109 0.791
item_jm_ammo_heavy	-490.361725 824.462036 36.717422	-0.637 -0.005 0.527
item_jm_ammo_heavy	273.712372 -1874.127197 144.452560	-0.305 -3.937 0.186
item_jm_ammo_heavy	262.644958 -1875.335327 144.402344	-0.869 -0.012 0.771
weapon_jm_primary_smg	2137.597656 1640.875977 37.374271	0.326 6.192 -87.297
weapon_jm_primary_smg	2141.190430 1623.769409 37.375656	0.277 6.176 -87.236
weapon_jm_primary_smg	321.390533 1678.717529 1.106453	0.264 6.688 -87.667
weapon_jm_grenade_tag	1432.540649 2332.413818 36.442791	-2.502 -1.323 -1.368
weapon_jm_grenade_tag	1446.504883 2332.080566 36.453190	-2.120 -1.402 -1.159
weapon_jm_grenade_tag	-887.268982 2335.550049 36.434074	-2.822 -1.186 -1.544
