# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_transit
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	30.394804 208.277573 0.970694	2.067 -18.698 -85.678
weapon_jm_secondary_heavy	31.602251 -227.235031 0.970632	2.012 -18.732 -85.774
weapon_jm_secondary_heavy	2215.706055 101.734482 136.970703	2.076 -18.698 -85.663
weapon_jm_secondary_heavy	-1829.622437 495.534729 8.970590	1.975 -18.746 -85.839
weapon_jm_secondary_heavy	-3499.531494 215.577744 -255.017914	2.811 -18.140 -85.279
weapon_jm_secondary_heavy	-2699.232178 -49.667942 0.970503	1.883 -18.769 -85.998
weapon_jm_secondary_heavy	-2660.083984 554.900574 128.970596	1.984 -18.746 -85.823
weapon_jm_secondary_heavy	-1555.948608 -188.384598 0.883428	3.210 -24.244 -84.043
weapon_jm_secondary_heavy	-1576.041138 187.195847 0.970632	2.012 -18.733 -85.774
weapon_jm_grenade_jump	2159.374023 111.541756 138.163116	-36.776 -49.221 -91.604
weapon_jm_grenade_jump	-754.837219 -130.729630 -247.829834	-2.185 -1.389 -1.195
weapon_jm_grenade_jump	-2728.325439 -60.069134 137.482864	18.883 54.607 -89.160
weapon_jm_grenade_jump	-2755.646240 -379.272034 -55.826225	-1.953 -1.207 -1.222
weapon_jm_grenade_jump	-1561.984497 -185.814209 0.176201	-1.149 -1.529 -1.165
weapon_jm_grenade_jump	-1562.320679 185.814880 0.165597	-1.373 -1.484 -1.397
item_jm_ammo_light	26.286434 356.240051 0.319414	0.448 0.073 0.060
item_jm_ammo_light	34.194157 -341.927551 0.369959	0.458 0.057 0.040
item_jm_ammo_light	552.892944 230.399200 136.351822	0.454 0.060 0.047
item_jm_ammo_light	549.749451 -232.870132 136.317123	0.447 0.073 0.061
item_jm_ammo_light	227.015045 -355.997864 136.334564	0.451 0.065 0.054
item_jm_ammo_light	256.210907 352.321014 136.365311	0.457 0.058 0.042
item_jm_ammo_light	1252.793457 648.391907 0.346322	0.453 0.062 0.049
item_jm_ammo_light	1294.396484 -646.915161 0.312417	0.446 0.073 0.063
item_jm_ammo_light	2130.195801 107.683067 0.342519	0.452 0.062 0.051
item_jm_ammo_light	2128.399902 -109.332870 0.346322	0.453 0.062 0.049
item_jm_ammo_light	-2694.972656 -30.994915 0.346284	0.453 0.061 0.050
item_jm_ammo_light	-1694.769531 -499.630615 8.348182	0.454 0.062 0.049
item_jm_ammo_light	-2773.374023 -332.894531 -255.622742	0.459 0.056 0.037
item_jm_ammo_light	-3501.919922 -50.051144 -255.630035	0.458 0.057 0.040
item_jm_ammo_light	-3113.787354 -625.893494 -255.598480	0.464 0.055 0.027
item_jm_ammo_light	-3085.969238 245.249847 0.374405	0.459 0.057 0.038
item_jm_ammo_light	-2776.242432 249.116562 0.344435	0.453 0.062 0.050
item_jm_ammo_light	-2924.886475 -22.416559 -255.653671	0.453 0.062 0.049
item_jm_ammo_light	1302.440674 102.158310 0.351817	0.454 0.060 0.047
item_jm_ammo_light	2134.485596 -98.794167 136.355347	0.455 0.060 0.046
item_jm_ammo_light	1747.829712 97.983452 0.344435	0.453 0.062 0.050
item_jm_ammo_light	1746.126587 -100.560349 0.360437	0.456 0.058 0.044
item_jm_ammo_light	-771.488037 115.105957 -247.618637	0.460 0.056 0.036
item_jm_ammo_light	-773.289490 -129.763626 -247.661438	0.451 0.064 0.053
item_jm_ammo_light	-2696.346191 -51.362793 136.346329	0.453 0.062 0.049
item_jm_ammo_light	-2758.069824 -368.328552 -55.621349	0.460 0.056 0.037
item_jm_ammo_light	-2738.559326 360.357269 128.378647	0.460 0.056 0.037
item_jm_ammo_heavy	32.397484 226.883301 0.425935	-0.682 -0.007 0.605
item_jm_ammo_heavy	34.288223 -207.427521 0.427713	-0.662 -0.006 0.590
item_jm_ammo_heavy	1065.951538 -0.393773 208.030579	-47.445 -0.056 -0.008
item_jm_ammo_heavy	321.628784 364.065277 0.465887	-0.367 -0.006 0.326
item_jm_ammo_heavy	285.899414 -359.281799 0.374294	0.751 -0.022 -0.518
item_jm_ammo_heavy	2181.948975 106.251633 136.411224	-1.008 0.106 0.789
item_jm_ammo_heavy	2194.673096 104.575439 136.387344	-0.987 0.018 0.883
item_jm_ammo_heavy	-1687.742676 -471.216492 8.393678	-0.946 -0.002 0.843
item_jm_ammo_heavy	-1825.423096 480.359436 8.385027	-0.984 -0.010 0.882
item_jm_ammo_heavy	-2773.591797 -363.658539 -255.588181	-0.793 -0.006 0.704
item_jm_ammo_heavy	-3504.102539 232.022430 -255.622192	0.301 0.003 -0.158
item_jm_ammo_heavy	-752.389832 135.899536 -247.597534	-0.870 -0.012 0.772
item_jm_ammo_heavy	-2712.324951 -52.418686 0.493876	-0.140 0.718 0.118
item_jm_ammo_heavy	-2719.225830 -51.945557 136.410049	-1.002 -0.003 0.797
item_jm_ammo_heavy	-2658.044678 537.679993 128.432449	-0.662 -0.004 0.531
item_jm_ammo_heavy	-1570.801025 -187.875595 0.355248	1.045 0.000 -0.840
item_jm_ammo_heavy	-1551.584351 187.136078 0.383413	-0.629 -0.005 0.597
weapon_jm_primary_smg	1249.803345 621.378906 1.092330	0.352 6.566 -87.328
weapon_jm_primary_smg	1247.369751 -640.291443 1.093276	0.317 6.549 -87.286
weapon_jm_primary_smg	-1827.297852 454.381592 9.093183	0.321 6.549 -87.290
weapon_jm_primary_smg	-3041.961914 -617.840942 -254.905106	0.260 6.539 -87.215
weapon_jm_primary_smg	-3055.340332 235.799179 1.093785	0.299 6.552 -87.264
weapon_jm_primary_smg	1235.071411 96.994438 1.094041	0.290 6.553 -87.253
weapon_jm_primary_smg	-2663.333496 514.438293 129.092728	0.337 6.552 -87.311
weapon_jm_grenade_tag	1060.528931 10.441697 209.471817	-11.143 94.788 84.172
weapon_jm_grenade_tag	1264.291748 645.929077 0.157383	-1.548 -1.444 -1.576
weapon_jm_grenade_tag	1282.661621 -627.970886 0.197656	-0.693 -1.564 -0.699
weapon_jm_grenade_tag	-1690.992676 -487.314667 8.157380	-1.550 -1.444 -1.576
weapon_jm_grenade_tag	-1837.124634 491.879608 8.131950	-2.092 -1.230 -2.131
weapon_jm_grenade_tag	-3514.028320 -42.040890 -255.806046	-0.992 -1.260 -0.946
weapon_jm_grenade_tag	-3096.720459 -622.579468 -255.845963	-1.620 -1.419 -1.649
weapon_jm_grenade_tag	-3034.291260 237.890030 0.131917	-2.097 -1.230 -2.130
weapon_jm_grenade_tag	2159.252930 -101.783768 136.140396	-1.911 -1.293 -1.947
weapon_jm_grenade_tag	-2650.666016 545.207703 128.195450	-0.776 -1.347 -1.018
weapon_jm_grenade_tag	-1539.629639 370.374603 136.184372	-1.705 -1.092 -0.913
weapon_jm_grenade_tag	-1539.914673 -371.223114 136.177719	-1.908 -1.428 -1.043
weapon_jm_grenade_tag	-2740.133301 370.871033 128.176056	-1.588 -1.362 -1.354
weapon_jm_primary_lmg	1356.221924 -92.814018 -2.191552	18.634 -0.118 2.992
weapon_jm_primary_lmg	-2831.906738 -613.116638 -258.191559	18.634 -0.123 2.992
