# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_warmup
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	4251.812988 401.192902 37.149269	2.229 -18.489 -84.273
weapon_jm_secondary_heavy	4251.587402 418.112183 37.099682	2.209 -18.342 -83.765
weapon_jm_secondary_heavy	4262.897461 407.866364 37.251644	1.814 -21.878 -86.118
weapon_jm_grenade_jump	4122.637207 201.544296 36.445786	-2.391 -1.323 -1.308
weapon_jm_grenade_jump	4123.466309 180.532791 36.446758	-2.356 -1.359 -1.288
weapon_jm_grenade_jump	4122.383301 191.859131 36.460499	-1.852 -1.448 -1.012
weapon_jm_grenade_jump	4132.896973 188.058609 36.441746	-2.540 -1.297 -1.389
weapon_jm_grenade_jump	4129.815918 196.841492 36.461250	-1.824 -1.448 -0.997
weapon_jm_grenade_jump	4140.571289 192.975372 36.449593	-2.252 -1.362 -1.231
weapon_jm_grenade_jump	4113.745605 -7.416288 759.719055	-0.123 -1.373 -0.071
weapon_jm_grenade_jump	5102.529297 -8.519630 1015.711670	-0.201 -1.362 -0.117
weapon_jm_grenade_jump	5102.061523 -1013.188782 1463.695801	-0.370 -1.359 -0.215
weapon_jm_grenade_jump	4110.136230 -1001.739746 1656.987427	18.656 23.116 -89.316
item_jm_ammo_light	4111.447266 278.955475 36.593933	0.433 0.068 0.058
item_jm_ammo_light	4121.130859 278.565063 36.665421	0.453 0.051 0.032
item_jm_ammo_light	4127.472656 278.526794 36.640202	0.446 0.055 0.041
item_jm_ammo_light	4133.944336 278.234100 36.596298	0.433 0.068 0.057
item_jm_ammo_light	4142.744141 277.727509 36.648304	0.448 0.054 0.038
item_jm_ammo_light	4110.871582 289.852875 36.618069	0.440 0.060 0.049
item_jm_ammo_light	4118.850586 290.967957 36.652878	0.450 0.052 0.036
item_jm_ammo_light	4128.771484 290.485840 36.645138	0.447 0.054 0.039
item_jm_ammo_light	4135.745117 290.570740 36.625896	0.442 0.057 0.046
item_jm_ammo_light	4142.025879 290.351654 36.616035	0.439 0.060 0.050
item_jm_ammo_heavy	4110.954590 344.772736 36.659927	-0.121 0.000 -0.033
item_jm_ammo_heavy	4120.401855 345.315094 36.665295	-0.988 -0.002 0.866
item_jm_ammo_heavy	4130.229492 346.219391 36.716240	0.575 -0.019 0.521
item_jm_ammo_heavy	4137.564941 346.533142 36.672428	0.422 -0.030 0.279
item_jm_ammo_heavy	4144.923340 348.154449 36.693176	0.928 0.011 0.772
item_jm_ammo_heavy	4112.543945 362.133911 36.734341	-0.502 -0.005 0.417
item_jm_ammo_heavy	4122.110840 362.089996 36.672050	0.832 0.007 0.738
item_jm_ammo_heavy	4130.505371 361.590851 36.663296	-0.113 -0.005 -0.029
item_jm_ammo_heavy	4140.371582 361.991089 36.659325	-0.441 -0.005 -0.290
weapon_jm_primary_smg	4425.198242 411.081726 37.375690	0.276 6.177 -87.235
weapon_jm_primary_smg	4466.763184 412.570251 37.375416	0.286 6.175 -87.247
weapon_jm_grenade_tag	4124.118652 149.707901 36.448662	-2.286 -1.367 -1.250
weapon_jm_grenade_tag	4123.100586 157.065979 36.452301	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	4123.667969 165.368866 36.452301	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	4130.926270 154.831787 36.479317	-1.163 -1.499 -0.636
weapon_jm_grenade_tag	4130.907227 161.352951 36.466225	-1.642 -1.464 -0.898
weapon_jm_grenade_tag	4138.868164 158.203445 36.445778	-2.395 -1.322 -1.306
weapon_jm_primary_lmg	4982.264160 413.841736 34.089695	18.634 0.084 2.992
weapon_jm_primary_lmg	5024.019043 411.221893 34.089695	18.634 -0.374 2.992
weapon_jm_primary_rifle	4757.511719 410.249969 37.167095	0.140 11.253 -87.481
weapon_jm_primary_rifle	4791.278809 407.972076 37.166115	0.141 11.253 -87.471
weapon_jm_secondary_light	4182.330078 422.475555 37.176239	-0.607 34.060 89.909
weapon_jm_secondary_light	4182.838867 411.313660 37.176018	-0.571 34.062 89.872
weapon_jm_secondary_light	4201.337402 417.230194 37.176929	-0.716 34.054 90.022
weapon_jm_secondary_auto	4221.321289 418.116089 37.393875	-0.797 25.608 91.557
weapon_jm_secondary_auto	4221.635254 410.401978 37.389740	-0.695 26.246 91.093
weapon_jm_secondary_auto	4237.893555 416.698639 37.390549	-0.598 25.636 91.144
weapon_jm_primary_sniper	4860.767578 422.763367 35.470501	3.453 13.205 65.391
weapon_jm_primary_sniper	4899.457031 417.497528 35.475033	3.442 13.205 65.417
weapon_jm_primary_shotgun	4317.967773 408.516022 37.796715	-0.515 -9.600 -89.507
weapon_jm_primary_shotgun	4358.479004 407.527435 37.779549	-0.510 -9.605 -89.369
item_jm_ammo_medium	4109.465820 309.024231 36.654079	-0.108 -0.020 -0.027
item_jm_ammo_medium	4117.110840 308.450165 36.663239	-0.100 -0.020 -0.025
item_jm_ammo_medium	4124.992188 308.623962 36.599052	-0.155 -0.018 -0.039
item_jm_ammo_medium	4132.515137 308.285126 36.689682	-0.077 -0.021 -0.019
item_jm_ammo_medium	4138.577637 308.260132 36.612217	-0.144 -0.019 -0.036
item_jm_ammo_medium	4110.585938 327.639313 36.717056	-0.052 -0.016 -0.016
item_jm_ammo_medium	4117.005371 327.829590 36.654079	-0.108 -0.020 -0.027
item_jm_ammo_medium	4124.743652 328.612427 36.646236	-0.114 -0.020 -0.029
item_jm_ammo_medium	4130.754883 329.327240 36.651604	-0.340 -0.043 -0.165
item_jm_ammo_medium	4138.362793 329.755707 36.678082	-0.087 -0.020 -0.022
weapon_jm_grenade_frag	4119.441406 231.411041 38.464642	-37.086 -55.376 -92.099
weapon_jm_grenade_frag	4122.980957 224.614532 38.419365	-36.395 -56.099 -91.003
weapon_jm_grenade_frag	4132.974121 220.196030 38.415031	-36.328 -56.164 -90.900
weapon_jm_grenade_frag	4132.936523 232.532959 38.554432	-38.527 -66.670 -94.418
weapon_jm_grenade_frag	4133.837891 227.191803 38.550369	8.526 -45.760 -94.024
ent_jm_carepackage_spawn	5014.046875 -511.366638 24.450172	0.195 -0.003 0.146
