# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_abyss
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-180.918518 99.809837 32.970524	1.917 -18.794 -85.940
weapon_jm_secondary_heavy	-140.287949 102.371758 32.970596	1.979 -18.746 -85.831
weapon_jm_grenade_tag	-20.223125 2240.093262 32.145622	-1.799 -1.352 -1.833
weapon_jm_grenade_tag	21.642071 -2237.725342 32.148117	-1.746 -1.380 -1.779
weapon_jm_grenade_jump	32.540043 -2238.601074 272.152893	-1.644 -1.424 -1.674
weapon_jm_grenade_jump	-32.618275 2239.116211 272.160583	-1.480 -1.456 -1.507
weapon_jm_grenade_jump	160.007568 103.254936 32.139042	-1.940 -1.274 -1.977
weapon_jm_primary_smg	-220.943481 863.453857 169.092941	0.330 6.549 -87.301
weapon_jm_primary_smg	197.358231 -881.434631 169.093323	0.316 6.549 -87.284
weapon_jm_grenade_glue	-228.234055 -890.217651 5.491685	-0.031 0.000 -0.018
weapon_jm_grenade_glue	228.284775 889.323303 5.470665	0.038 0.000 0.023
weapon_jm_primary_lmg	-34.441242 -2237.621582 269.808441	18.634 3.307 2.992
weapon_jm_primary_lmg	35.784889 2240.829102 269.808441	18.634 -0.126 2.992
weapon_jm_primary_rifle	-74.877197 1197.457153 32.879158	0.151 11.848 -87.422
weapon_jm_primary_rifle	215.946487 1329.779297 168.873581	0.159 11.848 -87.361
weapon_jm_primary_rifle	-81.850739 -1012.861511 32.893566	0.130 11.848 -87.578
weapon_jm_primary_rifle	64.601952 -1208.311768 32.899250	0.122 11.849 -87.640
weapon_jm_secondary_light	136.456299 -101.458282 32.166672	36.620 0.422 0.097
weapon_jm_secondary_light	179.878448 -100.492538 32.164398	36.645 0.425 0.101
weapon_jm_secondary_auto	-180.227844 -102.181511 33.112789	-0.826 25.813 91.584
weapon_jm_secondary_auto	-147.348526 -101.855705 33.112030	-0.780 25.828 91.489
weapon_jm_primary_sniper	-3.488327 -2497.815186 159.137405	3.624 12.634 65.623
weapon_jm_primary_sniper	0.050683 2507.340332 159.133911	3.634 12.637 65.619
weapon_jm_primary_shotgun	175.587738 2422.241211 33.485699	-0.410 -9.749 -89.606
weapon_jm_primary_shotgun	-168.803391 2420.144043 33.486717	-0.416 -9.748 -89.594
weapon_jm_primary_shotgun	75.493164 1004.401733 33.486469	-0.415 -9.748 -89.597
weapon_jm_primary_shotgun	-190.916428 -1336.552124 169.489227	-0.431 -9.745 -89.566
weapon_jm_primary_shotgun	171.821167 -2426.422852 33.489021	-0.430 -9.745 -89.568
weapon_jm_primary_shotgun	-174.950485 -2428.074707 33.488586	-0.427 -9.746 -89.573
weapon_jm_grenade_frag	15.152328 2241.262695 34.146439	-36.522 -49.475 -91.202
weapon_jm_grenade_frag	-20.189825 -2235.339355 34.075378	-35.436 -58.047 -89.541
weapon_jm_grenade_health	-237.684784 1318.213135 0.345142	-0.103 0.000 -0.039
weapon_jm_grenade_health	240.330078 -1317.160400 0.399520	-0.070 0.000 -0.026
ent_jm_carepackage_spawn	3.577074 -2441.228760 128.345612	-0.012 -0.008 0.011
ent_jm_carepackage_spawn	342.383667 -2482.282471 64.381531	0.002 0.000 0.001
ent_jm_carepackage_spawn	-342.660187 -2484.759521 64.379723	0.002 0.000 0.001
ent_jm_carepackage_spawn	-198.220444 -2316.267090 0.379719	0.002 0.000 0.001
ent_jm_carepackage_spawn	295.022705 -2243.366943 0.342134	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-9.148820 -2318.379150 0.379121	0.020 0.008 0.015
ent_jm_carepackage_spawn	3.505277 -2151.833984 0.327163	0.001 0.000 -0.001
ent_jm_carepackage_spawn	199.041824 -2158.472412 0.433198	0.031 -0.000 0.030
ent_jm_carepackage_spawn	-192.735657 -2164.365234 0.376032	0.002 0.000 0.001
ent_jm_carepackage_spawn	-2.655774 -2215.186279 272.369507	-0.014 0.014 -0.023
ent_jm_carepackage_spawn	4.850945 -1912.698975 0.366406	-0.006 -0.020 0.050
ent_jm_carepackage_spawn	-4.567117 -1703.487549 0.409174	-0.001 -0.014 0.012
ent_jm_carepackage_spawn	-0.001822 -1462.786865 0.353239	0.010 0.009 -0.026
ent_jm_carepackage_spawn	173.325729 -1316.169189 0.368305	0.001 0.000 0.000
ent_jm_carepackage_spawn	-2.887874 -1285.367676 0.370280	0.002 0.000 0.000
ent_jm_carepackage_spawn	-159.693069 -1274.011475 0.351388	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-164.629944 -1247.670654 136.364273	0.001 0.000 0.000
ent_jm_carepackage_spawn	-15.996561 -1277.652832 136.357971	0.001 0.000 -0.000
ent_jm_carepackage_spawn	174.905136 -1312.503540 136.358582	-0.012 -0.016 0.019
ent_jm_carepackage_spawn	173.221710 -967.356445 136.353622	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-33.990131 -940.768250 136.368301	0.001 0.000 0.000
ent_jm_carepackage_spawn	-184.870987 -891.521240 136.344498	0.001 0.000 -0.000
ent_jm_carepackage_spawn	89.918175 -1100.596680 136.357971	0.001 0.000 -0.000
