# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_apartments
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	559.890503 -434.221863 48.900410	2.241 -18.493 -84.605
weapon_jm_secondary_heavy	463.253510 1444.543457 48.858242	2.225 -18.487 -84.173
weapon_jm_secondary_heavy	23.266426 1637.008789 256.970215	1.683 -19.228 -86.347
weapon_jm_secondary_heavy	39.319851 -618.992126 256.970459	1.873 -19.163 -86.016
weapon_jm_grenade_tag	415.065704 -210.659119 292.463928	-1.717 -1.464 -0.939
weapon_jm_grenade_tag	605.012390 1202.933105 292.447479	-2.320 -1.370 -1.269
weapon_jm_grenade_tag	288.858521 512.181702 36.471897	-1.434 -1.484 -0.784
weapon_jm_grenade_tag	1619.071289 81.149559 36.278175	-1.996 -1.430 -1.091
weapon_jm_grenade_tag	1579.988037 947.168518 36.293514	-1.434 -1.484 -0.784
weapon_jm_grenade_tag	471.713531 1440.235962 48.170166	-2.185 -1.389 -1.195
weapon_jm_grenade_tag	557.997925 -416.100250 48.168350	-2.252 -1.362 -1.231
weapon_jm_grenade_jump	-461.606812 507.594330 208.103638	-1.352 -1.195 -0.788
weapon_jm_grenade_jump	1481.326660 509.891510 208.141953	-0.944 -1.299 -0.550
weapon_jm_grenade_jump	606.899780 1440.726685 601.644226	-0.048 -62.396 -89.995
weapon_jm_grenade_jump	395.926331 -419.773773 600.202637	-1.533 11.642 0.268
weapon_jm_primary_smg	929.813293 1756.032349 45.374832	0.307 6.174 -87.273
weapon_jm_primary_smg	91.829224 -796.775024 45.375515	0.281 6.176 -87.242
weapon_jm_primary_smg	1596.189453 79.163254 37.197449	0.271 6.177 -87.229
weapon_jm_primary_smg	995.526978 1643.953125 255.452667	-7.377 0.713 -1.860
weapon_jm_primary_smg	995.514832 -617.522583 255.436478	-7.296 0.863 -2.028
weapon_jm_primary_smg	-82.639404 599.799072 46.159721	-0.889 4.701 84.145
weapon_jm_primary_smg	923.474854 -939.656921 497.096344	0.208 6.194 -87.152
weapon_jm_primary_smg	110.651909 1941.775269 497.096344	0.208 6.194 -87.152
weapon_jm_grenade_glue	1949.382935 474.552887 45.829842	0.052 -0.000 -0.030
weapon_jm_grenade_glue	41.133121 1638.020752 261.494537	-0.031 0.000 -0.016
weapon_jm_grenade_glue	21.996111 -612.880615 261.472412	-0.037 0.000 -0.021
weapon_jm_primary_lmg	512.740051 488.773407 213.805771	18.627 0.253 2.928
weapon_jm_primary_rifle	610.052734 1221.067627 293.130615	-0.001 13.305 -87.565
weapon_jm_primary_rifle	421.640228 -191.828751 293.135864	0.183 11.252 -87.139
weapon_jm_primary_rifle	1599.689941 933.982788 37.016823	0.101 11.254 -87.792
weapon_jm_secondary_light	105.422791 1564.339600 45.175007	-0.416 34.068 89.712
weapon_jm_secondary_light	919.435425 -533.726318 45.176270	-0.616 34.060 89.918
weapon_jm_secondary_light	224.951614 -614.261414 261.644836	-0.788 33.778 90.096
weapon_jm_secondary_light	792.190613 1636.245239 261.643646	-0.600 33.785 89.902
weapon_jm_secondary_light	287.960724 549.007690 37.175858	-0.546 34.063 89.846
weapon_jm_secondary_light	287.743561 533.698608 37.175243	-0.448 34.067 89.745
weapon_jm_secondary_auto	105.361572 1610.473999 45.392151	-0.695 25.625 91.346
weapon_jm_secondary_auto	917.722473 -586.332764 45.392414	-0.711 25.624 91.379
weapon_jm_secondary_auto	377.438202 1611.068115 297.368805	-0.482 26.107 90.820
