# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_back_alley
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	426.274750 -893.468628 64.970657	2.034 -18.713 -85.735
weapon_jm_secondary_heavy	-405.313416 -337.485596 108.320305	1.859 -20.628 -86.041
weapon_jm_secondary_heavy	396.149963 319.128326 108.320587	2.110 -20.530 -85.604
weapon_jm_secondary_heavy	281.770111 237.605789 200.970718	2.085 -18.692 -85.648
weapon_jm_secondary_heavy	-382.177856 -588.517578 72.970314	1.749 -19.198 -86.231
weapon_jm_secondary_heavy	-274.607849 504.156982 109.084343	2.218 -18.429 -83.984
weapon_jm_secondary_heavy	404.291046 844.380371 64.975945	1.920 -18.497 -86.393
weapon_jm_secondary_heavy	-340.230743 1482.949585 64.970612	1.996 -18.733 -85.802
weapon_jm_grenade_push	357.257294 3.801821 74.078430	-36.958 -49.947 -89.979
weapon_jm_grenade_push	-358.237274 -7.067832 74.059311	-36.804 -50.185 -89.564
weapon_jm_grenade_push	0.658483 1445.198608 802.168457	12.990 -32.197 -91.038
weapon_jm_grenade_push	-70.360420 1209.683960 50.153488	12.979 43.131 90.276
weapon_jm_grenade_push	68.678146 1210.667969 50.300720	9.805 -37.100 93.428
item_jm_ammo_light	-429.992340 -1011.726257 64.348183	0.453 0.062 0.049
item_jm_ammo_light	262.504486 -988.642090 184.375870	0.459 0.058 0.037
item_jm_ammo_light	-149.062469 -782.519775 200.339142	0.464 0.066 0.047
item_jm_ammo_light	-268.825165 -256.035431 200.336594	0.451 0.065 0.053
item_jm_ammo_light	427.859283 -428.956390 72.342575	0.453 0.064 0.050
item_jm_ammo_light	404.820190 -491.232788 200.334610	0.451 0.066 0.053
item_jm_ammo_light	-233.623749 -493.312012 72.342522	0.452 0.062 0.051
item_jm_ammo_light	237.201645 496.075958 72.350014	0.454 0.062 0.048
item_jm_ammo_light	181.664764 787.562500 200.337143	0.464 0.066 0.048
item_jm_ammo_light	389.090485 599.144714 72.350510	0.465 0.064 0.043
item_jm_ammo_light	387.696259 -296.721832 72.338654	0.452 0.066 0.052
item_jm_ammo_light	388.156281 -736.600342 72.351868	0.455 0.061 0.046
item_jm_ammo_light	-371.898773 230.694290 72.373344	0.468 0.059 0.035
item_jm_ammo_light	-182.537445 994.237000 64.355347	0.455 0.060 0.046
item_jm_ammo_light	-150.599579 220.413437 200.352310	0.466 0.062 0.043
item_jm_ammo_light	-412.281097 811.683777 200.411407	0.472 0.056 0.021
item_jm_ammo_light	-299.931763 547.786621 200.359222	0.466 0.062 0.040
item_jm_ammo_light	-299.917969 415.604401 200.317749	0.462 0.075 0.055
item_jm_ammo_light	348.118469 1477.489014 64.392685	0.462 0.055 0.031
item_jm_ammo_light	-100.798508 1521.748535 584.400513	0.464 0.054 0.028
item_jm_ammo_light	97.187790 1519.737305 584.362122	0.456 0.058 0.043
item_jm_ammo_light	336.144928 1254.447021 200.358765	0.455 0.060 0.044
item_jm_ammo_light	-404.860107 1248.035522 200.346329	0.453 0.062 0.049
item_jm_ammo_light	349.057404 -19.175211 72.310677	0.461 0.075 0.058
item_jm_ammo_light	-349.020142 2.339804 72.373344	0.468 0.059 0.035
item_jm_ammo_heavy	-437.249084 -843.400330 64.432953	-0.624 -0.006 0.555
item_jm_ammo_heavy	427.775757 -907.588806 64.337990	0.449 0.004 -0.353
item_jm_ammo_heavy	-185.285248 -788.895447 200.434235	-0.608 -0.006 0.540
item_jm_ammo_heavy	-289.347046 -250.491043 200.347260	0.715 0.003 -0.571
item_jm_ammo_heavy	-401.054871 -320.061371 107.719193	-0.765 0.003 -0.550
item_jm_ammo_heavy	399.581421 312.706909 107.687233	-0.365 -0.004 -0.288
item_jm_ammo_heavy	185.981506 804.745117 200.392487	-0.962 -0.002 0.854
item_jm_ammo_heavy	303.042480 246.815887 200.374268	0.751 -0.022 -0.519
item_jm_ammo_heavy	276.714294 255.904800 200.409592	-1.003 -0.003 0.800
item_jm_ammo_heavy	-389.903259 -581.523376 72.381416	-0.229 0.001 0.271
item_jm_ammo_heavy	-276.642395 495.590454 108.629402	-0.767 -0.006 0.695
item_jm_ammo_heavy	-149.342438 985.154480 64.347260	0.713 0.003 -0.569
item_jm_ammo_heavy	-427.797638 803.210022 200.344162	-0.587 0.003 -0.490
