# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_beach_house
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	1173.634155 -4477.185547 181.124756	2.219 -18.440 -84.024
weapon_jm_secondary_heavy	220.994644 -3160.575439 45.130638	2.221 -18.466 -84.082
weapon_jm_secondary_heavy	1179.501709 -1593.637939 173.126663	2.220 -18.437 -84.044
weapon_jm_secondary_heavy	2021.017822 -1713.926147 37.137772	2.224 -18.472 -84.155
weapon_jm_secondary_heavy	746.503418 298.176208 37.132469	2.222 -18.469 -84.101
weapon_jm_secondary_heavy	1304.118774 1217.394043 37.168602	2.169 -21.811 -84.589
weapon_jm_secondary_heavy	424.322388 283.551941 365.150574	2.229 -18.490 -84.289
weapon_jm_secondary_heavy	1033.974121 102.917625 357.140930	2.226 -18.489 -84.190
weapon_jm_secondary_heavy	1009.409607 -545.320862 37.124969	2.219 -18.440 -84.024
weapon_jm_secondary_heavy	331.623901 993.712952 357.140930	2.226 -18.489 -84.190
weapon_jm_grenade_tag	1459.725586 -4591.321289 44.647308	-2.185 -1.389 -1.195
weapon_jm_grenade_tag	1439.457520 -4592.069336 44.629955	-2.822 -1.186 -1.544
weapon_jm_grenade_tag	1449.532959 -4596.361816 44.637638	-2.540 -1.297 -1.389
weapon_jm_grenade_tag	1359.477417 397.960144 356.466644	-1.617 -1.471 -0.884
weapon_jm_grenade_tag	1344.220459 397.052185 356.453796	-2.088 -1.401 -1.142
weapon_jm_grenade_tag	1353.794067 402.861877 356.452942	-2.120 -1.402 -1.159
weapon_jm_grenade_tag	708.803650 397.543121 356.457123	-1.966 -1.430 -1.075
weapon_jm_grenade_tag	685.419189 396.914307 356.443542	-2.464 -1.325 -1.348
weapon_jm_grenade_tag	697.606140 402.067596 356.443542	-2.464 -1.325 -1.348
weapon_jm_grenade_jump	1302.026123 -4581.471680 292.433807	-2.822 -1.186 -1.543
weapon_jm_grenade_jump	222.971390 -3128.473633 44.442780	-2.504 -1.323 -1.367
weapon_jm_grenade_jump	216.370529 -1553.461426 36.442783	-2.502 -1.323 -1.368
weapon_jm_grenade_jump	1340.511597 1217.131226 36.454903	-2.057 -1.402 -1.125
weapon_jm_grenade_jump	461.642120 286.891998 364.457916	-1.937 -1.428 -1.059
weapon_jm_grenade_jump	1003.440552 105.889938 356.443542	-2.464 -1.325 -1.348
weapon_jm_primary_smg	1620.418335 -4164.741211 173.374542	0.308 6.177 -87.275
weapon_jm_primary_smg	1397.078003 -4134.236328 45.375317	0.289 6.175 -87.252
weapon_jm_primary_smg	1022.952881 -533.380493 37.375546	0.280 6.176 -87.240
weapon_jm_primary_smg	675.834290 1350.401733 229.374573	0.307 6.174 -87.273
weapon_jm_primary_smg	481.324036 545.673401 501.373993	0.328 6.191 -87.300
weapon_jm_primary_smg	214.527695 -1427.022461 37.375351	0.288 6.175 -87.250
weapon_jm_grenade_glue	1138.166626 -4473.962402 185.747360	-0.000 0.000 -0.049
weapon_jm_grenade_glue	712.842163 302.788208 41.747993	-0.041 0.000 -0.023
weapon_jm_grenade_glue	290.386993 1548.604126 241.744003	-0.042 0.000 -0.024
weapon_jm_grenade_glue	1178.935059 -1637.596313 177.742035	-0.043 -0.000 0.025
weapon_jm_grenade_glue	209.640640 -1517.844238 41.705048	-0.055 0.000 -0.032
weapon_jm_primary_lmg	1706.377319 -2741.917480 42.051334	18.523 0.736 2.068
weapon_jm_primary_lmg	1032.107300 254.495193 498.033752	18.492 -0.387 3.884
weapon_jm_primary_rifle	1181.323364 -1457.116333 173.151688	0.161 11.252 -87.314
weapon_jm_primary_rifle	863.376160 -258.886505 45.144382	0.171 11.252 -87.231
weapon_jm_primary_rifle	724.371033 956.398560 37.153133	0.159 11.253 -87.327
weapon_jm_primary_rifle	1462.014771 1697.249390 37.168064	0.138 11.253 -87.492
weapon_jm_primary_rifle	1112.732422 1528.989746 229.147705	0.168 6.483 -87.285
weapon_jm_secondary_light	1469.281494 -4582.616211 45.371803	-0.554 34.062 89.855
weapon_jm_secondary_light	1417.918091 -4585.577148 45.371010	-0.429 34.068 89.725
weapon_jm_secondary_light	1449.231079 -4579.281250 45.372311	-0.635 34.059 89.938
weapon_jm_secondary_light	219.229630 -1531.164795 37.175560	-0.498 34.065 89.797
