# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_block_alley
# Exported by: Seb
setting:	replacespawns 0
weapon_jm_secondary_heavy	882.421204 -2740.777588 680.970581	1.984 -18.745 -85.823
weapon_jm_secondary_heavy	1908.384888 -2344.509766 161.422623	-18.764 -35.954 -83.551
weapon_jm_secondary_heavy	1895.889771 -2146.591553 520.970581	1.951 -20.587 -85.880
weapon_jm_secondary_heavy	1415.015991 -1573.226563 600.970581	1.974 -20.577 -85.840
weapon_jm_secondary_heavy	2062.802246 -1407.514160 520.969971	1.493 -15.591 -86.677
weapon_jm_secondary_heavy	1013.561096 -561.501770 520.970886	2.144 -19.275 -85.555
weapon_jm_grenade_push	1679.818848 -3347.236572 880.151245	-2.533 -0.425 -1.204
weapon_jm_grenade_push	1858.252075 -2291.397217 200.148361	-0.816 -1.671 -1.245
weapon_jm_grenade_push	1470.315796 -488.229797 1281.617065	21.524 -55.890 -89.364
item_jm_ammo_light	1732.447510 -3202.492676 560.320740	0.556 -0.088 0.098
item_jm_ammo_light	1506.400635 -3099.604736 720.371521	0.459 0.059 0.039
item_jm_ammo_light	1663.059448 -3334.088379 880.346375	0.454 0.064 0.049
item_jm_ammo_light	871.731445 -2559.922607 681.265991	17.500 2.801 0.057
item_jm_ammo_light	1027.301636 -2615.336670 520.431458	0.956 -0.295 -0.885
item_jm_ammo_light	1342.001221 -2102.308105 520.371521	0.459 0.059 0.039
item_jm_ammo_light	1907.190674 -2287.072510 161.685410	7.461 2.493 14.037
item_jm_ammo_light	1889.824097 -2340.377441 160.423553	0.373 29.560 -0.581
item_jm_ammo_light	1020.255005 -3133.199951 520.391541	0.463 0.057 0.031
item_jm_ammo_light	1902.039429 -3148.584961 521.133972	1.341 -0.029 10.287
item_jm_ammo_light	1903.918579 -572.523071 520.360840	0.769 0.270 -0.009
item_jm_ammo_light	1579.488281 -627.894043 560.317200	0.448 0.075 0.060
item_jm_ammo_light	1372.935669 -620.090698 560.348267	0.454 0.064 0.048
item_jm_ammo_light	1446.597046 -494.709808 1280.358887	0.456 0.062 0.044
item_jm_ammo_light	1540.303711 -545.457703 921.390930	-19.716 2.872 -0.209
item_jm_ammo_light	1028.295288 -1335.687378 520.340637	0.453 0.066 0.051
item_jm_ammo_light	987.672913 -1904.803589 400.385315	0.461 0.056 0.034
item_jm_ammo_heavy	1615.372192 -2349.314209 520.379395	-0.020 0.000 0.040
item_jm_ammo_heavy	1702.079834 -3349.988525 880.388733	-0.992 0.018 0.882
item_jm_ammo_heavy	901.687012 -2739.131104 680.408630	-1.027 -0.006 0.809
item_jm_ammo_heavy	1023.012756 -2649.040771 520.384827	-0.998 -0.010 0.895
item_jm_ammo_heavy	1815.135132 -2325.343262 160.449936	0.203 5.646 0.579
item_jm_ammo_heavy	1897.273438 -2319.245361 165.137589	0.250 0.365 -90.053
item_jm_ammo_heavy	1906.081909 -2346.311279 161.665924	-19.858 6.020 -0.226
item_jm_ammo_heavy	1899.900269 -2128.528809 520.423157	-0.749 -0.005 0.583
item_jm_ammo_heavy	1417.714355 -1609.866211 600.376770	0.482 0.018 -0.304
item_jm_ammo_heavy	1419.507568 -1580.884033 600.350464	0.830 0.002 -0.665
item_jm_ammo_heavy	2062.072266 -1421.002319 520.377014	0.475 0.018 -0.296
item_jm_ammo_heavy	1904.311401 -3180.723877 520.380127	-0.026 0.002 0.105
item_jm_ammo_heavy	1141.288818 -1411.585083 321.126038	11.887 -3.256 0.188
item_jm_ammo_heavy	1539.715820 -587.550415 1120.395752	-0.933 -0.002 0.831
item_jm_ammo_heavy	1462.061157 -496.286713 1280.463745	-0.382 -2.884 0.317
item_jm_ammo_heavy	1019.362793 -568.555786 520.390320	-0.976 0.004 0.870
weapon_jm_primary_smg	1739.379272 -3175.552734 561.111145	0.324 3.019 -87.985
weapon_jm_primary_smg	861.089905 -2714.987549 681.093506	0.308 6.550 -87.275
weapon_jm_primary_smg	1337.147705 -2060.031250 520.919312	0.636 -3.007 -85.507
weapon_jm_primary_smg	1499.260254 -2172.530762 201.088150	0.247 1.734 -87.387
