# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_bong_palace
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	1204.881958 258.925171 120.970444	1.846 -20.629 -86.063
weapon_jm_secondary_heavy	410.774139 261.428680 8.842876	3.297 -16.510 -83.560
weapon_jm_secondary_heavy	-486.216431 847.742432 168.836929	3.345 -16.487 -83.478
weapon_jm_secondary_heavy	737.619019 822.399170 136.970535	1.923 -19.147 -85.929
weapon_jm_secondary_heavy	11.588313 911.021118 9.626464	1.219 -20.291 -85.941
weapon_jm_grenade_tag	-1688.529541 1612.834839 36.639698	-2.464 -1.325 -1.348
weapon_jm_grenade_tag	-1686.707520 400.707764 36.648205	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	420.637238 832.646484 324.444550	-2.429 -1.323 -1.326
weapon_jm_grenade_tag	-1159.477783 1211.614990 0.171141	-1.255 -1.505 -1.277
weapon_jm_grenade_tag	438.122437 260.300690 8.169414	-1.960 -1.379 -1.410
weapon_jm_grenade_tag	-719.153564 837.781677 32.738949	-1.996 -1.430 -1.091
weapon_jm_grenade_tag	-108.738243 794.717773 176.177826	-1.686 -1.426 -1.213
weapon_jm_grenade_jump	-1503.995972 994.291077 0.167571	-2.020 -1.367 -1.453
weapon_jm_grenade_jump	715.942444 659.831787 304.148132	-1.746 -1.380 -1.778
weapon_jm_grenade_jump	696.896790 467.429840 496.736664	-2.088 -1.401 -1.142
weapon_jm_grenade_jump	1223.577271 262.303253 120.141983	-0.879 -1.638 -1.342
weapon_jm_grenade_jump	-711.076416 336.610077 0.166556	-1.353 -1.483 -1.377
weapon_jm_primary_smg	1135.209473 1675.411377 7.441161	-7.320 0.725 -1.979
weapon_jm_primary_smg	-1687.508301 420.001923 37.570507	0.315 6.180 -87.283
weapon_jm_primary_smg	912.702698 761.512024 41.493984	0.324 6.549 -87.295
weapon_jm_primary_smg	1201.379761 648.286316 45.632381	1.347 7.474 -88.013
weapon_jm_primary_smg	705.942871 948.775085 279.449707	-7.362 0.841 -1.891
weapon_jm_primary_smg	376.049408 653.675598 135.438858	-7.308 0.751 -2.003
weapon_jm_grenade_glue	752.792908 825.964233 141.442886	-0.046 0.000 -0.027
weapon_jm_grenade_glue	453.984863 816.507324 329.716675	0.052 -0.000 -0.030
weapon_jm_grenade_glue	-374.310974 493.104767 5.451452	0.044 0.000 0.026
