# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_breakdown
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-217.745377 1169.985352 40.355709	2.454 -22.273 -84.031
weapon_jm_secondary_heavy	215.068512 1165.158081 40.350361	2.465 -22.270 -83.966
weapon_jm_secondary_heavy	216.000961 877.457886 40.332779	2.502 -22.262 -83.754
weapon_jm_secondary_heavy	-218.913864 884.534668 40.332779	2.502 -22.262 -83.754
weapon_jm_grenade_tag	-0.566166 1043.784790 -248.329178	-1.531 -1.409 -1.621
weapon_jm_grenade_tag	218.695251 1180.906006 39.645287	-2.200 -1.184 -2.330
weapon_jm_grenade_tag	-218.692825 1162.554688 39.664284	-1.701 -1.373 -1.801
weapon_jm_grenade_tag	-217.712143 871.621033 39.672573	-1.486 -1.409 -1.573
weapon_jm_grenade_tag	220.283356 890.993164 39.679813	-1.298 -1.442 -1.373
weapon_jm_grenade_jump	-27.958107 1100.747803 -728.342957	-1.890 -1.300 -2.002
weapon_jm_primary_smg	190.330292 828.349670 -423.406464	0.398 1.398 -87.483
weapon_jm_grenade_glue	-28.409401 1039.731812 -243.026291	-0.176 0.000 -0.102
weapon_jm_primary_lmg	-2.038657 952.114807 -730.687744	18.958 -0.197 3.007
weapon_jm_primary_rifle	-194.640396 1215.775024 -423.597748	0.117 13.053 -87.662
weapon_jm_secondary_light	-212.954117 1192.478516 40.398033	-0.428 34.012 90.408
weapon_jm_secondary_light	214.880997 1200.110352 40.396648	-0.341 34.043 90.179
weapon_jm_secondary_light	210.865524 911.697693 40.396648	-0.341 34.043 90.179
weapon_jm_secondary_light	-216.216614 909.016174 40.397930	-0.422 34.013 90.391
weapon_jm_secondary_light	-28.655209 953.696533 -727.602722	-0.379 34.027 90.280
weapon_jm_secondary_light	31.302380 955.067932 -727.601074	-0.483 33.971 90.553
weapon_jm_secondary_auto	-215.873367 1147.247437 40.611824	-0.555 25.518 91.393
weapon_jm_secondary_auto	216.349411 1145.387573 40.612564	-0.585 25.504 91.480
weapon_jm_secondary_auto	213.495743 854.231384 40.608463	-0.423 25.546 91.001
weapon_jm_secondary_auto	-219.993301 859.279663 40.610748	-0.513 25.528 91.267
weapon_jm_secondary_auto	-24.820547 1005.833862 -247.388992	-0.523 25.527 91.297
weapon_jm_secondary_auto	25.024342 1048.170288 -247.389130	-0.518 25.527 91.282
weapon_jm_primary_sniper	-194.720795 834.691650 -425.368835	3.329 13.016 64.840
weapon_jm_primary_shotgun	194.691833 1214.750366 -423.049316	-0.495 -10.043 -88.987
weapon_jm_grenade_frag	-3.581901 1003.035828 -246.371902	-36.241 -53.435 -90.765
weapon_jm_grenade_frag	-3.735005 1099.753418 -726.419495	-35.514 -54.040 -89.658
weapon_jm_grenade_health	18.043459 1093.968262 -728.097534	-0.245 0.000 -0.087
weapon_jm_grenade_health	27.838755 1003.088745 -248.102631	-0.255 0.000 -0.093
ent_jm_carepackage_spawn	192.493683 832.071777 -616.145203	0.003 0.000 -0.002
ent_jm_carepackage_spawn	191.576126 1214.098022 -616.108948	0.005 0.000 0.001
ent_jm_carepackage_spawn	-190.433212 1213.970459 -616.086609	0.011 0.000 0.007
ent_jm_carepackage_spawn	-191.042679 835.090454 -616.107300	0.005 0.000 0.001
ent_jm_carepackage_spawn	4.547796 1025.997437 -768.122864	0.081 0.055 0.017
ent_jm_carepackage_spawn	68.688507 1029.635254 -768.099731	-0.055 -0.001 0.063
ent_jm_carepackage_spawn	-60.844513 1021.811157 -768.061523	-0.271 -0.472 0.064
