# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_castle
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	643.614075 436.742828 152.846710	3.267 -16.512 -83.613
weapon_jm_secondary_heavy	644.440308 582.893005 152.821945	3.465 -16.456 -83.271
weapon_jm_secondary_heavy	824.336853 585.467163 152.830704	3.395 -16.482 -83.392
weapon_jm_grenade_tag	3757.355957 730.295837 144.184402	-1.473 -1.452 -1.059
weapon_jm_grenade_tag	3757.933838 299.201599 144.157486	-2.348 -1.273 -1.690
weapon_jm_grenade_tag	1671.532715 583.940552 152.159622	-2.278 -1.303 -1.640
weapon_jm_grenade_tag	823.890686 440.631409 152.168503	-1.989 -1.378 -1.431
weapon_jm_grenade_tag	-1311.480347 303.553040 164.453796	-2.088 -1.401 -1.142
weapon_jm_grenade_tag	-1312.416870 721.403870 164.441498	-2.540 -1.297 -1.389
weapon_jm_grenade_jump	4165.996582 723.973328 144.181595	-1.564 -1.441 -1.125
weapon_jm_grenade_jump	-1303.189575 303.133667 300.457123	-1.966 -1.430 -1.075
weapon_jm_grenade_jump	1200.182373 -536.290039 152.163727	-2.145 -1.351 -1.544
weapon_jm_primary_smg	-1322.709229 714.647888 301.229218	0.075 5.701 -86.411
weapon_jm_primary_smg	1316.229126 -542.761536 153.096344	0.208 6.179 -87.152
weapon_jm_primary_smg	1100.462769 745.000671 165.374542	0.308 6.177 -87.275
weapon_jm_grenade_glue	405.328888 442.641998 157.434402	-0.057 0.000 -0.033
weapon_jm_grenade_glue	1247.897827 927.600464 397.440704	-0.048 -0.000 0.027
weapon_jm_grenade_glue	1199.972900 1563.239136 157.419785	-0.063 0.000 -0.036
weapon_jm_grenade_glue	-1657.020630 472.754303 576.650635	0.000 0.000 7.940
weapon_jm_primary_lmg	3971.060303 322.290894 162.045761	18.523 -0.597 3.374
weapon_jm_primary_rifle	-1334.449707 297.351959 165.125229	0.197 11.252 -87.022
weapon_jm_primary_rifle	1321.076538 1556.361816 152.878967	-0.041 11.143 -87.647
weapon_jm_primary_rifle	1393.899780 267.221313 165.144135	0.171 11.252 -87.231
weapon_jm_primary_rifle	2094.736816 436.613373 152.907349	0.025 7.483 -87.827
weapon_jm_primary_rifle	402.834106 577.097229 152.860825	0.227 -2.281 -87.357
weapon_jm_secondary_light	3767.175537 728.930115 144.192062	36.578 0.360 0.030
weapon_jm_secondary_light	3764.919189 296.150024 144.188202	36.657 0.363 0.035
weapon_jm_secondary_light	-1305.955200 719.823914 165.176239	-0.645 34.057 89.948
