# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_cathedral
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	2168.107422 -724.730957 341.112671	2.215 -18.398 -83.900
weapon_jm_secondary_heavy	1874.669556 -1706.965942 95.273842	1.932 -20.588 -85.914
weapon_jm_secondary_heavy	1874.962158 -1552.403809 95.273941	2.016 -20.561 -85.768
weapon_jm_secondary_heavy	909.315613 -3038.867676 165.126663	2.220 -18.437 -84.044
weapon_jm_secondary_heavy	416.993439 -613.074341 37.132458	2.222 -18.469 -84.100
weapon_jm_grenade_tag	2166.164795 -233.654938 340.436096	-2.739 -1.229 -1.497
weapon_jm_grenade_tag	-1870.886963 -2213.729492 36.444813	-2.428 -1.323 -1.328
weapon_jm_grenade_tag	1995.448120 -496.915009 36.463364	-1.741 -1.459 -0.958
weapon_jm_grenade_tag	85.370270 -2546.845947 48.159531	-1.502 -1.457 -1.530
weapon_jm_grenade_tag	-87.027573 -2546.805664 48.151726	-1.669 -1.412 -1.700
weapon_jm_grenade_tag	-570.473511 -1312.381104 -47.894463	-1.332 -1.209 -0.776
weapon_jm_grenade_tag	802.061584 -1852.806763 -47.856720	-0.930 -1.299 -0.542
weapon_jm_grenade_jump	7.701856 -412.560394 896.161682	-2.210 -1.303 -1.591
weapon_jm_grenade_jump	2166.463623 -752.264282 340.437195	-2.698 -1.246 -1.475
weapon_jm_grenade_jump	-73.903770 -3343.966553 36.468201	-1.569 -1.475 -0.858
weapon_jm_grenade_jump	-609.708618 -1476.910645 -47.869297	-1.064 -1.278 -0.620
weapon_jm_grenade_jump	676.339172 -1852.425903 -47.894463	-1.332 -1.209 -0.776
weapon_jm_primary_smg	-2397.249268 -1158.700684 37.375542	0.281 6.176 -87.242
weapon_jm_primary_smg	1995.447388 -465.953918 37.374649	0.313 6.175 -87.281
weapon_jm_primary_smg	2391.404297 -1833.553345 37.375282	0.290 6.175 -87.253
weapon_jm_primary_smg	-1043.060791 -3111.060791 37.374279	0.326 6.192 -87.297
weapon_jm_primary_smg	-325.371338 -1319.231567 37.375679	0.277 6.176 -87.236
weapon_jm_primary_smg	-286.018127 -1849.447510 -48.559982	-7.314 0.724 -1.991
weapon_jm_grenade_glue	-2113.928223 -126.342712 49.673565	-0.654 0.197 -1.277
weapon_jm_grenade_glue	-856.930176 -462.304840 41.719318	-0.051 0.000 -0.029
weapon_jm_grenade_glue	953.465759 -3045.038330 169.757935	-0.000 -0.000 0.045
weapon_jm_grenade_glue	-571.116394 -1054.634644 -42.511322	-0.032 0.000 -0.017
weapon_jm_grenade_glue	215.299149 -1471.409180 -42.519150	-0.035 0.000 -0.019
weapon_jm_primary_lmg	49.540230 -3339.629395 34.089695	18.634 -0.367 2.992
weapon_jm_primary_rifle	2170.622559 -220.070831 341.121979	0.202 11.252 -86.986
weapon_jm_primary_rifle	-2026.219849 -193.671829 37.127045	0.195 11.252 -87.039
weapon_jm_primary_rifle	-858.917664 -493.859375 37.169956	0.136 11.253 -87.513
weapon_jm_primary_rifle	2167.201416 -482.998932 37.230621	0.038 11.179 -88.202
weapon_jm_primary_rifle	2195.741211 -1380.795044 101.137596	0.181 11.252 -87.155
weapon_jm_primary_rifle	812.029053 -3107.066650 29.156597	0.154 11.253 -87.365
weapon_jm_primary_rifle	-417.284576 -616.429016 37.150620	0.163 6.932 -87.299
weapon_jm_primary_rifle	-229.123199 -1466.778931 -47.109692	0.134 13.130 -87.531
weapon_jm_secondary_light	-2393.757324 -1256.674805 37.176014	-0.571 34.062 89.872
weapon_jm_secondary_light	414.377747 -635.883606 37.177589	-0.821 34.050 90.130
weapon_jm_secondary_light	-106.129448 -2544.532959 48.181602	36.460 0.405 0.067
weapon_jm_secondary_light	100.908958 -2547.917969 48.166672	36.620 0.422 0.097
weapon_jm_secondary_auto	-2396.239502 -1292.212646 37.391922	-0.680 25.626 91.315
weapon_jm_secondary_auto	2057.814941 -1371.831421 101.391037	-0.623 25.634 91.198
weapon_jm_secondary_auto	-947.870667 -3040.078369 173.388489	-0.489 25.640 90.921
weapon_jm_secondary_auto	413.272583 -575.213013 37.391556	-0.658 25.630 91.269
weapon_jm_secondary_auto	66.640823 -2544.243896 49.105453	-0.375 25.864 90.674
weapon_jm_secondary_auto	-64.542519 -2542.986572 49.114433	-0.920 25.769 91.774
weapon_jm_primary_sniper	-6.943807 -421.595795 895.193970	3.331 13.342 65.325
weapon_jm_primary_sniper	-40.866726 -3339.220703 35.422207	3.565 13.229 65.112
weapon_jm_primary_shotgun	-1900.692627 -2216.981201 37.724739	-0.493 -9.616 -88.929
weapon_jm_primary_shotgun	-785.277039 -298.940887 37.761703	-0.504 -9.608 -89.226
weapon_jm_primary_shotgun	2236.117676 -1987.392822 101.693970	-0.483 -9.622 -88.682
weapon_jm_primary_shotgun	315.169464 -1315.988770 37.772369	-0.508 -9.606 -89.311
weapon_jm_primary_shotgun	-157.362411 -1854.939209 -46.501694	-0.489 -10.287 -89.759
weapon_jm_grenade_frag	-2396.418945 -1269.905518 38.354122	-35.398 -57.048 -89.483
weapon_jm_grenade_frag	2157.495361 -490.721069 38.388664	-35.925 -56.558 -90.280
weapon_jm_grenade_frag	2103.522217 -1373.204956 102.444359	-36.776 -55.706 -91.603
weapon_jm_grenade_frag	-480.843536 -1470.615112 -46.047005	-36.423 -59.273 -87.418
weapon_jm_grenade_frag	157.750259 -1846.164673 -46.042023	-36.457 -59.198 -87.520
weapon_jm_grenade_health	61.515236 -512.046997 48.352562	-0.098 0.000 -0.038
weapon_jm_grenade_health	-63.499817 -512.060974 48.379700	-0.034 -0.000 0.081
weapon_jm_grenade_health	-905.866089 -3041.205811 172.712357	0.107 0.001 0.017
weapon_jm_grenade_health	-671.635315 -1855.420898 -47.618916	-0.081 0.000 -0.031
weapon_jm_grenade_health	354.832275 -1461.487061 -47.625008	-0.085 0.000 -0.032
ent_jm_carepackage_spawn	572.174500 -925.582886 -47.628162	0.002 0.000 -0.000
ent_jm_carepackage_spawn	609.016663 -1472.500122 -47.617046	0.003 0.000 0.000
ent_jm_carepackage_spawn	-607.001282 -1437.387695 -47.589027	0.008 0.000 0.006
ent_jm_carepackage_spawn	-673.215454 -1818.409424 -47.675999	0.002 0.000 -0.002
ent_jm_carepackage_spawn	-286.156219 -1889.391724 -47.678673	0.002 0.000 -0.002
ent_jm_carepackage_spawn	-164.437576 -1888.600098 -47.513832	-0.432 -0.022 -0.433
ent_jm_carepackage_spawn	161.283981 -1888.172241 -47.603687	0.004 0.000 0.002
ent_jm_carepackage_spawn	670.070862 -1822.237061 -47.630112	0.002 0.000 -0.000
ent_jm_carepackage_spawn	791.062500 -1886.590576 -47.626240	0.002 0.000 -0.000
ent_jm_carepackage_spawn	-478.993652 -1507.460205 -47.628162	0.002 0.000 -0.000
ent_jm_carepackage_spawn	-599.654358 -1053.114380 -47.575069	0.017 -0.000 0.015
ent_jm_carepackage_spawn	-533.380493 -1309.703979 -47.660751	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-935.388123 -446.774597 0.369888	0.002 0.000 -0.000
ent_jm_carepackage_spawn	-517.642151 -642.023987 0.395554	-0.007 -0.010 0.164
ent_jm_carepackage_spawn	-511.523621 -522.213440 0.385168	0.037 0.024 0.095
ent_jm_carepackage_spawn	-903.526123 -116.432373 0.412640	-0.029 -0.042 0.134
ent_jm_carepackage_spawn	-476.903229 -149.470215 0.373756	0.002 0.000 -0.000
ent_jm_carepackage_spawn	-13.417729 64.691727 0.350348	0.007 -0.021 0.006
ent_jm_carepackage_spawn	399.786499 -133.553787 0.471865	0.406 0.001 0.406
ent_jm_carepackage_spawn	-734.117920 -517.610046 0.422550	0.015 -0.000 0.013
ent_jm_carepackage_spawn	-827.140198 -1062.602173 0.346830	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-825.312378 -1387.489624 0.421039	-0.013 -0.013 0.010
ent_jm_carepackage_spawn	-821.242065 -1646.561768 0.339732	0.001 0.000 -0.001
ent_jm_carepackage_spawn	-562.348267 -1652.924927 0.443772	0.003 0.020 -0.002
ent_jm_carepackage_spawn	14.138591 -1667.745117 0.372225	0.002 0.000 0.000
ent_jm_carepackage_spawn	-9.905097 -2039.981812 0.342425	-0.019 -0.015 0.031
ent_jm_carepackage_spawn	9.875371 -1429.890015 0.357971	0.001 0.000 -0.000
ent_jm_carepackage_spawn	313.815094 -1653.194458 0.411312	-0.004 0.011 -0.006
ent_jm_carepackage_spawn	666.435791 -1661.380371 0.438609	0.045 -0.000 0.044
ent_jm_carepackage_spawn	827.972778 -1672.242798 0.390168	0.003 0.000 0.002
ent_jm_carepackage_spawn	860.130371 -1405.304688 0.419100	0.012 -0.000 0.011
ent_jm_carepackage_spawn	855.019104 -973.761597 0.369615	-0.009 0.009 -0.009
ent_jm_carepackage_spawn	450.843872 -798.445740 0.387446	-0.028 0.007 -0.004
ent_jm_carepackage_spawn	796.804138 -802.026733 0.367038	-0.006 -0.010 0.009
ent_jm_carepackage_spawn	654.156677 -406.003479 272.326660	0.002 0.000 -0.002
ent_jm_carepackage_spawn	869.558777 -185.570557 272.405365	0.006 0.000 0.004
ent_jm_carepackage_spawn	792.661438 -77.080170 32.342777	-0.013 0.008 -0.010
ent_jm_carepackage_spawn	953.181213 -298.944305 32.350941	0.002 0.000 -0.001
ent_jm_carepackage_spawn	717.922852 66.935402 0.321864	0.001 0.000 -0.001
ent_jm_carepackage_spawn	-727.243591 65.248184 0.377896	0.002 0.000 0.001
ent_jm_carepackage_spawn	-721.392090 -504.196930 180.066254	16.637 0.596 0.143
ent_jm_carepackage_spawn	-147.174011 -387.230347 640.376465	-0.029 0.031 -0.016
ent_jm_carepackage_spawn	138.773315 -396.750977 640.362427	0.001 0.000 0.000
ent_jm_carepackage_spawn	-45.719578 -339.547333 896.364502	0.001 0.000 0.000
ent_jm_carepackage_spawn	45.576561 -340.328064 896.386963	0.002 0.000 0.002
ent_jm_carepackage_spawn	34.478703 -1276.504883 620.833923	29.701 4.975 2.477
ent_jm_carepackage_spawn	-63.862667 -1251.844116 604.057129	-20.700 48.542 -21.835
ent_jm_carepackage_spawn	1040.346924 -2091.613770 0.339732	0.001 0.000 -0.001
ent_jm_carepackage_spawn	1042.568359 -1641.336426 0.396632	0.004 0.000 0.003
ent_jm_carepackage_spawn	1071.426514 -1170.064941 0.374143	0.002 0.000 0.000
