# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_circuit
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-2208.133057 198.360245 165.175873	2.239 -18.492 -84.548
weapon_jm_secondary_heavy	-2208.532959 224.616959 165.097107	2.208 -18.320 -83.741
weapon_jm_secondary_heavy	-2207.584717 249.179932 165.142609	2.226 -18.490 -84.207
weapon_jm_grenade_push	-815.736633 1634.096069 164.454651	-2.057 -1.402 -1.125
weapon_jm_grenade_push	-781.465393 1633.217651 164.441498	-2.540 -1.297 -1.389
weapon_jm_grenade_push	-755.765259 1631.557617 164.457932	-1.937 -1.428 -1.059
weapon_jm_grenade_push	-926.576050 625.244324 164.438309	-2.657 -1.239 -1.453
item_jm_ammo_light	-345.101196 79.765434 164.641632	0.446 0.054 0.040
item_jm_ammo_light	-344.701721 102.228020 164.643280	0.447 0.054 0.040
item_jm_ammo_light	-356.812378 89.614456 164.638260	0.445 0.055 0.041
item_jm_ammo_light	-661.361084 -168.729523 164.617828	0.440 0.060 0.049
item_jm_ammo_light	-662.319031 -184.106934 164.644897	0.447 0.054 0.039
item_jm_ammo_light	-671.728699 -193.298264 164.680542	0.458 0.050 0.026
item_jm_ammo_light	-1261.092163 368.481018 164.683670	0.458 0.050 0.025
item_jm_ammo_light	-1260.690674 352.285400 164.611633	0.438 0.064 0.051
item_jm_ammo_light	-1246.802612 353.830414 164.623749	0.441 0.057 0.047
item_jm_ammo_light	-924.212708 604.901062 164.621796	0.441 0.060 0.047
item_jm_ammo_light	-934.306824 616.471619 164.598389	0.434 0.068 0.056
item_jm_ammo_light	-947.150940 603.058472 164.701309	0.463 0.049 0.018
item_jm_ammo_heavy	-371.882721 77.045502 164.734894	0.595 0.005 0.492
item_jm_ammo_heavy	-381.873383 87.484489 164.651855	-0.791 0.099 -0.574
item_jm_ammo_heavy	-372.306610 100.162003 164.657715	-0.583 -0.015 -0.405
item_jm_ammo_heavy	-655.692749 -210.572876 164.662796	0.320 0.000 0.320
item_jm_ammo_heavy	-664.405029 -211.269699 164.700089	0.826 -0.010 0.625
item_jm_ammo_heavy	-675.761475 -209.868378 164.665070	0.761 0.000 0.681
item_jm_ammo_heavy	-1227.297974 368.891144 164.653763	-0.780 0.020 -0.567
item_jm_ammo_heavy	-1214.623169 368.116547 164.669754	0.463 0.000 0.437
item_jm_ammo_heavy	-1213.080322 352.017548 164.649826	-0.803 -0.007 -0.582
item_jm_ammo_heavy	-934.451965 631.361938 164.744049	0.421 -0.009 0.317
item_jm_ammo_heavy	-935.642395 652.279236 164.656998	-0.483 0.019 -0.328
item_jm_ammo_heavy	-923.185303 642.433350 164.694992	0.924 -0.007 0.714
weapon_jm_primary_smg	608.351685 881.182922 165.374084	0.325 6.192 -87.295
weapon_jm_primary_smg	609.127869 842.098450 165.375427	0.277 6.176 -87.236
weapon_jm_primary_smg	-1457.736572 1633.139526 165.375397	0.278 6.176 -87.238
weapon_jm_primary_smg	-1420.855225 1625.705444 165.374786	0.300 6.174 -87.264
weapon_jm_grenade_smoke	-776.398621 -1187.880615 164.444565	-2.428 -1.323 -1.327
weapon_jm_grenade_smoke	-809.391113 -1186.273071 164.447479	-2.320 -1.370 -1.269
weapon_jm_grenade_smoke	-837.420166 -1184.611572 164.438309	-2.657 -1.239 -1.453
weapon_jm_grenade_smoke	-384.504547 101.444763 164.434967	-2.780 -1.170 -1.520
weapon_jm_grenade_smoke	-1226.532471 349.172363 164.471649	-1.434 -1.484 -0.784
weapon_jm_primary_lmg	601.969238 241.443314 162.089447	18.634 -0.373 2.992
weapon_jm_primary_lmg	600.977295 200.942719 162.089447	18.634 -0.369 2.992
weapon_jm_primary_rifle	-1422.259888 -1175.980103 165.187759	0.111 11.254 -87.712
weapon_jm_primary_rifle	-1464.138062 -1189.238770 165.140091	0.177 11.252 -87.186
weapon_jm_primary_rifle	-183.237701 1628.169800 165.150482	0.162 11.252 -87.301
weapon_jm_primary_rifle	-142.597198 1623.052612 165.128387	0.193 11.252 -87.057
weapon_jm_secondary_light	-770.667236 -1186.147095 165.174255	-0.331 34.070 89.624
weapon_jm_secondary_light	-802.466431 -1183.654663 165.174362	-0.347 34.070 89.640
weapon_jm_secondary_light	-831.358093 -1181.406860 165.173706	-0.245 34.071 89.535
weapon_jm_secondary_auto	-834.301575 1636.386108 165.392059	-0.703 25.625 91.363
weapon_jm_secondary_auto	-804.125671 1635.919434 165.395905	-0.919 25.555 91.812
weapon_jm_secondary_auto	-772.015808 1633.070557 165.391678	-0.680 25.626 91.315
weapon_jm_primary_sniper	-2209.457031 849.669189 163.491745	3.403 13.208 65.515
weapon_jm_primary_sniper	-2209.079834 888.168396 163.421967	3.564 13.229 65.112
weapon_jm_primary_sniper	-141.446793 -1179.384766 163.380722	3.660 13.273 64.874
weapon_jm_primary_sniper	-184.203094 -1177.615967 163.387436	3.644 13.263 64.912
weapon_jm_primary_shotgun	-2203.318115 -436.044281 165.784821	-0.512 -9.603 -89.413
weapon_jm_primary_shotgun	-2205.393311 -401.121185 165.782669	-0.511 -9.604 -89.396
weapon_jm_primary_shotgun	606.244812 -394.599854 165.705429	-0.487 -9.620 -88.776
weapon_jm_primary_shotgun	603.524902 -434.283722 165.745010	-0.499 -9.295 -89.094
item_jm_ammo_medium	-398.282776 81.560440 164.616974	-0.139 -0.019 -0.035
item_jm_ammo_medium	-412.565735 83.014122 164.617477	0.007 0.028 0.018
item_jm_ammo_medium	-406.164581 99.502907 164.654236	0.005 0.029 0.014
item_jm_ammo_medium	-656.352844 -232.727982 164.637665	-0.122 -0.020 -0.030
item_jm_ammo_medium	-666.590088 -234.195068 164.643967	-0.116 -0.020 -0.029
item_jm_ammo_medium	-679.050598 -232.566788 164.635498	-0.123 -0.020 -0.031
item_jm_ammo_medium	-1198.466309 357.714600 164.619415	-0.137 -0.019 -0.034
item_jm_ammo_medium	-1188.280518 368.081146 164.703262	-0.065 -0.021 -0.016
item_jm_ammo_medium	-1180.362915 351.980408 164.631073	-0.127 -0.020 -0.032
item_jm_ammo_medium	-944.862854 674.023926 164.690796	-0.076 -0.021 -0.019
item_jm_ammo_medium	-933.164307 683.935730 164.624634	-0.010 -0.028 0.015
item_jm_ammo_medium	-921.917786 669.284912 164.606873	0.147 0.019 -0.035
weapon_jm_grenade_fire	-2206.513184 214.001343 166.405716	-36.190 -56.300 -90.686
weapon_jm_grenade_fire	-2209.265869 240.152725 166.460052	-37.020 -55.445 -91.992
weapon_jm_grenade_fire	-2206.580566 267.066956 166.465790	-37.107 -55.350 -92.133
weapon_jm_grenade_fire	-676.751831 -174.383118 166.377640	-35.761 -56.713 -90.029
