# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_cosmic
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-891.704956 405.878418 349.144257	2.227 -18.490 -84.224
weapon_jm_secondary_heavy	-941.494690 407.144653 349.142609	2.226 -18.490 -84.207
weapon_jm_secondary_heavy	-408.555237 231.167953 1333.121826	2.219 -18.436 -84.004
weapon_jm_secondary_heavy	-410.314178 278.295776 1333.127563	2.221 -18.438 -84.063
weapon_jm_secondary_heavy	-411.162201 725.210693 1333.113770	2.215 -18.401 -83.922
weapon_jm_secondary_heavy	-411.747681 787.562134 1333.127563	2.221 -18.438 -84.063
weapon_jm_secondary_heavy	-424.392914 -2999.903564 749.142578	2.226 -18.490 -84.207
weapon_jm_secondary_heavy	-381.337891 -2998.982666 749.145874	2.227 -18.491 -84.240
weapon_jm_grenade_tag	-1120.680664 4.999373 604.450256	-2.218 -1.361 -1.213
weapon_jm_grenade_tag	-738.315125 527.616089 604.452087	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	-248.608124 222.766006 604.465332	-1.667 -1.464 -0.911
weapon_jm_grenade_tag	-22.437021 823.890259 604.452942	-2.120 -1.402 -1.159
weapon_jm_grenade_tag	-188.873566 -2276.420654 604.465332	-1.667 -1.464 -0.911
weapon_jm_grenade_tag	-95.100037 -2180.287598 604.452942	-2.120 -1.402 -1.159
weapon_jm_grenade_tag	1491.901611 624.852539 748.452942	-2.120 -1.402 -1.159
weapon_jm_grenade_jump	-914.456116 408.168915 348.454651	-2.057 -1.402 -1.125
weapon_jm_grenade_jump	-403.576874 761.891785 1332.442627	-2.464 -1.325 -1.347
weapon_jm_grenade_jump	-408.684387 260.858978 1332.468262	-1.523 -1.475 -0.832
weapon_jm_grenade_jump	-535.354370 -3218.087158 612.438293	-2.657 -1.239 -1.453
weapon_jm_grenade_jump	-32.426220 513.009888 164.452057	-2.152 -1.401 -1.177
weapon_jm_primary_smg	317.116425 -103.619766 173.376114	0.252 6.166 -87.206
weapon_jm_primary_smg	-894.044189 1182.069214 173.374893	0.296 6.174 -87.260
weapon_jm_primary_smg	-1337.254272 -95.962044 173.374222	0.319 6.183 -87.289
weapon_jm_primary_smg	-1879.388184 -1877.905273 613.377075	0.265 5.297 -87.272
weapon_jm_primary_smg	-414.165344 35.150505 165.377350	0.208 4.684 -87.152
weapon_jm_grenade_glue	-852.566467 -243.362961 177.784760	-0.035 0.000 -0.005
weapon_jm_grenade_glue	840.120056 -1971.183960 617.767944	-0.035 0.000 -0.018
weapon_jm_grenade_glue	-1878.477661 -1898.243530 617.712097	-0.053 0.000 -0.030
weapon_jm_grenade_glue	-1377.927002 1000.824280 177.750992	-0.000 0.000 -0.048
weapon_jm_grenade_glue	-405.398651 -2999.724365 753.714478	-0.052 0.000 -0.030
weapon_jm_grenade_glue	-609.871704 28.652079 169.729950	-0.047 -0.000 0.027
weapon_jm_primary_lmg	-608.427246 67.327911 162.068146	18.576 1.321 2.480
weapon_jm_primary_rifle	324.403351 1122.343384 173.189056	0.109 11.254 -87.726
weapon_jm_primary_rifle	-1345.661011 996.643311 173.137314	0.181 11.252 -87.155
weapon_jm_primary_rifle	-149.475677 -384.769470 173.218109	0.070 11.194 -88.061
weapon_jm_primary_rifle	850.283569 -1960.490112 613.179932	0.122 11.254 -87.625
weapon_jm_primary_rifle	-412.797028 83.337860 165.144135	0.171 11.252 -87.231
weapon_jm_secondary_light	-26.190208 809.542908 605.175720	-0.563 34.062 89.863
weapon_jm_secondary_light	-24.935579 852.147461 605.175842	-0.580 34.062 89.881
weapon_jm_secondary_light	-238.795715 246.800766 605.177063	-0.773 34.052 90.080
weapon_jm_secondary_light	-268.348572 207.778000 605.175598	-0.546 34.063 89.846
weapon_jm_secondary_light	-1116.728638 -10.562367 605.177124	-0.785 34.052 90.093
weapon_jm_secondary_light	-1121.800415 28.937033 605.176208	-0.644 34.057 89.948
weapon_jm_secondary_light	-729.342712 565.884399 605.173767	0.127 33.780 89.550
weapon_jm_secondary_light	-729.651001 513.492432 605.175110	-0.469 34.066 89.767
weapon_jm_secondary_light	631.937012 -1827.718628 749.176270	-0.654 34.057 89.958
weapon_jm_secondary_light	634.168762 -1783.503052 749.176514	-0.685 34.056 89.989
weapon_jm_secondary_light	-1660.070068 -2005.467896 749.175537	-0.529 34.064 89.829
weapon_jm_secondary_light	-1662.327881 -2055.299316 749.176208	-0.644 34.057 89.948
weapon_jm_secondary_light	-612.168518 92.514824 165.176422	-0.674 34.057 89.979
weapon_jm_secondary_auto	-90.738747 -2202.689697 605.392334	-0.719 25.619 91.396
weapon_jm_secondary_auto	-97.915543 -2149.999512 605.388428	-0.485 25.640 90.911
weapon_jm_secondary_auto	-163.084488 -2273.195068 605.389221	-0.534 25.639 91.013
weapon_jm_secondary_auto	-212.483932 -2271.598145 605.390625	-0.617 25.634 91.184
weapon_jm_secondary_auto	-737.639221 -734.920288 613.391418	-0.665 25.630 91.284
weapon_jm_secondary_auto	-740.327576 -798.176575 613.391052	-0.644 25.631 91.240
weapon_jm_secondary_auto	1511.414307 627.298340 749.392090	-0.703 25.625 91.363
weapon_jm_secondary_auto	1467.161743 628.211365 749.393311	-0.779 25.609 91.519
weapon_jm_secondary_auto	-35.645897 481.884888 165.392197	-0.711 25.624 91.379
weapon_jm_secondary_auto	-32.485310 542.291382 165.393631	-0.797 25.608 91.557
weapon_jm_primary_sniper	1636.698975 845.202515 611.415100	3.580 13.235 65.072
weapon_jm_primary_sniper	-737.875488 -752.110657 611.492371	3.402 13.208 65.519
weapon_jm_primary_shotgun	-125.212463 1178.898438 173.825409	-0.428 -9.678 -90.081
weapon_jm_primary_shotgun	-849.418884 -262.149780 173.712250	-0.489 -9.617 -88.831
weapon_jm_primary_shotgun	-563.742065 -3214.344482 613.724487	-0.493 -9.616 -88.929
weapon_jm_grenade_frag	-99.147079 1184.512329 174.780502	6.682 -178.537 -98.090
weapon_jm_grenade_frag	-904.062744 1176.669678 174.412567	-36.294 -56.195 -90.848
weapon_jm_grenade_frag	-142.941177 -386.818970 175.071182	17.639 34.891 104.322
weapon_jm_grenade_frag	343.682343 1125.247192 174.372025	-35.675 -56.796 -89.899
weapon_jm_grenade_frag	627.750122 -1805.999390 750.423279	-36.458 -56.033 -91.103
weapon_jm_grenade_frag	-608.120178 51.480194 166.366180	-35.586 -56.872 -89.765
weapon_jm_grenade_health	339.817963 -101.155220 172.705322	-0.052 -0.000 -0.038
weapon_jm_grenade_health	1623.819824 847.216492 612.666870	-0.083 0.000 -0.032
weapon_jm_grenade_health	-737.009705 -779.848938 612.673035	-0.030 0.000 -0.076
weapon_jm_grenade_health	-1365.234131 -93.890938 172.650589	-0.094 0.000 -0.036
weapon_jm_grenade_health	-1655.560913 -2034.749268 748.689453	-0.067 -0.000 -0.029
ent_jm_carepackage_spawn	-350.758514 250.496597 1296.364380	0.001 0.000 0.000
ent_jm_carepackage_spawn	-258.065399 281.525696 1296.332397	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-264.672577 409.619751 1296.386841	0.002 0.000 0.001
ent_jm_carepackage_spawn	-273.844666 544.846741 1296.337402	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-259.249573 675.908386 1296.349243	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-273.427979 770.484924 1296.401367	0.004 0.000 0.003
ent_jm_carepackage_spawn	-364.664337 762.997192 1296.391724	-0.009 -0.016 0.016
ent_jm_carepackage_spawn	-404.025116 414.732422 1296.322021	0.001 0.000 -0.001
ent_jm_carepackage_spawn	-390.982208 616.341614 1296.414063	0.008 0.000 0.008
ent_jm_carepackage_spawn	-367.745483 509.737366 1296.407104	0.006 0.000 0.005
ent_jm_carepackage_spawn	-605.194092 631.068420 1232.411255	0.007 0.000 0.007
ent_jm_carepackage_spawn	-625.172058 398.061035 1176.379761	0.002 0.000 0.001
ent_jm_carepackage_spawn	-380.294281 411.126099 1112.383423	0.002 0.000 0.001
ent_jm_carepackage_spawn	-391.867035 630.738037 1056.427979	-0.006 -0.017 0.011
ent_jm_carepackage_spawn	-630.881042 652.957886 992.372375	0.002 0.000 0.000
ent_jm_carepackage_spawn	-628.422058 390.121155 936.324646	0.001 0.000 -0.001
ent_jm_carepackage_spawn	-387.141571 395.846680 872.364380	0.001 0.000 0.000
ent_jm_carepackage_spawn	-405.542725 600.889099 816.386902	0.002 0.000 0.001
ent_jm_carepackage_spawn	-605.302673 622.846863 752.385132	0.002 0.000 0.001
ent_jm_carepackage_spawn	-610.970581 399.960968 696.362305	0.001 0.000 0.000
ent_jm_carepackage_spawn	-370.319061 391.727051 632.390259	0.003 0.000 0.002
ent_jm_carepackage_spawn	-383.752045 625.963135 576.396606	0.004 0.000 0.002
ent_jm_carepackage_spawn	-509.288177 515.124084 576.346802	0.001 0.000 -0.000
