# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_crypt
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	2266.555664 212.833359 32.970585	1.971 -18.759 -85.846
weapon_jm_secondary_heavy	2267.850098 190.575684 32.970657	2.034 -18.713 -85.735
weapon_jm_secondary_heavy	2268.862793 172.211075 32.970695	2.070 -18.698 -85.673
weapon_jm_secondary_heavy	-296.788361 -1176.057861 32.970535	1.927 -18.776 -85.922
weapon_jm_secondary_heavy	-320.422028 -1176.927612 32.970619	2.000 -18.733 -85.794
weapon_jm_secondary_heavy	-340.469482 -1175.212402 32.970570	1.957 -18.760 -85.870
weapon_jm_grenade_tag	320.145508 39.663742 48.168434	-1.313 -1.505 -1.336
weapon_jm_grenade_tag	-317.852844 -675.956970 32.180832	-1.048 -1.541 -1.066
weapon_jm_grenade_tag	667.890991 960.326904 32.159531	-1.502 -1.457 -1.530
weapon_jm_grenade_jump	511.885742 41.234959 48.148117	-1.746 -1.380 -1.779
weapon_jm_primary_smg	829.101135 927.639099 33.094006	0.291 6.553 -87.254
weapon_jm_primary_smg	832.000000 997.202820 33.093231	0.319 6.550 -87.288
weapon_jm_grenade_glue	319.415558 337.775940 53.442940	-0.047 -0.000 0.027
weapon_jm_grenade_glue	1084.895386 359.068481 37.414017	-0.057 0.000 -0.033
weapon_jm_grenade_glue	-447.983521 745.617249 37.419209	-0.055 0.000 -0.032
weapon_jm_primary_lmg	321.172180 193.464035 -2.268777	12.319 0.608 2.608
weapon_jm_primary_rifle	-359.651794 -507.614197 32.859364	-0.027 8.879 -87.448
weapon_jm_primary_rifle	-286.435211 -512.529785 32.895344	0.082 10.398 -87.843
weapon_jm_secondary_light	801.151489 1494.518555 32.172913	36.553 0.415 0.084
weapon_jm_secondary_light	826.106323 1497.404297 32.170925	36.575 0.417 0.088
weapon_jm_secondary_light	851.440979 1495.138306 32.162823	36.662 0.427 0.104
weapon_jm_secondary_light	1106.125732 -471.082520 32.170242	36.582 0.418 0.089
weapon_jm_secondary_light	1086.917114 -473.997681 32.172913	36.553 0.415 0.084
weapon_jm_secondary_light	1065.973999 -471.465881 32.166672	36.620 0.422 0.097
weapon_jm_secondary_auto	1298.688721 -1301.125366 33.112328	-0.798 25.827 91.526
weapon_jm_secondary_auto	1276.017822 -1302.520630 33.107807	-0.519 25.862 90.964
weapon_jm_secondary_auto	1254.843384 -1303.129150 33.107891	-0.524 25.862 90.974
weapon_jm_secondary_auto	-1238.741211 -307.433929 33.111332	-0.736 25.838 91.402
weapon_jm_secondary_auto	-1240.590698 -282.544830 33.108997	-0.592 25.858 91.111
weapon_jm_secondary_auto	-1242.585693 -262.914642 33.110558	-0.688 25.846 91.305
weapon_jm_primary_sniper	1056.351563 199.019821 31.147318	3.218 15.182 64.872
