# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_defender
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	-98.145660 59.636997 173.135788	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	-94.619987 83.384674 173.126663	2.220 -18.437 -84.044
weapon_jm_secondary_heavy	-164.273239 59.815956 173.157196	2.194 -18.399 -84.422
weapon_jm_secondary_heavy	-160.305283 83.823906 173.103973	2.211 -18.361 -83.811
weapon_jm_secondary_heavy	-990.503967 227.378906 -154.825287	2.238 -18.492 -84.536
weapon_jm_secondary_heavy	-929.999878 233.293793 -154.893799	2.212 -18.358 -83.834
weapon_jm_secondary_heavy	-882.363342 231.228546 -154.735443	2.746 -20.543 -85.521
weapon_jm_secondary_heavy	-830.006470 234.416916 -154.864212	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	-437.040466 -237.099136 -154.828857	2.237 -18.492 -84.500
weapon_jm_secondary_heavy	-362.221069 -240.502548 -154.879150	2.218 -18.429 -83.984
weapon_jm_grenade_tag	-227.021606 -61.392696 36.450512	-2.218 -1.361 -1.213
weapon_jm_grenade_jump	-224.681168 25.449976 36.467556	-1.593 -1.475 -0.871
weapon_jm_primary_smg	-823.034302 31.699299 173.362411	0.257 4.143 -87.133
weapon_jm_primary_smg	-714.406982 25.507940 173.248032	0.344 5.574 -86.137
weapon_jm_primary_smg	-711.495239 16.769348 173.796509	3.599 -3.115 -82.937
weapon_jm_primary_smg	-808.953247 13.501528 173.408920	-2.895 11.234 -83.460
weapon_jm_grenade_glue	-841.438232 222.032898 -150.269989	-0.047 0.000 -0.027
weapon_jm_primary_lmg	-394.226959 -224.082489 -157.915253	18.622 4.332 3.001
weapon_jm_primary_rifle	-954.499268 218.312378 -154.870071	0.191 11.252 -87.074
weapon_jm_primary_rifle	-860.906006 223.131287 -154.629318	-0.144 10.408 -89.736
weapon_jm_primary_rifle	-875.785950 207.575211 -154.873779	0.198 10.914 -87.048
weapon_jm_primary_rifle	-932.478333 205.681671 -154.871613	0.193 11.252 -87.057
weapon_jm_secondary_light	-212.950073 85.174751 37.176243	-0.607 34.060 89.909
weapon_jm_secondary_light	-214.366455 35.327827 37.176865	-0.706 34.055 90.011
weapon_jm_secondary_light	-236.458755 80.976006 37.169476	-0.117 32.244 89.371
weapon_jm_secondary_light	-232.176422 37.234234 37.174599	-0.347 34.070 89.640
weapon_jm_secondary_light	-209.477020 -24.944330 37.175377	-0.469 34.066 89.767
weapon_jm_secondary_light	-218.945923 -75.697395 37.176479	-0.645 34.057 89.948
weapon_jm_secondary_light	-237.280640 -68.896896 37.177437	-0.797 34.051 90.105
weapon_jm_secondary_light	-236.764694 -24.588287 37.175911	-0.554 34.062 89.855
weapon_jm_secondary_light	-356.994568 -218.567368 -154.825241	-0.409 34.068 89.705
weapon_jm_secondary_light	-429.140961 -215.892807 -154.822754	-0.069 34.447 90.114
weapon_jm_secondary_auto	-796.449829 29.128023 173.360306	-0.592 27.041 90.594
weapon_jm_secondary_auto	-843.093567 25.127451 173.393173	-0.770 25.609 91.501
weapon_jm_secondary_auto	-739.773193 20.645111 173.391190	-0.651 25.630 91.255
weapon_jm_secondary_auto	-682.929382 26.378811 173.391312	-0.658 25.630 91.269
weapon_jm_secondary_auto	-745.458801 42.075966 173.387497	-0.431 25.641 90.800
weapon_jm_secondary_auto	-685.247925 42.097347 173.392197	-0.711 25.624 91.379
weapon_jm_secondary_auto	-791.939880 47.578335 173.392471	-0.727 25.619 91.412
weapon_jm_secondary_auto	-852.686768 47.849094 173.391556	-0.673 25.629 91.299
weapon_jm_secondary_auto	-374.264008 -209.020828 -154.607666	-0.719 25.619 91.396
weapon_jm_secondary_auto	-404.541260 -209.909546 -154.605560	-0.845 25.594 91.657
weapon_jm_primary_sniper	-132.254700 78.944435 171.533279	3.206 11.748 65.721
weapon_jm_primary_sniper	-128.175583 88.224319 171.363800	3.699 13.288 64.776
weapon_jm_primary_shotgun	-222.336014 53.178337 37.705681	-0.487 -9.620 -88.776
weapon_jm_primary_shotgun	-222.430054 -56.074005 37.801792	-0.517 -9.599 -89.548
weapon_jm_primary_shotgun	-220.338852 64.607483 37.473213	1.389 -9.446 -82.983
weapon_jm_primary_shotgun	-224.476044 -41.468594 37.781807	-0.511 -9.604 -89.387
