# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_desert
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	93.796997 2333.997070 429.139252	2.225 -18.487 -84.173
weapon_jm_secondary_heavy	145.667480 2334.135498 429.132202	2.222 -18.469 -84.101
weapon_jm_secondary_heavy	2460.457275 1911.515747 -154.873337	2.220 -18.437 -84.044
weapon_jm_secondary_heavy	2460.068115 1843.703491 -154.865982	2.223 -18.473 -84.119
weapon_jm_secondary_heavy	2433.668457 1823.414307 173.149017	2.229 -18.489 -84.273
weapon_jm_secondary_heavy	2486.569092 1824.698975 173.137527	2.224 -18.472 -84.155
weapon_jm_secondary_heavy	1371.375366 665.085022 44.320465	2.023 -20.555 -85.755
weapon_jm_secondary_heavy	1375.687744 610.640137 44.320377	1.947 -20.587 -85.888
weapon_jm_secondary_heavy	2205.019287 424.045624 173.124756	2.219 -18.440 -84.024
weapon_jm_grenade_tag	31.967123 2440.365967 36.456554	-1.996 -1.430 -1.091
weapon_jm_grenade_tag	127.166115 2530.652832 36.447720	-2.320 -1.370 -1.269
weapon_jm_grenade_tag	2212.367432 386.015259 172.444565	-2.428 -1.323 -1.328
weapon_jm_grenade_tag	997.435303 1216.486572 164.416794	-2.088 -1.401 -1.142
weapon_jm_grenade_tag	2495.165039 2526.702148 36.452305	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	2144.267090 2015.603882 -155.565033	-2.780 -1.170 -1.520
weapon_jm_grenade_tag	921.471985 2345.354004 -191.831512	-1.993 -1.378 -1.430
weapon_jm_grenade_tag	1877.675659 1856.049561 -191.834335	-2.081 -1.342 -1.498
weapon_jm_grenade_jump	121.704414 2337.536377 428.461761	-1.797 -1.448 -0.982
weapon_jm_grenade_jump	222.766495 2449.811279 428.442535	-2.502 -1.323 -1.368
weapon_jm_grenade_jump	2330.534424 262.435089 300.455475	-2.026 -1.422 -1.108
weapon_jm_grenade_jump	349.552490 386.867523 164.458710	-1.908 -1.428 -1.043
weapon_jm_grenade_jump	1513.447876 1282.135132 284.460999	-1.824 -1.448 -0.997
