# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_devil_town
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	868.275330 303.863373 36.987556	2.823 -19.441 -85.719
weapon_jm_secondary_heavy	849.212158 300.585388 36.970562	1.951 -20.587 -85.880
weapon_jm_secondary_heavy	154.638153 2770.957275 36.970474	1.877 -20.613 -86.009
weapon_jm_secondary_heavy	173.492096 2769.010498 36.970589	1.974 -20.577 -85.840
weapon_jm_secondary_heavy	1872.143921 2347.648682 172.970490	1.883 -20.613 -85.999
weapon_jm_grenade_tag	124.593140 301.789551 36.145870	-0.841 -1.649 -1.283
weapon_jm_grenade_tag	895.489136 302.157471 36.137924	-0.919 -1.611 -1.404
weapon_jm_grenade_tag	895.371521 2771.855225 36.155403	-0.746 -1.696 -1.137
weapon_jm_grenade_tag	133.546051 2770.984131 36.148361	-0.816 -1.671 -1.245
weapon_jm_grenade_jump	536.829041 27.344368 36.122974	-1.069 -1.488 -1.632
weapon_jm_grenade_jump	1496.958862 1702.205933 548.147156	-0.828 -1.649 -1.264
weapon_jm_grenade_jump	-625.413086 1541.039673 316.130707	-0.991 -1.578 -1.514
weapon_jm_grenade_jump	-429.114471 2287.638428 316.145844	-0.840 -1.649 -1.283
weapon_jm_grenade_jump	1555.413330 2243.680908 316.135101	-0.947 -1.604 -1.447
weapon_jm_primary_smg	87.684914 1537.570190 -92.511894	-7.371 1.175 -2.319
weapon_jm_primary_smg	1911.535767 989.576416 35.491299	-7.408 1.098 -2.191
weapon_jm_primary_smg	-928.287842 1384.828003 35.490147	-7.395 1.387 -2.237
weapon_jm_primary_smg	-923.111816 1683.926514 35.496643	-7.470 1.131 -1.980
weapon_jm_primary_smg	-424.336853 1466.926514 35.494133	-7.441 1.389 -2.078
weapon_jm_primary_smg	1177.184814 2376.527344 171.498886	-7.495 1.083 -1.891
weapon_jm_primary_smg	706.626831 2404.438477 171.490540	-7.400 1.296 -2.222
weapon_jm_primary_smg	316.571777 2408.241455 171.494141	-7.441 1.389 -2.081
weapon_jm_primary_smg	-562.370972 2527.484131 35.498070	-7.486 1.309 -1.924
weapon_jm_grenade_glue	934.756226 1512.640503 -86.559288	-0.048 -0.000 0.027
weapon_jm_grenade_glue	-478.816406 1521.951782 177.480881	-0.035 -0.000 0.020
weapon_jm_grenade_glue	-483.293945 1552.080200 177.421738	-0.054 0.000 -0.031
weapon_jm_grenade_glue	-801.893921 2334.314941 177.482498	-0.034 0.000 -0.019
weapon_jm_primary_lmg	510.620056 1532.772705 -130.228760	18.535 -1.765 2.381
weapon_jm_primary_rifle	1727.460571 3034.426758 36.887630	0.138 13.136 -87.509
weapon_jm_primary_rifle	-711.739624 3036.132813 36.866817	0.167 13.137 -87.282
weapon_jm_primary_rifle	2019.605225 736.824768 36.897987	0.135 9.832 -87.600
weapon_jm_primary_rifle	-993.102295 769.299866 36.921291	-0.113 17.848 -88.724
weapon_jm_primary_rifle	788.927673 830.237061 300.866821	0.167 13.137 -87.282
weapon_jm_primary_rifle	236.406830 832.688904 300.848206	0.199 13.172 -87.057
weapon_jm_primary_rifle	-417.327881 2316.589600 172.926804	0.138 11.593 -88.737
weapon_jm_primary_rifle	-801.134583 2352.441895 172.891098	-0.090 14.938 -87.823
weapon_jm_secondary_light	937.194092 306.642700 36.164814	36.471 0.424 0.201
weapon_jm_secondary_light	915.417175 303.864044 36.175755	36.390 0.399 0.158
weapon_jm_secondary_light	99.839256 299.184814 36.165581	36.465 0.422 0.198
weapon_jm_secondary_light	80.005386 300.595337 36.169231	36.438 0.414 0.183
weapon_jm_secondary_light	921.776917 2769.861572 36.154690	36.546 0.448 0.241
weapon_jm_secondary_light	940.360657 2768.002197 36.182888	36.337 0.382 0.129
weapon_jm_secondary_light	79.399246 2769.011475 36.192535	36.265 0.359 0.091
weapon_jm_secondary_light	107.380058 2769.540527 36.156506	36.533 0.444 0.234
weapon_jm_secondary_auto	167.026413 301.018097 37.109791	-0.673 25.653 91.220
weapon_jm_secondary_auto	145.818375 303.393860 37.109680	-0.665 25.656 91.206
weapon_jm_secondary_auto	853.328735 2772.133545 37.112705	-0.866 25.615 91.588
weapon_jm_secondary_auto	866.193115 2771.588867 37.111259	-0.770 25.640 91.406
