# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_digsite
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	798.331543 2079.199463 109.108688	2.213 -18.357 -83.856
weapon_jm_secondary_heavy	277.892578 2088.165039 109.128838	2.221 -18.438 -84.063
weapon_jm_secondary_heavy	662.668030 -865.184875 -218.887329	2.215 -18.398 -83.900
weapon_jm_secondary_heavy	638.597534 -868.436340 -218.818588	2.241 -18.493 -84.605
weapon_jm_secondary_heavy	510.026398 1049.248901 -594.849426	2.229 -18.490 -84.289
weapon_jm_secondary_heavy	487.853851 1049.547974 -594.875244	2.219 -18.440 -84.024
weapon_jm_grenade_tag	406.359955 -42.372734 -403.549744	-2.218 -1.361 -1.213
weapon_jm_grenade_tag	609.251831 -40.790344 -403.554443	-2.391 -1.323 -1.308
weapon_jm_grenade_tag	415.436523 -860.164063 -219.555435	-2.428 -1.323 -1.327
weapon_jm_grenade_tag	609.720703 -864.309082 -219.562790	-2.698 -1.246 -1.475
weapon_jm_grenade_tag	541.200378 1051.478149 -595.536804	-1.744 -1.459 -0.953
weapon_jm_grenade_tag	292.341644 2081.607666 108.460556	-1.852 -1.448 -1.012
weapon_jm_grenade_tag	731.773804 2078.743164 108.444855	-2.430 -1.323 -1.326
weapon_jm_grenade_jump	-126.823502 220.667938 -595.830750	-2.218 -1.361 -1.213
weapon_jm_grenade_jump	1153.530518 795.959045 44.450523	-2.218 -1.361 -1.213
weapon_jm_primary_smg	1141.062256 1249.338745 45.374737	0.310 6.176 -87.277
weapon_jm_primary_smg	1146.138672 1250.406616 -594.624939	0.290 6.175 -87.253
weapon_jm_grenade_glue	1147.368774 214.001556 -590.568909	-0.053 0.000 -0.030
weapon_jm_grenade_glue	-130.885330 224.108856 49.754047	-0.042 0.000 -0.024
weapon_jm_primary_lmg	512.792603 2071.690186 -562.191528	18.634 -0.124 2.992
weapon_jm_primary_rifle	-126.492744 -232.487747 45.144382	0.171 11.252 -87.231
weapon_jm_primary_rifle	-117.983589 -231.931793 -594.819336	0.121 11.254 -87.634
weapon_jm_secondary_light	779.262756 2077.590576 109.176292	-0.607 34.060 89.909
weapon_jm_secondary_light	259.190063 2075.764893 109.175858	-0.538 34.064 89.837
weapon_jm_secondary_light	379.572388 -861.533081 -218.857727	-0.555 30.939 90.263
weapon_jm_secondary_light	367.165253 -861.654114 -218.825394	-0.385 34.068 89.680
weapon_jm_secondary_light	635.440002 -42.980835 -402.822723	-0.809 34.051 90.118
weapon_jm_secondary_light	663.479797 -40.694515 -402.825409	-0.385 34.068 89.680
weapon_jm_secondary_auto	760.066833 2076.673340 109.388557	-0.476 25.640 90.893
weapon_jm_secondary_auto	236.004333 2084.991943 109.394089	-0.807 25.596 91.576
weapon_jm_secondary_auto	360.430450 -44.712273 -402.608917	-0.644 25.631 91.240
weapon_jm_secondary_auto	384.922577 -38.444714 -402.612793	-0.413 25.641 90.763
weapon_jm_primary_sniper	-231.451477 1149.816772 43.422737	3.299 14.727 64.894
weapon_jm_primary_sniper	-231.513824 1142.369751 -596.568420	3.542 13.220 65.167
weapon_jm_primary_shotgun	1259.957886 -126.455177 -594.275513	-0.493 -9.616 -88.929
weapon_jm_primary_shotgun	1256.553589 -123.670235 45.720718	-0.492 -9.617 -88.897
weapon_jm_grenade_frag	1152.861450 798.223511 -593.895203	-35.886 -56.599 -90.219
weapon_jm_grenade_frag	-128.538681 802.681885 46.401257	-36.118 -56.373 -90.574
weapon_jm_grenade_health	-128.065536 802.882568 -595.594727	-0.070 -0.000 -0.029
weapon_jm_grenade_health	1151.610962 221.264038 44.695786	-0.062 -0.000 -0.031
ent_jm_carepackage_spawn	511.094635 2048.151611 80.426079	-0.039 -0.061 0.136
ent_jm_carepackage_spawn	270.277283 1955.470825 72.362198	0.001 0.000 -0.000
ent_jm_carepackage_spawn	498.411560 1907.971924 72.409874	0.007 0.000 0.006
ent_jm_carepackage_spawn	763.932434 1970.150146 72.399719	0.004 0.000 0.003
ent_jm_carepackage_spawn	768.643433 1615.655151 72.353851	-0.011 -0.008 0.010
ent_jm_carepackage_spawn	593.770020 1642.648926 8.362201	0.001 0.000 -0.000
ent_jm_carepackage_spawn	404.608948 1611.002930 8.346833	0.001 0.000 -0.000
ent_jm_carepackage_spawn	254.725525 1602.865234 72.409874	0.007 0.000 0.006
ent_jm_carepackage_spawn	496.521179 1392.166626 8.381532	0.002 0.000 0.001
ent_jm_carepackage_spawn	517.042908 1134.085205 8.409599	0.007 0.000 0.005
ent_jm_carepackage_spawn	607.860413 1041.339233 8.430501	-0.360 0.001 -0.169
ent_jm_carepackage_spawn	417.967285 1041.291504 8.389854	-0.003 0.000 0.008
ent_jm_carepackage_spawn	299.935516 1184.848999 8.369890	0.002 0.000 -0.001
ent_jm_carepackage_spawn	682.596436 1160.190674 8.373764	0.002 0.000 -0.000
ent_jm_carepackage_spawn	853.352295 1172.500366 8.498939	-0.004 0.002 -0.006
ent_jm_carepackage_spawn	1017.077271 1157.523804 8.328251	0.010 -0.022 0.006
ent_jm_carepackage_spawn	1132.950195 1114.497925 8.369890	0.002 0.000 -0.001
ent_jm_carepackage_spawn	1172.314575 942.798340 8.336806	0.002 0.000 -0.001
ent_jm_carepackage_spawn	935.929199 908.958679 8.379726	0.002 0.000 0.001
ent_jm_carepackage_spawn	893.557068 550.751221 8.436653	-0.102 0.017 -0.009
ent_jm_carepackage_spawn	898.791382 127.906967 8.342136	0.001 0.000 -0.001
ent_jm_carepackage_spawn	545.759827 140.673325 8.402438	-0.025 -0.018 0.167
ent_jm_carepackage_spawn	149.560577 120.098221 8.339734	0.001 0.000 -0.001
ent_jm_carepackage_spawn	123.363068 497.095093 8.395106	-0.163 0.048 0.017
ent_jm_carepackage_spawn	163.816162 888.250671 8.349129	0.001 0.000 -0.000
ent_jm_carepackage_spawn	503.986176 882.903503 8.411581	0.024 0.020 0.080
ent_jm_carepackage_spawn	1136.721191 115.677704 8.373764	0.002 0.000 -0.000
