# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_dive_hole
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	-287.319519 422.255646 37.141182	2.226 -18.489 -84.190
weapon_jm_secondary_heavy	-29.341921 -146.816696 37.112911	2.215 -18.398 -83.900
weapon_jm_secondary_heavy	-31.045574 -99.255363 37.152328	2.230 -18.490 -84.304
weapon_jm_secondary_heavy	-863.651794 1049.048584 37.119091	2.217 -18.398 -83.963
weapon_jm_secondary_heavy	-861.736450 999.262146 37.126904	2.220 -18.437 -84.044
weapon_jm_grenade_tag	-610.537598 448.445435 36.453178	-2.120 -1.402 -1.159
weapon_jm_grenade_tag	288.618500 -127.430984 36.466225	-1.642 -1.464 -0.898
weapon_jm_grenade_tag	-861.553589 -124.798561 36.454891	-2.057 -1.402 -1.125
weapon_jm_grenade_tag	-1184.359985 1022.117676 36.446762	-2.356 -1.359 -1.288
weapon_jm_grenade_tag	-33.414154 1016.894104 36.451412	-2.185 -1.389 -1.195
weapon_jm_grenade_jump	-1063.374146 464.138855 -483.551575	-2.286 -1.367 -1.250
weapon_jm_primary_smg	-443.652679 -174.290726 -482.625336	0.304 6.174 -87.270
weapon_jm_grenade_glue	172.049667 440.679657 -478.246857	-0.039 0.000 -0.022
weapon_jm_primary_rifle	-452.107422 1062.604248 -482.857178	0.173 11.252 -87.216
weapon_jm_secondary_light	-608.067017 427.791046 37.175327	-0.462 34.066 89.759
weapon_jm_secondary_light	-606.916321 471.057831 37.176182	-0.598 34.060 89.900
weapon_jm_secondary_light	284.391266 -101.850304 37.175705	-0.522 34.064 89.821
weapon_jm_secondary_light	289.051544 -146.922302 37.176731	-0.685 34.056 89.990
weapon_jm_secondary_light	-863.686096 -98.932503 37.175961	-0.563 34.062 89.863
weapon_jm_secondary_light	-862.276672 -155.852722 37.176601	-0.664 34.057 89.968
weapon_jm_secondary_light	-1180.216919 1009.854919 37.176601	-0.664 34.057 89.968
weapon_jm_secondary_light	-1184.549805 1047.970459 37.175755	-0.530 34.064 89.829
weapon_jm_secondary_light	-32.461964 1001.957886 37.176601	-0.664 34.057 89.968
weapon_jm_secondary_light	-35.341991 1034.202026 37.175655	-0.514 34.064 89.813
weapon_jm_secondary_auto	-289.354309 470.868286 37.392307	-0.703 25.625 91.363
weapon_jm_secondary_auto	-1188.258667 -137.806030 37.386509	-0.358 25.642 90.650
weapon_jm_secondary_auto	-1189.691650 -106.151794 37.386997	-0.387 25.641 90.709
weapon_jm_secondary_auto	289.301178 1050.171753 37.392441	-0.711 25.624 91.379
weapon_jm_secondary_auto	289.123169 1001.891846 37.392052	-0.688 25.625 91.331
weapon_jm_primary_sniper	-1064.533691 445.568390 -484.536682	3.469 13.203 65.351
weapon_jm_primary_shotgun	171.822769 449.066620 -482.252197	-0.500 -9.611 -89.116
weapon_jm_grenade_frag	-440.492065 1061.763794 -481.572693	-36.519 -55.973 -91.199
weapon_jm_grenade_health	-464.003326 -170.894913 -483.331238	-0.082 0.000 -0.032
ent_jm_carepackage_spawn	260.926880 1148.197632 -631.500183	-0.000 -0.944 0.000
ent_jm_carepackage_spawn	118.706909 1016.838013 -631.338440	-0.022 -0.959 0.227
ent_jm_carepackage_spawn	-445.151184 975.796570 -519.623901	0.001 0.000 0.001
ent_jm_carepackage_spawn	-1017.202576 1015.644043 -631.584961	0.018 -0.947 0.093
ent_jm_carepackage_spawn	-1151.824585 1156.332764 -631.408569	-0.153 -0.954 0.157
ent_jm_carepackage_spawn	-978.865845 461.945007 -519.655396	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-1026.914551 -116.021935 -631.500122	-0.000 -0.955 0.000
ent_jm_carepackage_spawn	-1163.971313 -255.977539 -631.497192	-0.005 -0.956 0.005
ent_jm_carepackage_spawn	-924.856201 -17.715864 -631.500183	0.001 -0.944 -0.001
ent_jm_carepackage_spawn	-447.799408 -74.742004 -519.609741	0.003 0.000 0.002
ent_jm_carepackage_spawn	2.219768 -10.900326 -631.500183	-0.000 -0.968 0.000
ent_jm_carepackage_spawn	117.847176 -112.461441 -631.500183	-0.000 -0.953 0.000
ent_jm_carepackage_spawn	242.627975 -261.089508 -631.304932	-0.295 -0.953 0.301
ent_jm_carepackage_spawn	62.122719 441.701355 -519.674133	-0.033 0.010 -0.020
ent_jm_carepackage_spawn	26.937178 903.761597 -631.478699	-0.036 -0.954 0.037
ent_jm_carepackage_spawn	-899.999451 927.888550 -631.500122	0.081 -0.953 -0.081
ent_jm_carepackage_spawn	-445.923004 103.044174 -519.655396	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-765.627563 458.284393 -519.614868	0.002 0.000 0.001
ent_jm_carepackage_spawn	-448.521576 778.752563 -519.631592	0.001 0.000 0.001
ent_jm_carepackage_spawn	-113.481949 442.360840 -519.658081	-0.014 0.016 -0.022
ent_jm_carepackage_spawn	-574.261292 319.148743 -631.500183	0.001 -0.944 -0.001
ent_jm_carepackage_spawn	-572.292297 582.823425 -631.500122	0.127 -0.954 -0.127
ent_jm_carepackage_spawn	-318.952698 581.559875 -631.500122	0.112 -0.944 -0.112
ent_jm_carepackage_spawn	-324.837463 316.966614 -631.499756	-0.001 -0.953 0.001
ent_jm_carepackage_spawn	-449.695313 450.932739 -631.499695	-0.001 -0.952 0.001
ent_jm_carepackage_spawn	-1177.394531 876.692810 0.334937	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-883.970459 1170.848267 0.422867	0.015 -0.000 0.015
ent_jm_carepackage_spawn	-5.014480 1154.917969 0.342247	0.001 0.000 -0.000
ent_jm_carepackage_spawn	271.042267 893.178345 0.407150	0.006 0.000 0.005
ent_jm_carepackage_spawn	261.881073 -259.101379 0.351495	0.001 0.000 0.000
ent_jm_carepackage_spawn	-12.043091 0.260159 0.414006	0.009 0.000 0.008
ent_jm_carepackage_spawn	-881.107544 -264.025360 0.377981	0.002 0.000 0.001
ent_jm_carepackage_spawn	-1162.338501 4.892213 0.349235	0.001 0.000 0.000
ent_jm_carepackage_spawn	-567.456177 324.373810 0.390248	0.003 0.000 0.002
ent_jm_carepackage_spawn	-329.049469 572.158936 0.386872	0.002 0.000 0.002
