# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_divide
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-551.673462 -429.068146 0.970611	1.993 -19.129 -85.807
weapon_jm_secondary_heavy	828.613220 4.417060 8.970700	2.073 -20.540 -85.668
weapon_jm_secondary_heavy	-830.194702 -3.610079 8.970442	1.826 -20.647 -86.097
weapon_jm_grenade_tag	-116.905212 983.596252 172.458969	-2.049 -1.062 -0.976
weapon_jm_grenade_tag	95.840805 978.123779 172.441498	-2.540 -1.297 -1.389
weapon_jm_grenade_tag	-492.387482 -608.780762 46.148937	-58.742 21.612 -55.701
weapon_jm_grenade_tag	515.884338 -616.120850 44.437458	-2.698 -1.246 -1.475
weapon_jm_grenade_jump	-810.828247 859.190247 300.443542	-2.464 -1.325 -1.348
weapon_jm_grenade_jump	737.529114 -626.257996 172.456314	-1.996 -1.430 -1.091
weapon_jm_primary_smg	-133.551453 983.721375 173.375168	0.286 6.175 -87.247
weapon_jm_primary_smg	-892.380371 991.589478 37.374813	0.307 6.174 -87.273
weapon_jm_primary_smg	992.421936 -834.198792 37.374821	0.307 6.174 -87.273
weapon_jm_primary_smg	-997.449097 -832.405518 37.374680	0.311 6.176 -87.279
weapon_jm_grenade_glue	-874.913147 987.408386 41.744244	-0.042 0.000 -0.024
weapon_jm_grenade_glue	906.916199 982.259888 41.774048	0.030 0.000 -0.023
weapon_jm_primary_lmg	604.075195 3.427866 5.808448	18.634 -0.374 2.992
weapon_jm_primary_lmg	-622.188416 5.796667 5.808448	18.634 -0.374 2.992
weapon_jm_primary_rifle	-735.015564 -610.684753 173.145447	0.169 11.252 -87.245
weapon_jm_primary_rifle	826.932617 863.989502 301.152893	0.159 11.252 -87.327
weapon_jm_primary_rifle	-150.500580 -424.554230 37.165112	0.142 11.253 -87.460
weapon_jm_primary_rifle	-506.049957 -609.731384 45.165829	-0.053 9.424 -88.169
weapon_jm_primary_rifle	490.958008 -607.485352 45.150723	0.162 11.253 -87.301
weapon_jm_secondary_light	-867.678284 568.155823 264.154694	36.546 0.448 0.241
weapon_jm_secondary_light	776.879028 671.000977 264.161621	36.495 0.432 0.213
weapon_jm_secondary_light	96.427391 -426.767090 0.156472	36.397 0.463 0.293
weapon_jm_secondary_light	-413.621521 -488.476685 177.400421	-1.085 33.809 90.403
weapon_jm_secondary_light	344.156189 -543.505432 177.399475	-0.932 33.864 90.246
weapon_jm_secondary_light	15.159679 -644.266907 8.164397	36.645 0.425 0.101
weapon_jm_secondary_light	-115.640030 293.107086 49.260620	-1.955 -32.819 -91.190
weapon_jm_secondary_light	732.416809 -578.522583 173.175217	-0.484 34.065 89.782
weapon_jm_secondary_light	-733.602051 -631.287109 173.175720	-0.562 34.062 89.863
weapon_jm_secondary_light	-828.998596 851.392944 301.174957	-0.442 34.067 89.738
weapon_jm_secondary_light	852.973145 857.474060 301.177032	-0.773 34.052 90.080
weapon_jm_secondary_auto	-46.180862 935.235657 137.111816	-0.807 25.630 91.475
weapon_jm_secondary_auto	46.917381 941.305542 137.109802	-0.673 25.653 91.220
weapon_jm_secondary_auto	-353.804688 735.857483 41.613789	-0.788 25.639 91.440
weapon_jm_secondary_auto	421.258118 734.306458 41.614655	-0.846 25.615 91.549
weapon_jm_secondary_auto	562.665466 -994.668823 1.109748	-0.791 25.122 91.255
weapon_jm_secondary_auto	-564.929932 -993.543762 1.110445	-0.849 25.104 91.347
weapon_jm_primary_sniper	-835.376465 872.348389 299.475647	3.440 13.205 65.422
weapon_jm_primary_sniper	736.969238 -601.519653 171.518494	3.257 10.071 66.114
weapon_jm_primary_shotgun	122.010521 976.816345 173.716339	-0.490 -9.618 -88.864
weapon_jm_primary_shotgun	869.887756 990.398621 37.793987	-0.514 -9.601 -89.485
weapon_jm_primary_shotgun	-348.633545 -954.681946 37.716564	-0.490 -9.618 -88.864
weapon_jm_primary_shotgun	350.578766 -957.803528 37.707909	-0.488 -9.618 -88.794
weapon_jm_grenade_frag	-732.323975 -586.818970 174.408035	-36.225 -56.264 -90.740
weapon_jm_grenade_frag	841.040588 864.243896 302.393585	-36.005 -56.483 -90.401
weapon_jm_grenade_frag	-180.228577 -429.711121 38.412781	-36.294 -56.195 -90.847
weapon_jm_grenade_health	-383.785461 -1.538863 8.355678	-0.041 -0.000 0.096
weapon_jm_grenade_health	385.044098 1.190132 8.373536	-0.036 -0.000 0.085
weapon_jm_grenade_health	-0.841186 -647.469971 8.399510	-0.070 0.000 -0.026
ent_jm_carepackage_spawn	701.319153 -382.207245 0.365899	0.002 0.000 -0.001
ent_jm_carepackage_spawn	500.664886 -397.478607 0.382959	0.003 0.000 0.000
ent_jm_carepackage_spawn	175.485886 -342.026825 0.391493	0.003 0.000 0.001
ent_jm_carepackage_spawn	-18.030386 -375.121918 0.388146	0.003 0.000 0.001
ent_jm_carepackage_spawn	-211.683182 -346.796082 0.420092	0.013 -0.000 0.011
ent_jm_carepackage_spawn	-440.718994 -360.370056 0.323994	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-716.497986 -368.574097 0.403910	0.005 0.000 0.004
ent_jm_carepackage_spawn	-906.966858 -446.481018 0.348663	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-952.664368 -597.104736 0.386441	0.003 0.000 0.001
ent_jm_carepackage_spawn	-903.728882 -774.638306 0.402429	0.005 0.000 0.003
ent_jm_carepackage_spawn	-695.525574 -801.352844 0.323994	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-427.521240 -872.493347 0.344015	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-270.582153 -862.785400 0.341649	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-88.818092 -812.550659 0.402572	0.032 0.029 0.125
ent_jm_carepackage_spawn	179.033035 -829.968201 0.408197	0.006 0.000 0.005
ent_jm_carepackage_spawn	355.579590 -866.800720 0.344022	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1.165106 -716.298279 8.364258	0.001 0.000 0.000
ent_jm_carepackage_spawn	4.279776 -518.117615 8.337286	0.001 0.000 -0.000
ent_jm_carepackage_spawn	460.807922 -943.357239 0.382954	0.003 0.000 0.000
ent_jm_carepackage_spawn	585.440308 -833.977478 0.359670	0.002 0.000 -0.001
ent_jm_carepackage_spawn	839.859924 -792.724182 0.381169	0.002 0.000 0.000
ent_jm_carepackage_spawn	916.637146 -730.226746 0.350931	0.002 0.000 -0.001
ent_jm_carepackage_spawn	946.650879 -548.467896 0.379354	0.002 0.000 0.000
ent_jm_carepackage_spawn	980.301819 -349.807953 0.382949	0.003 0.000 0.000
ent_jm_carepackage_spawn	621.941589 -617.666382 8.388486	0.002 0.000 0.002
