# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_dread_hollow
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	9.851054 292.258301 432.970642	2.004 -20.562 -85.788
weapon_jm_secondary_heavy	-9.401820 -293.046875 432.970551	1.927 -20.598 -85.923
weapon_jm_secondary_heavy	890.482910 115.417000 45.150810	2.229 -18.490 -84.289
item_jm_ammo_light	-900.245483 -123.776764 0.328844	0.463 0.070 0.051
item_jm_ammo_light	-544.994873 187.004013 128.421722	0.468 0.056 0.019
item_jm_ammo_light	925.031189 105.505699 44.664116	0.453 0.051 0.032
item_jm_ammo_light	858.162659 107.125618 44.679707	0.457 0.050 0.026
item_jm_ammo_light	-6.008136 29.971798 304.441650	1.146 -0.273 -0.877
item_jm_ammo_light	-5.110738 -30.373566 304.442047	0.990 -0.420 -0.761
item_jm_ammo_light	-492.585083 225.738754 8.314846	0.448 0.075 0.061
item_jm_ammo_light	-66.427475 -690.481140 0.403770	0.844 0.435 0.385
item_jm_ammo_light	96.808609 521.497620 40.334614	0.452 0.066 0.053
item_jm_ammo_light	171.609894 236.223801 -319.619629	0.469 0.058 0.033
item_jm_ammo_heavy	-5.427487 294.596283 432.386475	0.436 0.001 0.426
item_jm_ammo_heavy	13.652595 -291.839752 432.398071	1.071 -0.002 0.874
item_jm_ammo_heavy	893.492371 99.757164 44.690765	-0.884 -0.011 0.738
item_jm_ammo_heavy	-1507.416260 -1651.504395 1324.620850	0.511 0.004 -0.408
item_jm_ammo_heavy	-1746.023560 -1413.882080 44.711411	-0.686 -0.004 0.568
item_jm_ammo_heavy	-1836.446045 1837.408936 44.628368	-0.699 0.005 -0.579
item_jm_ammo_heavy	99.617874 1434.965698 76.740669	-0.443 -0.004 0.367
item_jm_ammo_heavy	1291.359619 1803.591431 36.660347	0.076 0.003 0.010
item_jm_ammo_heavy	1827.497803 -1947.507690 316.664642	0.048 -0.002 0.104
item_jm_ammo_heavy	1947.398682 -1712.339844 44.690365	-0.892 -0.011 0.746
item_jm_ammo_heavy	78.529205 -1750.460571 180.717697	0.639 -0.004 0.490
item_jm_ammo_heavy	-444.115387 -1326.154175 36.783672	-0.000 0.284 0.123
item_jm_ammo_heavy	-1933.471924 173.208115 -283.345795	-0.779 0.020 -0.564
item_jm_ammo_heavy	-1353.253174 1691.214233 44.740139	-0.454 -4.123 0.380
weapon_jm_primary_smg	-1114.406616 -162.130966 45.375080	0.298 5.067 -87.263
weapon_jm_primary_smg	1528.580200 1471.639038 167.152130	0.287 6.175 -87.249
weapon_jm_primary_smg	1497.349365 998.024780 167.151566	0.307 6.174 -87.273
weapon_jm_primary_smg	1497.679688 -1907.520508 181.375687	0.267 6.177 -87.225
weapon_jm_primary_smg	1571.725586 -1712.120728 181.375244	0.283 6.176 -87.244
weapon_jm_primary_smg	-1761.919434 168.345474 -282.625824	0.321 6.182 -87.291
weapon_jm_grenade_smoke	878.164490 115.915710 44.438553	-2.657 -1.239 -1.453
weapon_jm_grenade_smoke	912.004822 118.521812 44.461998	-1.797 -1.448 -0.982
weapon_jm_grenade_smoke	115.863037 -362.266571 40.132217	-0.976 -1.571 -1.491
weapon_jm_grenade_smoke	932.072632 1379.774902 44.430515	-2.953 -1.168 -1.615
weapon_jm_grenade_smoke	-335.972961 -1653.214233 44.437454	-2.698 -1.247 -1.475
weapon_jm_grenade_smoke	-1922.290039 164.865082 -283.508545	-0.710 -1.511 -0.388
weapon_jm_grenade_smoke	-538.201172 187.496826 128.170761	-2.863 -1.182 -0.779
weapon_jm_primary_lmg	-1748.169556 -1729.048584 42.089676	18.634 -0.462 2.992
weapon_jm_primary_lmg	-1879.963623 -254.059921 42.089706	18.634 -0.358 2.992
weapon_jm_primary_lmg	927.217651 1367.817017 42.041142	18.510 -0.580 3.417
weapon_jm_primary_lmg	1253.620850 -1491.449829 314.089447	18.634 -0.798 2.992
weapon_jm_primary_lmg	-345.614960 -1663.173096 42.089699	18.634 -0.971 2.992
weapon_jm_primary_rifle	-2006.716919 -162.735214 45.212231	0.077 11.256 -87.980
weapon_jm_primary_rifle	-1454.806519 1376.563965 45.158817	0.151 11.253 -87.390
weapon_jm_primary_rifle	1624.952148 1034.941406 45.137547	0.181 11.252 -87.155
weapon_jm_primary_rifle	1878.053955 -426.620422 181.401535	-0.490 7.227 -90.465
weapon_jm_primary_rifle	1322.369507 -1388.072388 317.125214	0.197 11.252 -87.022
weapon_jm_primary_rifle	1952.042114 -1408.159302 181.220871	0.065 8.160 -88.078
weapon_jm_secondary_light	-23.015240 485.044342 72.167076	36.454 0.419 0.192
weapon_jm_secondary_light	17.539682 488.513123 72.179771	36.360 0.389 0.142
weapon_jm_secondary_light	-9.288269 -370.806946 87.248222	-0.918 33.865 90.231
weapon_jm_secondary_light	-141.015778 -487.541016 67.099640	-0.778 33.896 90.086
weapon_jm_secondary_light	86.878395 -251.307693 201.486893	-0.927 33.905 90.239
weapon_jm_secondary_light	149.973862 460.161652 187.167801	-0.309 35.544 90.181
weapon_jm_secondary_light	-163.019516 454.199982 187.171249	-0.262 35.646 90.043
weapon_jm_secondary_light	860.728516 120.787773 45.176479	-0.645 34.057 89.948
weapon_jm_secondary_light	2.187027 29.643583 304.200775	36.204 0.340 0.059
weapon_jm_secondary_light	6.143545 -30.975243 304.162445	36.489 0.430 0.210
weapon_jm_secondary_light	-20.909063 -2.551513 98.303574	-2.033 -32.533 -91.202
weapon_jm_secondary_light	118.467445 -361.717194 40.968067	-0.111 56.019 90.639
weapon_jm_secondary_light	84.177361 -319.277161 201.487564	-1.037 33.840 90.353
weapon_jm_secondary_light	-228.182678 -357.019684 187.817352	35.790 12.246 17.014
weapon_jm_secondary_light	222.669769 297.216675 200.891037	-0.947 33.864 90.260
weapon_jm_secondary_auto	-884.388916 -121.322731 1.108163	-0.660 25.135 91.047
