# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_dread_hollow
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	135.714798 1423.282959 77.099724	2.209 -18.343 -83.764
weapon_jm_secondary_heavy	88.065384 1424.804565 77.128838	2.221 -18.438 -84.063
weapon_jm_secondary_heavy	118.661972 1425.493408 77.142899	2.226 -18.490 -84.207
weapon_jm_secondary_heavy	90.770454 -1773.118530 181.114761	2.215 -18.401 -83.922
weapon_jm_secondary_heavy	-350.449951 -1677.358154 45.108635	2.213 -18.357 -83.856
weapon_jm_grenade_tag	-1839.097412 1817.372070 44.451427	-2.185 -1.389 -1.195
weapon_jm_grenade_tag	-1376.470825 1681.954346 44.444801	-2.428 -1.323 -1.327
weapon_jm_grenade_tag	-1457.250000 1379.952759 44.435204	-2.780 -1.170 -1.520
weapon_jm_grenade_tag	-1776.821411 146.784775 -283.555450	-2.428 -1.323 -1.327
weapon_jm_grenade_tag	-1939.716309 156.860031 -283.539734	-1.852 -1.448 -1.012
weapon_jm_grenade_jump	-0.770493 48.314793 512.133667	-0.962 -1.567 -1.469
weapon_jm_grenade_jump	-2.102288 -47.796539 512.154297	-0.757 -1.690 -1.155
weapon_jm_grenade_jump	-1459.662109 -1671.777344 1324.453613	-2.057 -1.402 -1.124
weapon_jm_grenade_jump	-1447.375244 -1671.933594 1324.456909	-1.937 -1.428 -1.059
weapon_jm_grenade_jump	-1443.781616 -1662.326294 1324.465698	-1.617 -1.471 -0.884
weapon_jm_primary_smg	1328.249146 1809.155151 37.375664	0.277 6.176 -87.236
weapon_jm_primary_smg	1613.484375 1042.955566 45.375065	0.298 6.174 -87.263
weapon_jm_primary_smg	1506.080566 1020.081787 167.151566	0.307 6.174 -87.273
weapon_jm_primary_smg	1520.852661 1464.250488 167.152664	0.268 6.177 -87.226
weapon_jm_primary_smg	933.293945 1371.386597 45.375317	0.289 6.175 -87.252
weapon_jm_grenade_glue	1623.731079 1036.829956 49.736439	-0.045 0.000 -0.026
weapon_jm_grenade_glue	1541.395386 1022.676331 171.502731	-0.048 0.000 -0.028
weapon_jm_grenade_glue	1503.035034 1464.844971 171.555344	-1.020 0.005 -0.589
weapon_jm_grenade_glue	927.732300 1392.504395 49.796875	-0.052 0.000 0.034
weapon_jm_grenade_glue	895.215088 111.286797 49.734409	-0.045 0.000 -0.026
weapon_jm_grenade_glue	124.548370 -362.436951 45.484081	-0.034 0.000 -0.019
weapon_jm_primary_lmg	-877.668091 117.114326 -285.974121	18.471 -0.058 4.010
weapon_jm_primary_rifle	1884.825806 -446.204254 181.156891	-0.023 13.065 -87.597
weapon_jm_primary_rifle	1851.956909 -1953.294067 317.141479	0.175 11.252 -87.201
weapon_jm_primary_rifle	1247.270874 -1489.120483 317.191895	0.036 5.258 -87.846
weapon_jm_primary_rifle	1336.697632 -1374.541504 317.141449	0.175 11.211 -87.201
weapon_jm_primary_rifle	1501.452026 -1916.578857 181.137299	0.181 11.252 -87.155
weapon_jm_primary_rifle	1955.679321 -1420.702881 181.149475	-0.036 10.250 -87.556
weapon_jm_primary_rifle	1559.907471 -1692.047729 181.132950	0.187 11.252 -87.107
weapon_jm_primary_rifle	1963.189819 -1701.624878 45.145679	0.169 11.252 -87.245
weapon_jm_secondary_light	-1924.285522 158.515549 -282.823029	-0.761 34.052 90.068
weapon_jm_secondary_light	-1760.049683 161.368164 -282.824219	-0.571 34.062 89.872
weapon_jm_secondary_light	146.711731 453.536896 187.165283	-0.344 35.487 90.281
weapon_jm_secondary_light	-157.955460 454.851959 187.167465	-0.314 35.543 90.194
weapon_jm_secondary_light	89.966759 -228.459259 201.487183	-0.976 33.842 90.290
weapon_jm_secondary_light	75.614876 -323.830963 201.486420	-0.852 33.883 90.162
weapon_jm_secondary_light	-131.867065 -370.560211 72.941742	-2.313 -38.482 -91.305
weapon_jm_secondary_light	-186.014328 -485.795105 67.101540	-1.085 33.809 90.403
weapon_jm_secondary_light	-5.618136 -374.955505 87.246864	-0.700 33.912 90.005
weapon_jm_secondary_light	-224.257294 490.293030 72.863701	-0.675 33.631 90.125
weapon_jm_secondary_light	-233.345276 -37.617218 187.191391	-0.375 34.322 90.539
weapon_jm_secondary_light	228.011276 196.865143 208.172607	36.413 0.406 0.170
weapon_jm_secondary_light	-41.696098 -203.644470 88.164810	36.471 0.424 0.201
weapon_jm_secondary_light	4.516289 -11.834648 80.159988	36.507 0.436 0.220
weapon_jm_secondary_auto	-1155.821167 -168.070328 45.394875	-0.855 25.578 91.678
weapon_jm_secondary_auto	-2011.137451 -131.067307 45.393581	-0.779 25.609 91.519
weapon_jm_secondary_auto	-1913.714478 -258.718140 45.392723	-0.727 25.619 91.412
weapon_jm_primary_sniper	-1480.641113 -1658.287476 1323.395020	3.624 13.253 64.962
weapon_jm_primary_sniper	-1751.605225 -1719.246582 43.394081	3.629 13.258 64.950
weapon_jm_primary_sniper	-1744.030273 -1398.977539 43.404327	3.606 12.716 65.009
weapon_jm_primary_shotgun	-1833.602295 1834.022583 45.749660	-0.501 -9.611 -89.129
weapon_jm_primary_shotgun	-1333.084106 1678.496826 45.710140	-0.488 -9.619 -88.812
weapon_jm_primary_shotgun	-1484.531494 1379.829712 45.749641	-0.501 -9.611 -89.129
weapon_jm_grenade_frag	107.037849 1427.866455 78.427620	-36.520 -55.970 -91.199
weapon_jm_grenade_frag	-1889.297363 -272.202759 46.468784	-37.149 -55.309 -92.201
weapon_jm_grenade_frag	-1135.878662 -167.097244 46.362503	-35.525 -58.491 -89.675
weapon_jm_grenade_frag	-352.060181 -1659.941040 46.366356	-35.585 -56.868 -89.763
weapon_jm_grenade_frag	91.769897 -1757.358398 182.366135	-35.585 -56.868 -89.764
weapon_jm_grenade_health	1239.042847 -1456.829468 316.696991	-0.061 -0.000 -0.030
weapon_jm_grenade_health	1299.412354 -1366.605103 316.661560	-0.034 0.000 -0.082
weapon_jm_grenade_health	1879.521973 -1960.228394 316.682953	-0.072 0.000 -0.029
ent_jm_carepackage_spawn	-1891.782593 286.074707 -319.638245	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1602.080200 292.047211 -341.757507	-0.204 -0.784 -0.025
ent_jm_carepackage_spawn	-1301.373169 291.536407 -319.649078	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-992.830322 284.685486 -319.606903	0.004 0.000 0.001
ent_jm_carepackage_spawn	-887.450378 186.018860 -319.615295	0.003 0.000 0.000
ent_jm_carepackage_spawn	-377.201630 279.263184 -319.613556	0.003 0.000 0.001
ent_jm_carepackage_spawn	131.578827 287.577881 -319.634125	0.002 0.000 -0.001
ent_jm_carepackage_spawn	167.004196 441.612976 -344.324585	0.198 -0.805 0.049
ent_jm_carepackage_spawn	163.902145 326.396484 40.411083	0.008 0.000 0.006
ent_jm_carepackage_spawn	132.090836 8.471951 40.489151	0.029 -0.001 0.027
ent_jm_carepackage_spawn	-169.649551 1.183064 40.441704	0.058 -0.000 0.056
ent_jm_carepackage_spawn	-54.405228 219.884018 40.379505	0.002 0.000 0.000
ent_jm_carepackage_spawn	-86.245773 420.257111 40.401058	0.005 0.000 0.003
ent_jm_carepackage_spawn	-197.481873 -202.867966 40.373913	0.002 0.000 -0.000
ent_jm_carepackage_spawn	-61.637581 -300.384247 40.324211	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-105.364540 -442.861053 40.406902	0.006 0.000 0.004
ent_jm_carepackage_spawn	197.758423 -114.776550 40.351116	0.002 0.000 -0.001
ent_jm_carepackage_spawn	195.664459 -417.534546 104.406898	0.006 0.000 0.004
ent_jm_carepackage_spawn	-136.439697 -413.515381 168.348846	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-196.944244 -178.416336 168.377335	-0.000 -0.007 0.009
ent_jm_carepackage_spawn	-190.480545 162.000320 168.361938	0.002 0.000 -0.001
ent_jm_carepackage_spawn	181.910141 235.835266 168.362915	0.004 -0.009 0.004
ent_jm_carepackage_spawn	7.909383 345.492310 168.340195	0.003 -0.008 0.005
ent_jm_carepackage_spawn	311.119385 417.768127 168.336990	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-135.189896 375.266266 168.339432	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-316.192474 422.334320 168.361938	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-14.331724 566.976440 168.382843	0.009 0.009 -0.002
ent_jm_carepackage_spawn	-1.907091 -281.750336 168.412399	0.023 0.024 0.129
ent_jm_carepackage_spawn	-1.567477 -323.240082 432.332001	0.002 0.000 -0.001
ent_jm_carepackage_spawn	10.945115 336.873413 432.326874	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-6.424971 73.862762 304.334534	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-0.385718 -72.214302 304.398010	0.004 0.000 0.002
ent_jm_carepackage_spawn	-201.054092 -276.565918 304.406372	-0.006 -0.056 0.149
ent_jm_carepackage_spawn	191.654480 261.842194 304.374603	0.039 -0.009 -0.137
ent_jm_carepackage_spawn	-502.961548 -250.231308 0.355294	0.009 0.003 0.047
ent_jm_carepackage_spawn	-472.439056 -744.277039 0.355374	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-142.440063 -896.144470 0.361782	0.002 0.000 -0.001
ent_jm_carepackage_spawn	261.645660 -872.881226 0.405360	0.006 0.000 0.004
ent_jm_carepackage_spawn	545.094849 -711.989868 0.339248	0.002 0.000 -0.001
ent_jm_carepackage_spawn	540.049866 -212.483856 0.336802	0.002 0.000 -0.001
ent_jm_carepackage_spawn	583.211060 126.572594 0.373761	0.002 0.000 -0.000
ent_jm_carepackage_spawn	573.581665 442.916107 0.348664	0.002 0.000 -0.001
ent_jm_carepackage_spawn	421.792908 706.673279 0.386444	0.003 0.000 0.001
ent_jm_carepackage_spawn	116.749588 928.991455 0.367906	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-211.968658 955.667175 0.405360	0.006 0.000 0.004
ent_jm_carepackage_spawn	-454.240387 743.680176 0.402433	0.005 0.000 0.003
ent_jm_carepackage_spawn	-613.570618 500.812836 0.373767	0.002 0.000 -0.000
ent_jm_carepackage_spawn	-555.014648 308.193054 128.373917	0.002 0.000 -0.000
ent_jm_carepackage_spawn	-316.420532 -208.308563 40.384193	-0.044 0.016 -0.043
ent_jm_carepackage_spawn	-301.481415 -588.924377 40.359844	0.002 0.000 -0.001
ent_jm_carepackage_spawn	11.968554 -576.907959 40.396637	-0.009 -0.016 0.014
ent_jm_carepackage_spawn	309.873718 -534.042358 40.391621	0.003 0.000 0.001
ent_jm_carepackage_spawn	341.315918 -261.237122 40.351116	0.002 0.000 -0.001
ent_jm_carepackage_spawn	332.544373 190.271423 40.398003	0.004 0.000 0.002
ent_jm_carepackage_spawn	284.131958 544.466431 40.381313	0.002 0.000 0.000
ent_jm_carepackage_spawn	-277.947784 588.078613 40.357712	0.002 0.000 -0.001
