# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_dusty_lane
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	-22.294510 -2588.495850 37.147701	2.228 -18.488 -84.257
weapon_jm_secondary_heavy	25.926283 -2586.968994 37.159607	2.233 -18.491 -84.379
weapon_jm_secondary_heavy	-661.887634 -240.206482 37.128819	2.221 -18.438 -84.063
weapon_jm_secondary_heavy	-624.191406 -240.341080 37.132496	2.222 -18.469 -84.101
weapon_jm_secondary_heavy	-19.317822 -995.583313 429.110535	2.214 -18.387 -83.878
weapon_jm_secondary_heavy	-1181.989502 -2050.415771 229.135788	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	-109.899666 -1903.040771 0.830693	3.395 -16.483 -83.392
weapon_jm_secondary_heavy	-1705.616699 -1692.586670 0.838942	3.329 -16.507 -83.505
weapon_jm_grenade_tag	89.991661 -2598.258545 36.441746	-2.542 -1.297 -1.388
weapon_jm_grenade_tag	82.100731 -2599.751953 36.458172	-1.937 -1.428 -1.059
weapon_jm_grenade_tag	-95.458000 -2601.348877 36.457371	-1.966 -1.430 -1.075
weapon_jm_grenade_tag	-84.572464 -2603.260986 36.454044	-2.088 -1.401 -1.142
weapon_jm_grenade_tag	-540.144470 -221.377197 36.456585	-1.996 -1.430 -1.091
weapon_jm_grenade_tag	-551.405518 -218.304138 36.496525	-0.535 -1.513 -0.293
weapon_jm_grenade_tag	-740.147339 -221.243118 36.476875	-1.253 -1.495 -0.685
weapon_jm_grenade_tag	-729.015869 -215.176544 36.432919	-2.869 -1.204 -1.565
weapon_jm_grenade_tag	-7.328911 -981.314087 428.456299	-1.996 -1.430 -1.091
weapon_jm_grenade_tag	-943.210999 -1946.697876 36.452305	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	-103.321190 -715.344971 0.178613	-1.661 -1.425 -1.195
weapon_jm_grenade_tag	-818.431335 -1315.230957 0.180128	-1.612 -1.436 -1.159
weapon_jm_grenade_tag	-1695.332031 -1699.568604 0.162718	-2.177 -1.339 -1.567
