# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_elevator_2
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-258.911896 1731.981934 1024.970337	1.734 -19.211 -86.259
weapon_jm_secondary_heavy	-236.602844 1752.774048 1024.970215	1.717 -19.212 -86.287
weapon_jm_secondary_heavy	-210.919205 1735.965088 1024.970215	1.637 -19.247 -86.427
weapon_jm_grenade_tag	-658.799927 1734.429565 1536.129272	-1.080 -1.264 -0.629
weapon_jm_grenade_tag	-231.369522 1725.832031 1024.133667	-1.033 -1.284 -0.602
weapon_jm_grenade_tag	674.963135 1729.596558 1024.122925	-1.147 -1.263 -0.668
weapon_jm_grenade_tag	225.293198 1737.028442 512.127686	-1.097 -1.264 -0.639
weapon_jm_grenade_jump	226.620682 1710.053223 328.201660	-1.031 -1.504 -0.564
weapon_jm_grenade_jump	-811.389954 1729.269653 712.172852	-2.088 -1.401 -1.142
weapon_jm_primary_smg	1190.171387 1719.786499 1217.094604	0.269 6.177 -87.227
weapon_jm_grenade_glue	1187.491089 1751.216309 1221.467041	-0.039 0.000 -0.023
weapon_jm_primary_lmg	224.567001 1697.567505 325.808441	18.634 -0.365 2.992
weapon_jm_primary_rifle	222.716629 1714.195923 1344.902588	0.116 11.253 -87.667
weapon_jm_secondary_light	242.250137 1731.394775 512.153748	36.411 0.471 0.306
weapon_jm_secondary_light	203.359238 1734.686646 512.178650	36.283 0.399 0.183
weapon_jm_secondary_light	223.723999 1773.282959 512.143616	36.463 0.501 0.356
weapon_jm_secondary_light	-686.549561 1731.164551 1536.188721	36.232 0.369 0.133
weapon_jm_secondary_light	-671.284119 1756.662231 1536.150879	36.426 0.479 0.321
weapon_jm_secondary_light	-638.871155 1739.165894 1536.168579	36.335 0.428 0.233
weapon_jm_secondary_auto	672.478027 1755.911011 1025.107666	-0.619 25.137 90.981
weapon_jm_secondary_auto	649.232178 1739.271729 1025.109985	-0.810 25.115 91.284
weapon_jm_secondary_auto	694.122559 1739.639404 1025.111938	-0.969 25.067 91.538
weapon_jm_primary_sniper	-1169.750122 1733.240723 1727.110840	3.634 13.261 64.937
weapon_jm_primary_shotgun	-784.236877 1733.228149 713.466797	-0.500 -9.611 -89.116
weapon_jm_grenade_frag	219.680923 1744.520264 1346.069702	-35.350 -57.095 -89.411
weapon_jm_grenade_health	-1199.308472 1749.494995 1728.359741	-0.094 0.000 -0.036
ent_jm_carepackage_spawn	-1031.438965 1753.066284 1728.399902	0.004 0.000 0.003
ent_jm_carepackage_spawn	-703.984375 1754.245239 1728.337158	-0.027 -0.012 0.020
ent_jm_carepackage_spawn	-704.696777 1436.906006 1728.332520	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-564.746338 1577.155762 1536.371826	0.002 0.000 -0.000
ent_jm_carepackage_spawn	-774.451782 1563.000244 1536.331787	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-780.096130 1570.810181 1728.449585	0.106 -0.000 0.105
ent_jm_carepackage_spawn	-357.666016 1579.925659 1216.352783	-0.006 -0.009 0.008
ent_jm_carepackage_spawn	-211.360565 1731.378906 1216.360229	0.001 0.000 0.000
ent_jm_carepackage_spawn	-222.389877 1426.925293 1216.422852	0.015 -0.000 0.014
ent_jm_carepackage_spawn	-630.911377 1742.005249 712.344666	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-339.862701 1571.053589 1024.355347	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-123.548241 1608.096924 1024.343994	0.002 0.000 -0.001
ent_jm_carepackage_spawn	112.102287 1632.370239 704.438660	0.045 -0.000 0.045
ent_jm_carepackage_spawn	374.525696 1613.312744 704.383362	0.002 0.000 0.001
ent_jm_carepackage_spawn	230.732269 1474.010010 704.366394	0.001 0.000 0.000
ent_jm_carepackage_spawn	220.980453 1539.251221 512.355347	0.002 0.000 -0.001
ent_jm_carepackage_spawn	315.056366 1543.144897 512.441589	0.057 -0.000 0.055
ent_jm_carepackage_spawn	593.673462 1543.139893 1024.382935	0.003 0.000 0.000
ent_jm_carepackage_spawn	757.131409 1535.598267 1024.353149	0.002 0.000 -0.001
ent_jm_carepackage_spawn	547.821777 1594.815186 1216.415283	0.009 -0.000 0.008
ent_jm_carepackage_spawn	680.971802 1724.932617 1216.355957	0.001 0.000 -0.000
ent_jm_carepackage_spawn	838.636230 1567.390015 1216.378052	0.002 0.000 0.001
ent_jm_carepackage_spawn	676.079956 1445.651733 1216.384644	-0.010 0.015 -0.017
ent_jm_carepackage_spawn	1004.035095 1751.875000 1216.370605	0.016 -0.008 -0.015
ent_jm_carepackage_spawn	382.519043 1738.031982 1344.399780	0.004 0.000 0.003
ent_jm_carepackage_spawn	128.778198 1729.561035 1344.370361	0.001 0.000 0.000
ent_jm_carepackage_spawn	16.753635 1736.649414 328.362305	0.001 0.000 0.000
ent_jm_carepackage_spawn	445.931335 1722.949951 328.381622	0.002 0.000 0.001
ent_jm_carepackage_spawn	342.732483 1726.586426 328.374237	0.002 0.000 0.001
ent_jm_carepackage_spawn	111.564606 1721.772827 328.448914	0.094 -0.003 -0.094
