# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_elevator
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	267.883270 174.208176 160.845673	2.220 -18.437 -84.044
weapon_jm_secondary_heavy	272.689178 76.093475 160.869568	2.229 -18.490 -84.289
weapon_jm_grenade_tag	244.984207 13.930826 94.158432	3.823 4.284 -84.039
weapon_jm_grenade_tag	274.298492 125.144081 160.173645	-2.057 -1.402 -1.125
weapon_jm_grenade_tag	237.328400 12.838809 95.795624	23.934 -9.939 20.517
weapon_jm_grenade_jump	245.517441 19.867500 91.802193	-45.185 -2.233 -86.879
weapon_jm_grenade_glue	244.054581 19.003220 102.223038	9.160 4.501 -49.641
weapon_jm_secondary_light	238.449997 157.534241 0.165036	36.413 0.492 0.249
weapon_jm_secondary_light	236.677765 150.761353 0.165550	36.351 0.437 0.248
weapon_jm_secondary_light	238.224625 144.005310 0.143604	36.463 0.501 0.356
weapon_jm_secondary_light	238.449692 116.440697 0.160326	36.517 0.843 0.340
weapon_jm_secondary_light	238.281555 109.333366 0.175732	36.298 0.407 0.197
weapon_jm_secondary_light	238.486374 101.093742 0.187729	36.790 -0.394 -1.172
weapon_jm_secondary_light	237.835449 92.762825 0.151819	36.421 0.477 0.316
weapon_jm_secondary_light	238.589035 163.487289 0.149715	34.280 0.148 0.248
weapon_jm_secondary_light	236.491409 137.032486 0.153723	36.411 0.471 0.306
weapon_jm_secondary_light	237.030838 86.885193 0.146802	36.447 0.492 0.341
weapon_jm_secondary_auto	273.112061 107.813866 161.111069	-0.703 25.625 91.363
weapon_jm_secondary_auto	272.581421 147.257660 161.110809	-0.688 25.625 91.331
weapon_jm_grenade_frag	191.095337 127.860329 290.107452	-35.926 -56.560 -90.281
weapon_jm_grenade_health	243.792435 10.944077 90.492119	0.669 5.240 0.170
ent_jm_carepackage_spawn	211.725159 36.530529 0.339237	0.002 0.000 -0.001
ent_jm_carepackage_spawn	194.489777 80.316513 0.388144	0.003 0.000 0.001
ent_jm_carepackage_spawn	186.481094 134.544235 0.412324	0.008 0.000 0.006
ent_jm_carepackage_spawn	217.012924 213.708771 0.361773	0.002 0.000 -0.001
ent_jm_carepackage_spawn	161.966797 224.227707 0.428440	0.022 -0.000 0.020
ent_jm_carepackage_spawn	126.161850 198.251083 0.348660	0.002 0.000 -0.001
ent_jm_carepackage_spawn	137.856827 149.593918 0.326120	-0.012 0.017 -0.026
ent_jm_carepackage_spawn	142.483597 103.383354 0.384706	0.003 0.000 0.001
ent_jm_carepackage_spawn	141.227127 48.778675 0.363845	0.002 0.000 -0.001
ent_jm_carepackage_spawn	91.736397 30.218992 0.365886	0.002 0.000 -0.001
ent_jm_carepackage_spawn	97.341629 82.414856 0.359668	0.002 0.000 -0.001
ent_jm_carepackage_spawn	97.663589 131.348953 0.382485	-0.026 0.006 0.004
ent_jm_carepackage_spawn	44.552208 203.834656 0.434020	0.031 -0.000 0.030
ent_jm_carepackage_spawn	39.460358 161.476776 0.367897	0.002 0.000 -0.000
ent_jm_carepackage_spawn	36.506561 118.850883 0.344021	0.002 0.000 -0.001
ent_jm_carepackage_spawn	36.923111 58.164650 0.342638	-0.013 -0.016 0.021
ent_jm_carepackage_spawn	193.171692 179.651474 0.421323	0.014 -0.000 0.012
ent_jm_carepackage_spawn	19.155294 238.978775 136.432144	0.034 0.065 0.130
ent_jm_carepackage_spawn	63.471275 241.384506 136.368103	-0.018 0.000 -0.020
ent_jm_carepackage_spawn	116.340904 228.697479 136.360214	0.001 0.000 0.000
ent_jm_carepackage_spawn	156.226166 195.448288 136.370377	0.001 0.000 0.001
ent_jm_carepackage_spawn	206.582764 188.794342 136.407166	0.006 0.000 0.005
ent_jm_carepackage_spawn	216.128799 228.688995 136.391907	0.003 0.000 0.002
ent_jm_carepackage_spawn	211.954453 132.440338 136.473068	-0.037 0.233 -0.055
ent_jm_carepackage_spawn	218.056946 94.371712 136.480225	-0.101 -0.047 -0.156
ent_jm_carepackage_spawn	216.298904 54.949139 136.377991	0.002 0.000 0.001
ent_jm_carepackage_spawn	168.797348 131.130188 136.412674	0.008 0.000 0.008
ent_jm_carepackage_spawn	173.729004 74.069046 136.349243	0.001 0.000 -0.000
ent_jm_carepackage_spawn	166.714005 34.187752 136.355927	0.001 0.000 0.000
ent_jm_carepackage_spawn	133.773499 60.410225 136.411331	0.007 0.000 0.007
ent_jm_carepackage_spawn	83.895676 42.222378 136.417038	0.006 -0.021 0.139
ent_jm_carepackage_spawn	28.150217 39.505299 136.330933	-0.037 0.010 -0.013
ent_jm_carepackage_spawn	37.143078 105.533653 136.364761	-0.013 0.007 -0.007
ent_jm_carepackage_spawn	80.927872 100.584160 136.440292	-0.021 -0.034 0.093
ent_jm_carepackage_spawn	112.402473 173.272842 136.386887	0.002 0.000 0.002
ent_jm_carepackage_spawn	53.562752 144.671585 136.381622	0.002 0.000 0.001
ent_jm_carepackage_spawn	8.411525 184.578613 136.417175	-0.020 -0.002 -0.006
ent_jm_carepackage_spawn	14.700912 140.873535 136.405350	-0.008 -0.073 0.147
