# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_garden
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	306.061768 -1442.938965 -90.852554	2.228 -18.488 -84.257
weapon_jm_secondary_heavy	29.353027 -2023.872070 -86.446869	1.921 -20.599 -85.932
weapon_jm_secondary_heavy	-869.232422 -922.076965 -86.491959	2.138 -21.162 -85.060
weapon_jm_secondary_heavy	292.419159 686.668762 41.553185	1.965 -20.577 -85.855
weapon_jm_secondary_heavy	-263.250793 859.242432 24.970314	1.749 -19.198 -86.231
weapon_jm_grenade_tag	-479.353302 -1963.188843 -87.292816	-1.052 -1.485 -1.608
weapon_jm_grenade_tag	21.594307 -2019.823608 -87.245178	-0.579 -1.731 -0.881
weapon_jm_grenade_tag	-863.577087 -1541.424316 -91.543694	-1.996 -1.430 -1.091
weapon_jm_grenade_tag	298.811584 680.659790 40.750317	-0.624 -1.722 -0.950
weapon_jm_grenade_tag	-878.288452 324.266846 256.161621	-1.458 -1.457 -1.484
weapon_jm_grenade_tag	-174.196350 -737.634766 40.734669	-0.780 -1.675 -1.190
weapon_jm_grenade_tag	-413.410614 290.740692 36.449596	-2.252 -1.362 -1.231
weapon_jm_grenade_jump	-163.327820 -1462.008301 216.148376	-0.816 -1.671 -1.245
weapon_jm_grenade_jump	-865.410522 216.796448 292.449341	-2.252 -1.362 -1.231
weapon_jm_grenade_jump	-225.517868 -83.843994 -831.854309	-1.056 -1.227 -0.604
weapon_jm_primary_smg	368.075500 -1439.698730 -90.625267	0.301 6.174 -87.266
weapon_jm_primary_smg	-448.401245 -925.699768 -90.625229	0.300 6.174 -87.264
weapon_jm_primary_smg	-642.145203 865.846436 37.375313	0.290 6.175 -87.253
weapon_jm_primary_smg	-411.041260 -375.648834 37.374516	0.318 6.183 -87.287
weapon_jm_primary_smg	-415.575714 283.465637 165.374496	0.310 6.176 -87.277
weapon_jm_grenade_glue	337.462097 -1440.420654 -86.259850	-0.044 0.000 -0.025
weapon_jm_grenade_glue	-89.376068 -95.269066 -826.524048	-0.037 0.000 -0.021
weapon_jm_grenade_glue	-230.301956 -214.496841 45.713360	-0.051 0.000 -0.029
weapon_jm_grenade_glue	-353.130005 -961.554199 -99.585625	-1.595 -0.039 0.874
