# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_gas_station
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	1761.256592 -419.727264 37.155300	2.231 -18.489 -84.335
weapon_jm_secondary_heavy	1766.313354 -450.180878 37.136024	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	1765.761597 -482.634735 37.147690	2.228 -18.488 -84.257
weapon_jm_secondary_heavy	-1604.082642 -2012.890259 29.101967	2.210 -18.356 -83.788
weapon_jm_secondary_heavy	-1628.756226 -2019.040039 29.160992	2.233 -18.491 -84.393
weapon_jm_secondary_heavy	-1661.191284 -2020.760132 29.097355	2.208 -18.320 -83.741
weapon_jm_grenade_tag	-1495.141357 -243.242462 36.474178	-1.351 -1.490 -0.738
weapon_jm_grenade_tag	-1469.526245 -243.637238 36.457371	-1.966 -1.430 -1.075
weapon_jm_grenade_tag	-1493.499023 244.706131 36.477856	-1.218 -1.496 -0.664
weapon_jm_grenade_tag	-1467.812256 245.975998 36.464161	-1.718 -1.464 -0.939
weapon_jm_grenade_tag	902.024963 117.835579 28.445791	-2.395 -1.322 -1.306
weapon_jm_grenade_tag	1754.636841 -1296.352173 36.437485	-2.698 -1.246 -1.475
weapon_jm_grenade_tag	-1692.588257 61.917381 0.149581	-0.804 -1.679 -1.226
weapon_jm_grenade_jump	-1610.452271 -2030.296997 28.434059	-2.826 -1.186 -1.542
weapon_jm_grenade_jump	-1641.602051 -2030.870728 28.440676	-2.581 -1.238 -1.410
weapon_jm_grenade_jump	-1654.193359 2016.389526 92.446815	-2.356 -1.359 -1.288
weapon_jm_grenade_jump	1804.013672 1931.168335 172.452942	-2.120 -1.402 -1.159
weapon_jm_grenade_jump	-890.233276 -1075.529785 38.364162	23.701 -64.393 -89.611
weapon_jm_primary_smg	-1700.916748 -1089.513794 29.374823	0.307 6.174 -87.273
weapon_jm_primary_smg	-771.450989 2013.122559 93.374519	0.319 6.183 -87.289
weapon_jm_primary_smg	-1823.604004 1737.126831 93.375114	0.298 6.174 -87.263
weapon_jm_primary_smg	906.693054 94.941948 29.375254	0.207 6.490 -87.137
weapon_jm_primary_smg	2009.176880 276.359741 122.589218	0.308 6.177 -87.275
weapon_jm_primary_smg	1043.694214 1234.867432 8.689361	-1.170 37.166 77.792
weapon_jm_primary_smg	-644.200195 1671.338745 85.792236	-7.381 1.385 -2.285
weapon_jm_primary_smg	-1024.583618 -250.385330 25.676367	0.293 7.358 -87.741
weapon_jm_primary_smg	1393.633545 -1175.183716 41.358238	0.208 5.681 -87.152
weapon_jm_grenade_glue	1478.410034 -289.405853 177.764481	-0.000 -0.000 0.042
weapon_jm_grenade_glue	-408.923828 1442.373535 97.798019	-0.060 0.000 0.049
weapon_jm_grenade_glue	-1820.544067 1773.402100 97.730217	0.047 -0.000 -0.027
weapon_jm_grenade_glue	1292.583618 -1252.359985 41.793495	-0.036 0.000 0.003
weapon_jm_grenade_glue	-1063.771362 355.335846 169.721329	-0.050 0.000 -0.029
weapon_jm_primary_lmg	1437.603027 -290.118286 170.040695	18.498 0.225 1.814
weapon_jm_primary_rifle	-869.893921 -1001.539368 37.176105	0.127 11.253 -87.581
weapon_jm_primary_rifle	-1088.268921 -353.445099 165.132950	0.187 11.252 -87.107
weapon_jm_primary_rifle	-420.866425 1472.554810 93.163368	0.089 9.213 -87.828
weapon_jm_primary_rifle	-1668.971802 2019.758667 93.175690	-0.014 8.739 -87.757
weapon_jm_primary_rifle	916.018860 659.199768 29.186913	0.145 10.502 -87.913
weapon_jm_primary_rifle	1122.118286 -1923.044800 29.140366	0.177 11.252 -87.186
weapon_jm_primary_rifle	1473.760498 -1115.951050 37.174427	0.130 11.253 -87.562
weapon_jm_primary_rifle	-906.014160 -1074.588623 37.793106	0.588 12.069 -86.251
weapon_jm_secondary_light	-1460.435181 -231.517654 37.175755	-0.530 34.064 89.829
weapon_jm_secondary_light	-1486.798096 -233.078934 37.176865	-0.706 34.055 90.011
weapon_jm_secondary_light	-1508.969482 -231.306839 37.175705	-0.522 34.064 89.821
weapon_jm_secondary_light	-1507.766968 231.555588 37.177593	-0.821 34.050 90.130
weapon_jm_secondary_light	-1483.009766 233.786163 37.176128	-0.589 34.061 89.890
weapon_jm_secondary_light	-1459.067383 235.732529 37.176186	-0.598 34.060 89.899
weapon_jm_secondary_auto	-1164.846069 1443.961060 93.394638	-0.845 25.594 91.657
weapon_jm_secondary_auto	-1197.028809 1438.324707 93.391876	-0.680 25.626 91.315
weapon_jm_secondary_auto	-1227.432373 1441.430908 93.392006	-0.688 25.625 91.331
weapon_jm_secondary_auto	-985.080811 1886.533691 93.391029	-0.623 25.634 91.198
weapon_jm_secondary_auto	-984.791626 1852.276733 93.389359	-0.524 25.639 90.992
weapon_jm_secondary_auto	-984.892029 1826.841064 93.391373	-0.644 25.631 91.240
weapon_jm_primary_sniper	-906.715881 -2011.894043 27.491991	3.403 13.208 65.515
weapon_jm_primary_sniper	1761.212769 -1027.054932 171.474121	3.281 8.883 65.277
weapon_jm_primary_sniper	1807.053345 1922.595703 171.482361	3.305 14.757 65.360
weapon_jm_primary_sniper	-1695.539307 54.337906 -0.910143	3.698 12.651 64.974
weapon_jm_primary_shotgun	-1092.787720 349.129700 165.698486	-0.485 -9.620 -88.721
weapon_jm_primary_shotgun	1859.272705 189.322113 37.776020	-0.509 -9.605 -89.341
weapon_jm_primary_shotgun	1730.849731 -1302.860474 37.728653	-0.494 -9.615 -88.960
weapon_jm_primary_shotgun	1293.093140 -1244.832153 37.768505	-0.506 -9.607 -89.280
weapon_jm_primary_shotgun	801.122437 -1234.592896 17.458364	-0.498 -9.613 -89.048
weapon_jm_primary_shotgun	917.698730 1953.738403 3.383425	-0.489 -8.854 -88.823
weapon_jm_primary_shotgun	-1025.506226 245.848907 26.106880	-0.767 -9.759 -89.934
weapon_jm_primary_shotgun	1609.073486 -321.672852 41.511436	-0.514 -9.636 -89.475
weapon_jm_grenade_frag	-975.411438 1839.324951 94.520378	-37.936 -54.428 -93.497
weapon_jm_grenade_frag	-973.962402 1875.488403 94.490982	-37.488 -54.937 -92.752
weapon_jm_grenade_frag	-1174.606934 1428.432495 94.509590	-37.773 -54.616 -93.224
weapon_jm_grenade_frag	-1213.506836 1426.883179 94.475189	-37.248 -55.200 -92.361
weapon_jm_grenade_frag	906.735657 652.514832 29.660299	6.836 -31.816 -73.973
weapon_jm_grenade_health	1773.398682 -461.980865 36.637257	-0.103 0.000 -0.039
weapon_jm_grenade_health	1776.575928 -427.892792 36.733242	0.989 -0.013 -0.469
weapon_jm_grenade_health	-1822.904907 1439.124023 64.385262	-0.079 -0.000 0.030
weapon_jm_grenade_health	669.603699 -1229.111816 16.345486	-0.103 -0.000 0.039
weapon_jm_grenade_health	-1075.296997 -363.809814 164.686249	-0.070 -0.000 -0.029
weapon_jm_grenade_health	1395.223511 -1153.545410 40.618126	-0.100 0.000 -0.038
ent_jm_carepackage_spawn	-564.154358 -1617.040405 -7.601811	0.004 0.000 0.003
ent_jm_carepackage_spawn	-542.155334 -1950.805420 -7.591513	0.006 0.000 0.005
ent_jm_carepackage_spawn	-891.763184 -1859.806152 -7.667728	-0.017 0.017 -0.021
ent_jm_carepackage_spawn	-1091.927612 -1561.222290 -7.639899	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-1466.850952 -1965.883301 -7.618470	0.002 0.000 0.001
ent_jm_carepackage_spawn	-1626.666748 -1552.484009 -7.564652	0.035 -0.000 0.034
ent_jm_carepackage_spawn	-1469.797729 -1231.044189 121.896912	0.003 0.000 0.007
ent_jm_carepackage_spawn	-1936.029907 -1301.158936 -7.609832	0.003 0.000 0.002
ent_jm_carepackage_spawn	-652.709229 -1230.564941 -7.603366	0.004 0.000 0.003
ent_jm_carepackage_spawn	-1199.183960 -948.032776 0.383309	0.002 0.000 0.001
ent_jm_carepackage_spawn	-1585.762573 -605.127502 -7.568027	0.014 -0.025 0.009
ent_jm_carepackage_spawn	-810.039490 -624.341614 -7.646826	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-738.396912 601.676575 -7.640324	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1628.334473 601.049316 -7.594640	0.006 0.000 0.004
ent_jm_carepackage_spawn	-1738.803833 57.403278 0.346550	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1457.823730 153.417145 0.383094	0.003 0.000 0.001
ent_jm_carepackage_spawn	-1458.841064 -147.563675 0.337328	-0.010 -0.008 0.011
ent_jm_carepackage_spawn	-1034.341919 -140.843338 0.326847	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1055.914795 102.631142 0.428545	0.022 -0.000 0.021
ent_jm_carepackage_spawn	-1582.117676 -18.763538 64.332001	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1597.591553 -319.306824 104.353340	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1609.476440 333.560486 104.442772	0.063 -0.000 0.062
ent_jm_carepackage_spawn	-1206.039551 337.132172 128.366058	0.002 0.000 -0.000
ent_jm_carepackage_spawn	-1199.732056 -308.899902 128.404022	0.005 0.000 0.004
ent_jm_carepackage_spawn	-1039.907471 -207.861099 128.346542	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1041.805298 181.483459 128.355545	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-843.320129 -438.814819 139.829651	7.085 0.517 6.671
ent_jm_carepackage_spawn	-843.437561 449.399292 139.108887	7.051 -0.367 -4.638
