# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_grave_town
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	341.035339 3823.924561 -82.875252	2.219 -18.440 -84.024
weapon_jm_secondary_heavy	-345.087555 3865.582031 -82.795181	2.509 -22.118 -84.811
weapon_jm_secondary_heavy	176.941437 -1497.014771 37.139500	2.225 -18.487 -84.172
weapon_jm_secondary_heavy	-178.683823 -1502.763794 37.141201	2.226 -18.489 -84.190
weapon_jm_secondary_heavy	854.861328 369.338776 181.139252	2.225 -18.487 -84.173
weapon_jm_secondary_heavy	860.414978 341.211456 181.259720	2.485 -13.874 -85.590
weapon_jm_secondary_heavy	861.148987 326.129700 181.257523	2.177 -18.881 -85.969
weapon_jm_secondary_heavy	-817.423279 2828.402832 502.225739	-5.566 29.442 99.192
weapon_jm_secondary_heavy	777.889221 2859.288574 501.356323	-13.254 -24.640 -77.236
weapon_jm_grenade_tag	351.845123 3812.061768 -83.542885	-1.966 -1.430 -1.075
weapon_jm_grenade_tag	-349.020782 3883.869629 -83.551582	-2.286 -1.367 -1.250
weapon_jm_grenade_tag	21.703413 2236.649902 28.476858	-1.253 -1.495 -0.685
weapon_jm_grenade_tag	-33.405285 926.000916 28.470703	-1.478 -1.483 -0.808
weapon_jm_grenade_tag	-8.977810 87.372932 28.454905	-2.128 -1.058 -1.116
weapon_jm_grenade_tag	605.130249 2849.885498 316.456299	-1.996 -1.430 -1.091
weapon_jm_grenade_tag	799.939209 2694.709473 44.436371	-2.739 -1.229 -1.498
weapon_jm_grenade_tag	956.828979 3025.392578 180.434967	-2.780 -1.170 -1.520
weapon_jm_grenade_tag	-642.758667 2847.653564 44.463451	-1.744 -1.459 -0.953
weapon_jm_grenade_tag	-974.809875 3006.235107 180.434967	-2.780 -1.170 -1.520
weapon_jm_grenade_tag	-797.905884 2653.250488 316.452057	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	416.293213 433.508728 180.470459	-1.478 -1.483 -0.808
weapon_jm_grenade_jump	991.242859 -993.623840 228.472229	-1.413 -1.484 -0.772
weapon_jm_grenade_jump	-999.092773 -993.953552 228.449341	-2.254 -1.362 -1.230
weapon_jm_grenade_jump	762.482178 2874.650879 504.179321	-1.081 -1.532 -1.098
weapon_jm_grenade_jump	-824.809387 2811.454102 504.129883	-2.160 -1.106 -2.282
weapon_jm_primary_smg	-48.029320 934.333252 29.393587	0.070 6.498 -87.669
weapon_jm_primary_smg	-939.726196 936.630737 45.374313	0.326 6.192 -87.297
weapon_jm_primary_smg	715.036804 2074.209717 181.374359	0.315 6.180 -87.283
weapon_jm_primary_smg	803.194458 2727.672852 45.375607	0.280 6.176 -87.240
weapon_jm_primary_smg	-675.987671 2851.224121 45.374741	0.310 6.176 -87.277
weapon_jm_primary_smg	-482.570007 169.844330 181.375000	0.292 6.175 -87.255
weapon_jm_grenade_glue	682.340454 2066.523438 185.709702	-0.054 0.000 -0.031
weapon_jm_grenade_glue	726.468506 1648.404175 185.787277	-0.035 0.000 -0.003
weapon_jm_grenade_glue	791.860474 2141.473145 49.811462	-0.291 0.000 0.459
weapon_jm_grenade_glue	873.076843 337.059723 185.786026	-0.035 0.000 -0.003
weapon_jm_primary_lmg	1.695779 -3093.819580 -234.191544	18.634 -0.130 2.992
weapon_jm_primary_rifle	4.613064 91.919525 29.179367	0.123 11.254 -87.617
weapon_jm_primary_rifle	-969.259827 1373.088989 45.149521	0.164 11.253 -87.287
weapon_jm_primary_rifle	795.811951 2178.982422 45.191757	0.105 11.254 -87.754
weapon_jm_primary_rifle	-797.098755 2616.087402 317.134430	0.185 11.252 -87.123
weapon_jm_primary_rifle	560.827576 2849.652588 317.146729	0.168 11.252 -87.259
weapon_jm_primary_rifle	-855.150513 537.073914 45.189297	0.109 11.254 -87.726
weapon_jm_secondary_light	349.342041 3889.246826 -82.825516	-0.368 34.069 89.663
weapon_jm_secondary_light	352.610291 3874.423828 -82.822815	-0.797 34.051 90.105
weapon_jm_secondary_light	356.945923 3857.798096 -82.824966	-0.455 34.067 89.752
weapon_jm_secondary_light	342.727356 3863.260986 -82.823708	-0.654 34.057 89.958
weapon_jm_secondary_light	338.671509 3873.009033 -82.824005	-0.607 34.060 89.909
weapon_jm_secondary_light	-350.914856 3811.626953 -82.824921	-0.462 34.066 89.760
weapon_jm_secondary_light	-356.563812 3821.235840 -82.824547	-0.522 34.064 89.821
weapon_jm_secondary_light	-364.290344 3833.610840 -82.825714	-0.336 34.070 89.630
weapon_jm_secondary_light	-341.217865 3824.163086 -82.823769	-0.645 34.057 89.948
weapon_jm_secondary_light	-347.692841 3834.295166 -82.822968	-0.773 34.052 90.081
weapon_jm_secondary_auto	355.750061 3833.919434 -82.606827	-0.770 25.609 91.501
weapon_jm_secondary_auto	-358.552460 3856.660400 -82.605202	-0.866 25.578 91.699
weapon_jm_secondary_auto	992.421387 -976.681396 229.386856	-0.393 25.641 90.722
weapon_jm_secondary_auto	-981.734497 -992.741638 229.386978	-0.271 24.944 90.694
