# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_houseparty
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	103.296509 -451.262238 293.134003	2.223 -18.473 -84.119
weapon_jm_secondary_heavy	-366.053833 544.635437 293.092346	2.206 -18.322 -83.692
weapon_jm_secondary_heavy	404.448486 540.078430 293.137543	2.224 -18.472 -84.155
weapon_jm_secondary_heavy	234.512650 497.853638 133.112869	2.215 -18.398 -83.900
weapon_jm_secondary_heavy	104.679703 -446.458740 37.134262	2.223 -18.473 -84.119
weapon_jm_secondary_heavy	293.906677 500.877686 37.136032	2.224 -18.471 -84.137
weapon_jm_grenade_push	4.047339 562.754761 256.145630	-1.799 -1.352 -1.833
weapon_jm_grenade_push	-114.584175 670.212036 -136.479721	-0.897 -1.805 -0.979
item_jm_ammo_light	-102.507362 -488.180176 292.633026	0.444 0.055 0.043
item_jm_ammo_light	-477.087738 -451.864777 292.644897	0.447 0.054 0.039
item_jm_ammo_light	480.562469 -452.003754 292.634796	0.444 0.055 0.043
item_jm_ammo_light	-231.847336 531.505737 132.620026	0.440 0.060 0.048
item_jm_ammo_light	-104.349655 -486.104431 36.660061	0.452 0.052 0.034
item_jm_ammo_light	480.870026 -463.462891 36.620079	0.440 0.060 0.048
item_jm_ammo_light	-299.118286 536.171265 36.623981	0.441 0.057 0.047
item_jm_ammo_light	-481.884094 -458.029175 36.680779	0.458 0.050 0.026
item_jm_ammo_light	190.077011 561.529175 256.338593	0.451 0.065 0.052
item_jm_ammo_light	180.474686 558.525513 256.363708	0.456 0.058 0.042
item_jm_ammo_light	-189.171875 560.373047 256.344452	0.453 0.062 0.050
item_jm_ammo_light	-182.217987 560.967224 256.314789	0.447 0.073 0.062
item_jm_ammo_light	136.173721 627.777405 -151.322571	0.434 0.065 0.032
item_jm_ammo_heavy	104.569176 -486.857330 292.700897	0.798 -0.004 0.607
item_jm_ammo_heavy	-397.730804 545.967346 292.714844	-0.655 -0.004 0.543
item_jm_ammo_heavy	366.227814 544.689880 292.631165	0.808 0.003 -0.651
