# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_ice_camp
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	-30.651440 993.094666 45.126888	2.220 -18.437 -84.044
weapon_jm_secondary_heavy	-3.415040 992.559082 45.139473	2.225 -18.487 -84.173
weapon_jm_secondary_heavy	22.622833 991.697083 45.134243	2.223 -18.473 -84.119
weapon_jm_grenade_tag	1297.727051 1240.072632 60.454945	-2.057 -1.402 -1.125
weapon_jm_grenade_tag	1193.464111 1293.569336 60.443848	-2.464 -1.325 -1.348
weapon_jm_grenade_jump	1230.445190 -1168.146118 364.477600	-1.216 -1.496 -0.665
weapon_jm_grenade_jump	1232.565796 -1234.842285 364.444550	-2.428 -1.323 -1.327
weapon_jm_grenade_glue	-1294.583374 -1274.207397 41.725990	-0.048 0.000 -0.028
weapon_jm_grenade_glue	-1290.458496 -1211.221924 41.725990	-0.048 0.000 -0.028
weapon_jm_primary_lmg	4.885630 -199.991867 261.808441	18.634 -0.369 2.992
weapon_jm_primary_rifle	-1055.842896 1263.628052 37.141716	0.175 11.252 -87.201
weapon_jm_primary_rifle	-1058.635864 1220.869263 37.144390	0.171 11.252 -87.231
weapon_jm_primary_rifle	-1295.204956 -1258.181885 37.149502	0.164 11.253 -87.287
weapon_jm_primary_rifle	-1294.908813 -1228.634399 37.154308	0.157 11.252 -87.340
weapon_jm_secondary_light	308.089935 -222.905792 45.176796	-0.695 34.055 90.000
weapon_jm_secondary_light	262.313202 -223.456894 45.176300	-0.616 34.060 89.918
weapon_jm_secondary_light	-260.758820 -223.345215 45.176731	-0.685 34.056 89.990
weapon_jm_secondary_light	-317.861389 -223.904953 45.176075	-0.580 34.062 89.881
weapon_jm_secondary_light	-1190.781006 109.662300 35.101410	-1.068 33.809 90.386
weapon_jm_secondary_light	-1190.823608 -109.894279 35.100929	-0.991 33.841 90.306
weapon_jm_secondary_light	1189.301880 -110.575325 35.098564	-0.611 33.921 89.913
weapon_jm_secondary_light	1188.395142 110.629898 35.100571	-0.932 33.864 90.246
weapon_jm_secondary_auto	24.668417 -986.427307 45.392422	-0.711 25.624 91.379
weapon_jm_secondary_auto	-3.369712 -991.506775 45.393112	-0.752 25.617 91.465
weapon_jm_secondary_auto	-30.456667 -992.614075 45.390221	-0.579 25.636 91.106
weapon_jm_primary_sniper	1233.094971 -1183.210327 363.446960	3.291 9.433 65.077
weapon_jm_primary_sniper	1229.464600 -1211.380615 363.421967	3.564 13.229 65.112
weapon_jm_primary_shotgun	1294.721313 1220.176270 61.741402	-0.498 -9.613 -89.062
weapon_jm_primary_shotgun	1221.764160 1287.617310 61.716633	-0.490 -9.618 -88.864
weapon_jm_grenade_frag	-1.179675 -175.365570 266.198822	-37.322 -55.121 -92.481
weapon_jm_grenade_frag	-1058.410522 1252.400879 38.366383	-35.585 -56.869 -89.764
weapon_jm_grenade_frag	-1055.852173 1246.962036 38.398418	-38.296 -59.078 -91.125
weapon_jm_grenade_health	-1.227114 965.012451 176.359650	-0.094 0.000 -0.036
weapon_jm_grenade_health	1.047520 -951.533447 176.390656	-0.075 0.000 -0.028
weapon_jm_grenade_health	2.039271 -221.686691 176.379089	-0.082 0.000 -0.031
ent_jm_carepackage_spawn	125.376297 -829.038208 8.362309	0.001 0.000 0.000
ent_jm_carepackage_spawn	-114.124977 -828.562866 8.396713	0.003 0.000 0.003
ent_jm_carepackage_spawn	-125.053185 840.133484 8.402810	0.005 0.000 0.004
ent_jm_carepackage_spawn	124.151390 838.225891 8.404280	0.005 0.000 0.004
ent_jm_carepackage_spawn	1.987434 891.029480 328.359558	-0.017 0.017 -0.030
ent_jm_carepackage_spawn	152.535629 -13.422990 264.362305	0.001 0.000 0.000
ent_jm_carepackage_spawn	-146.413620 -5.579288 264.364380	0.001 0.000 0.000
ent_jm_carepackage_spawn	-727.438904 -8.196095 264.357086	0.021 0.007 0.017
