# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_industrial
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-478.233154 176.191025 237.153580	2.230 -18.491 -84.320
weapon_jm_secondary_heavy	1493.344849 -219.612946 -234.843491	2.232 -18.490 -84.350
weapon_jm_secondary_heavy	1835.370605 -221.947250 -151.168335	2.215 -18.398 -83.900
weapon_jm_secondary_heavy	-480.788574 -94.862198 -1018.853516	2.228 -18.488 -84.257
weapon_jm_secondary_heavy	2.066610 655.870117 -506.833252	2.218 -18.421 -84.444
weapon_jm_secondary_heavy	-347.937866 -150.204590 -346.825287	2.238 -18.492 -84.536
weapon_jm_secondary_heavy	-1031.400146 -148.214294 -346.889465	2.214 -18.387 -83.878
weapon_jm_grenade_push	-489.761353 -146.156540 238.360092	-35.493 -56.959 -89.625
weapon_jm_grenade_push	-485.569702 153.403198 238.414780	-36.328 -56.162 -90.900
weapon_jm_grenade_push	-485.705505 129.954025 -1017.556885	-36.776 -55.707 -91.603
weapon_jm_grenade_push	-23.356256 664.941040 -505.646118	-35.398 -57.048 -89.483
weapon_jm_grenade_push	-59.803486 -850.475708 -505.303223	14.337 -79.774 -95.525
weapon_jm_grenade_push	-624.114563 -72.001305 -345.608948	-35.966 -56.521 -90.341
weapon_jm_grenade_push	-972.399414 163.002457 -345.376190	-37.379 -61.887 -96.033
weapon_jm_grenade_push	-975.526550 157.070419 -346.107635	10.729 -29.616 -79.304
weapon_jm_grenade_push	688.026978 -25.464382 -173.990631	13.245 -23.346 -88.415
weapon_jm_grenade_push	139.753662 245.001007 -35.854156	62.412 30.865 10.644
item_jm_ammo_light	-299.264648 -55.895760 100.598679	0.434 0.068 0.056
item_jm_ammo_light	-303.285461 50.294273 100.648361	0.448 0.054 0.038
item_jm_ammo_light	-475.903748 -218.024490 236.654114	0.450 0.052 0.036
item_jm_ammo_light	310.456635 -475.291718 100.655869	0.450 0.052 0.035
item_jm_ammo_light	382.770691 472.425110 100.714073	0.467 0.049 0.014
item_jm_ammo_light	1386.444580 207.724091 -235.341568	0.451 0.052 0.034
item_jm_ammo_light	1528.650879 -216.395096 -371.372467	0.442 0.057 0.045
item_jm_ammo_light	1815.333374 -106.879807 -507.337463	0.452 0.052 0.033
item_jm_ammo_light	921.871887 -58.233482 -507.319458	0.458 0.050 0.026
item_jm_ammo_light	-476.178070 152.165009 -1019.369751	0.444 0.057 0.044
item_jm_ammo_light	-64.898010 -849.225891 -507.401611	0.434 0.068 0.056
item_jm_ammo_light	-485.298859 355.959595 -507.366974	0.444 0.055 0.043
item_jm_ammo_light	-419.901306 -362.777740 -507.356720	0.447 0.054 0.040
item_jm_ammo_light	-616.638977 110.458267 -347.416138	0.430 0.076 0.061
item_jm_ammo_light	-411.765686 143.100510 -347.360046	0.446 0.055 0.041
item_jm_ammo_light	-1042.539063 171.936707 -347.363464	0.445 0.055 0.042
item_jm_ammo_light	-1028.559204 171.997375 -347.394836	0.436 0.064 0.054
item_jm_ammo_light	-1029.675171 158.023148 -347.340179	0.452 0.052 0.034
item_jm_ammo_light	-1044.032471 158.480850 -347.285095	0.467 0.049 0.013
item_jm_ammo_light	-1044.535645 143.866196 -347.368774	0.443 0.057 0.044
item_jm_ammo_light	-1030.096069 147.210220 -347.368774	0.443 0.057 0.044
item_jm_ammo_light	692.503296 20.936945 -175.614685	0.461 0.055 0.034
item_jm_ammo_light	692.641418 35.983604 -175.619186	1.169 0.186 -0.030
item_jm_ammo_light	407.788361 211.474030 -139.392639	0.437 0.064 0.053
item_jm_ammo_light	239.949188 212.712494 -139.342987	0.451 0.052 0.035
item_jm_ammo_heavy	-300.759949 -107.490395 100.609978	0.270 0.004 -0.212
item_jm_ammo_heavy	-490.132874 166.381836 236.721359	0.614 -0.003 0.463
item_jm_ammo_heavy	349.584320 -479.727203 100.622139	0.511 0.004 -0.408
item_jm_ammo_heavy	1480.827515 -219.480087 -235.292374	0.849 0.008 0.708
item_jm_ammo_heavy	1821.308105 -227.907074 -151.607346	-0.963 -0.003 0.856
item_jm_ammo_heavy	1569.474365 -232.850128 -371.302338	0.928 0.009 0.781
item_jm_ammo_heavy	1820.386230 -54.962307 -507.343445	0.231 -0.004 -0.117
item_jm_ammo_heavy	-490.949554 -104.715996 -1019.328735	-0.929 -0.006 0.815
item_jm_ammo_heavy	-483.821869 109.570557 -1019.382080	-0.434 0.001 -0.363
item_jm_ammo_heavy	-41.013336 -851.069885 -507.301117	0.913 0.009 0.770
item_jm_ammo_heavy	-8.258582 659.310547 -507.387543	-0.268 -0.004 -0.208
item_jm_ammo_heavy	-444.175629 -361.465149 -507.315826	1.091 -0.012 0.909
item_jm_ammo_heavy	-360.793488 -146.093246 -347.309845	0.989 0.016 0.841
item_jm_ammo_heavy	-624.045654 65.560440 -347.333252	1.256 0.006 1.082
item_jm_ammo_heavy	-1111.470581 175.179932 -347.342072	0.337 0.003 -0.197
item_jm_ammo_heavy	-1110.790894 162.677063 -347.312469	-0.961 -0.014 0.799
item_jm_ammo_heavy	-1112.273315 147.547150 -347.339447	0.018 0.003 0.062
item_jm_ammo_heavy	-1094.457031 175.140015 -347.318390	-1.033 0.052 0.854
item_jm_ammo_heavy	-1093.849121 163.348724 -347.301270	-0.807 -0.013 0.636
item_jm_ammo_heavy	-1093.027344 147.802536 -347.342346	0.353 0.003 -0.212
item_jm_ammo_heavy	690.319092 -4.856623 -175.598938	-0.869 -0.011 0.775
item_jm_ammo_heavy	691.745239 7.001235 -175.557510	-0.552 -0.007 0.490
item_jm_ammo_heavy	287.183746 217.550812 -139.309174	-0.780 0.002 0.685
item_jm_ammo_heavy	396.648865 221.344162 -139.337341	-0.981 -0.001 0.864
weapon_jm_primary_smg	-488.351074 185.881104 237.375275	0.282 6.176 -87.243
weapon_jm_primary_smg	316.934692 468.805511 101.376419	0.252 6.166 -87.206
weapon_jm_primary_smg	1385.812378 148.951660 -234.625916	0.325 6.192 -87.295
weapon_jm_primary_smg	-426.750092 346.203949 -506.622833	0.246 6.278 -87.233
weapon_jm_primary_smg	-407.863312 -153.286331 -346.625000	0.292 6.175 -87.255
weapon_jm_primary_smg	-1066.819092 -169.452652 -346.624817	0.286 6.175 -87.247
weapon_jm_grenade_smoke	-297.126068 -35.899590 100.485771	-0.929 -1.507 -0.508
weapon_jm_grenade_smoke	-301.267609 30.003664 100.451469	-2.185 -1.389 -1.195
weapon_jm_grenade_smoke	970.393616 -63.044731 -507.535370	-1.692 -1.464 -0.925
weapon_jm_grenade_smoke	-450.456390 358.080444 -506.187378	21.977 -62.259 -88.611
weapon_jm_grenade_smoke	-431.965942 -359.975128 -507.558502	-2.540 -1.297 -1.389
weapon_jm_grenade_smoke	-619.798218 -104.723969 -347.569733	-2.953 -1.168 -1.615
weapon_jm_grenade_smoke	-618.859558 91.437149 -347.551575	-2.286 -1.367 -1.250
weapon_jm_grenade_smoke	-934.215393 158.557816 -347.565033	-2.781 -1.170 -1.520
weapon_jm_grenade_smoke	-941.041138 157.683670 -347.565033	-2.780 -1.170 -1.520
weapon_jm_grenade_smoke	690.777039 -15.117140 -175.806488	-1.679 -1.018 -0.527
weapon_jm_grenade_smoke	332.768372 212.278687 -139.542068	-1.937 -1.428 -1.059
weapon_jm_primary_lmg	1831.585205 -231.980621 -149.245102	-0.923 27.985 88.663
weapon_jm_primary_lmg	959.401367 -72.366371 -509.910553	18.634 -0.361 2.992
weapon_jm_primary_lmg	-486.892365 -146.378021 -1021.911499	18.634 -0.592 2.992
weapon_jm_primary_lmg	-615.302124 -84.775986 -349.982422	18.450 -0.426 3.621
weapon_jm_primary_lmg	-1174.536865 -149.085648 -349.938812	18.557 0.390 2.312
weapon_jm_primary_rifle	-296.592590 80.161057 101.370605	-0.322 7.443 -89.959
weapon_jm_primary_rifle	-481.884003 -176.113174 237.163864	0.144 11.253 -87.448
weapon_jm_primary_rifle	1549.448120 -220.413910 -234.883087	0.209 11.252 -86.930
weapon_jm_primary_rifle	-65.969940 652.315247 -506.802917	0.098 11.255 -87.815
weapon_jm_primary_rifle	-358.181274 146.359833 -346.855865	0.171 11.252 -87.231
weapon_jm_primary_rifle	-1104.068359 -158.313599 -346.818573	0.119 11.254 -87.642
weapon_jm_secondary_light	-304.507965 70.030914 101.177269	-0.761 34.052 90.069
weapon_jm_secondary_light	324.984619 -473.962677 101.177124	-0.738 34.054 90.045
weapon_jm_secondary_light	1811.499512 -118.297783 -506.823944	-0.616 34.059 89.918
weapon_jm_secondary_light	935.719604 -56.665688 -506.824860	-0.469 34.066 89.767
weapon_jm_secondary_light	-408.275848 -364.366394 -506.823303	-0.716 34.054 90.022
weapon_jm_secondary_light	-429.471863 148.629150 -346.823303	-0.716 34.054 90.022
weapon_jm_secondary_light	-1003.368713 -142.495270 -346.823578	-0.674 34.057 89.979
weapon_jm_secondary_light	221.846893 209.966980 -138.823105	-0.750 34.052 90.057
weapon_jm_secondary_auto	-301.836426 -69.323700 101.393188	-0.752 25.617 91.465
weapon_jm_secondary_auto	-475.111023 -193.108170 237.390305	-0.598 25.636 91.144
weapon_jm_secondary_auto	366.850830 474.468811 101.395706	-0.897 25.576 91.765
weapon_jm_secondary_auto	1391.051270 222.690491 -234.605728	-0.835 25.595 91.636
weapon_jm_secondary_auto	1540.484253 -214.794693 -370.606354	-0.797 25.608 91.557
weapon_jm_secondary_auto	-478.671570 141.258408 -1018.613647	-0.420 25.641 90.777
weapon_jm_secondary_auto	-81.279930 -845.300659 -506.605713	-0.835 25.595 91.636
weapon_jm_secondary_auto	-468.529816 357.949432 -506.607666	-0.719 25.619 91.396
weapon_jm_secondary_auto	-627.293152 126.394661 -346.608429	-0.673 25.629 91.299
weapon_jm_secondary_auto	-1015.843567 -143.980042 -346.605896	-0.826 25.595 91.616
weapon_jm_secondary_auto	416.760345 214.814865 -138.605011	-0.876 25.578 91.721
