# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_kook_town
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	407.542603 1684.606812 40.844803	3.282 -16.511 -83.586
weapon_jm_secondary_heavy	725.119507 1604.183228 0.970239	1.692 -19.228 -86.332
weapon_jm_secondary_heavy	323.303436 818.329407 40.872585	2.230 -18.491 -84.320
weapon_jm_secondary_heavy	-640.773621 829.813660 0.970579	1.965 -20.577 -85.855
weapon_jm_secondary_heavy	91.330208 -403.304413 0.970533	1.927 -20.598 -85.923
weapon_jm_secondary_heavy	342.670319 1635.274658 0.970610	1.991 -20.314 -85.812
weapon_jm_secondary_heavy	536.082703 -20.761372 40.859192	3.166 -16.553 -83.785
item_jm_ammo_light	-78.869110 2457.200195 0.350505	0.466 0.064 0.043
item_jm_ammo_light	1062.836670 2385.556641 0.376229	0.468 0.058 0.034
item_jm_ammo_light	803.859619 1354.088501 120.410004	1.131 -0.320 -0.069
item_jm_ammo_light	145.560318 310.295624 120.339134	0.464 0.067 0.048
item_jm_ammo_light	-71.077927 2027.588623 0.330965	0.464 0.070 0.051
item_jm_ammo_light	1054.015381 1774.449585 0.423428	0.481 -3.426 -0.000
item_jm_ammo_light	857.533203 2060.779297 0.346372	0.454 0.064 0.049
item_jm_ammo_light	875.389709 1745.844604 0.309962	0.445 0.071 0.065
item_jm_ammo_light	662.489319 1896.917603 40.365273	0.457 0.057 0.042
item_jm_ammo_light	420.678345 1387.446167 0.333055	0.464 0.066 0.050
item_jm_ammo_light	417.296967 1562.558838 0.355813	0.466 0.062 0.042
item_jm_ammo_light	740.956238 1650.468262 120.367302	0.467 0.060 0.037
item_jm_ammo_light	1422.043091 801.039124 0.387850	0.461 0.056 0.033
item_jm_ammo_light	-576.390015 1243.358398 0.353639	0.455 0.062 0.046
item_jm_ammo_light	-603.782166 415.513214 0.380065	0.460 0.058 0.035
item_jm_ammo_light	1041.908936 -740.531372 0.374797	0.468 0.059 0.035
item_jm_ammo_light	-88.574997 -603.390503 0.348681	0.465 0.064 0.044
item_jm_ammo_light	1060.220703 -313.014557 0.350505	0.466 0.064 0.043
