# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lab
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	973.690918 70.529251 104.891335	2.238 -18.492 -84.512
weapon_jm_secondary_heavy	972.946289 52.855015 104.853004	2.223 -18.473 -84.119
weapon_jm_secondary_heavy	47.390675 67.599030 104.853111	1.961 -20.840 -84.301
weapon_jm_secondary_heavy	45.736893 85.969353 104.832840	2.153 -21.521 -83.990
weapon_jm_secondary_heavy	495.423126 -500.275726 0.834879	3.361 -16.486 -83.449
weapon_jm_secondary_heavy	-993.837952 1755.832764 128.826385	3.429 -16.459 -83.332
weapon_jm_secondary_heavy	-1002.233215 288.323608 0.855763	3.194 -16.536 -83.738
weapon_jm_secondary_heavy	-531.511475 727.859009 0.895544	2.875 -16.633 -84.287
weapon_jm_secondary_heavy	363.549896 2040.607178 296.869537	2.229 -18.490 -84.289
weapon_jm_grenade_push	616.494141 846.164551 258.583313	38.698 -94.693 -96.181
weapon_jm_grenade_push	412.818298 844.004517 258.117493	13.036 -32.020 -90.202
weapon_jm_grenade_push	496.767914 113.950020 170.257050	9.192 -38.260 -93.402
weapon_jm_grenade_push	-765.861267 -513.136047 1.966581	-37.653 -60.927 -87.961
weapon_jm_grenade_push	676.104675 754.453186 -877.887329	-36.006 -56.487 -90.402
weapon_jm_grenade_push	377.900208 793.506226 -837.885010	-36.042 -56.441 -90.458
weapon_jm_grenade_push	385.938019 793.385254 -837.915649	13.392 -25.477 -89.584
weapon_jm_grenade_push	379.584656 991.890930 -837.903442	-35.760 -56.711 -90.028
weapon_jm_grenade_push	387.896515 992.906982 -837.866272	-36.328 -56.160 -90.899
item_jm_ammo_light	990.799377 181.998947 104.349991	0.454 0.061 0.048
item_jm_ammo_light	990.465881 166.604462 104.307549	0.445 0.079 0.065
item_jm_ammo_light	990.836182 150.346008 104.338577	0.451 0.064 0.053
item_jm_ammo_light	989.900696 130.907166 104.321655	0.448 0.067 0.060
item_jm_ammo_light	991.388550 113.288124 104.314896	0.403 -0.034 0.033
item_jm_ammo_light	990.900574 93.503365 104.416916	0.356 -1.903 0.016
item_jm_ammo_light	34.216400 190.405914 104.390289	0.462 0.054 0.032
item_jm_ammo_light	34.677513 172.737656 104.336571	0.451 0.064 0.054
item_jm_ammo_light	36.076157 154.740585 104.427872	0.469 0.053 0.017
item_jm_ammo_light	37.925415 135.768280 104.417885	0.467 0.053 0.021
item_jm_ammo_light	37.720642 119.908546 104.372925	0.458 0.056 0.039
item_jm_ammo_light	38.558041 102.328743 104.332466	0.450 0.064 0.055
item_jm_ammo_light	686.522278 848.595154 256.342468	0.452 0.061 0.051
item_jm_ammo_light	680.512207 -775.135010 40.412045	0.466 0.053 0.023
item_jm_ammo_light	662.028198 -775.319763 40.369946	0.458 0.056 0.040
item_jm_ammo_light	681.552612 -797.339478 40.338581	0.451 0.064 0.053
item_jm_ammo_light	662.865723 -797.039185 40.340557	0.452 0.064 0.052
item_jm_ammo_light	679.651123 -819.226196 40.413776	0.466 0.053 0.023
item_jm_ammo_light	663.153870 -818.458618 40.348167	0.453 0.061 0.049
item_jm_ammo_heavy	990.575623 72.959892 104.420677	-0.713 -0.005 0.637
item_jm_ammo_heavy	989.492981 52.321182 104.459763	-0.515 -0.433 0.325
item_jm_ammo_heavy	38.201214 87.113144 104.441879	-0.543 -0.006 0.486
item_jm_ammo_heavy	40.067383 68.993210 104.371696	0.766 -0.119 -0.532
item_jm_ammo_heavy	470.362030 109.112061 168.424683	-0.693 -0.007 0.615
item_jm_ammo_heavy	432.621765 850.481445 256.382477	-0.435 0.000 0.439
item_jm_ammo_heavy	633.243042 847.856628 256.380432	-0.068 0.002 0.143
item_jm_ammo_heavy	690.144958 960.571838 0.407851	-1.030 -0.006 0.815
item_jm_ammo_heavy	337.365295 967.034058 0.375904	0.663 -0.000 -0.448
item_jm_ammo_heavy	855.065674 -338.935181 0.415841	0.083 0.122 -0.037
item_jm_ammo_heavy	512.583252 -496.528320 0.484890	-0.202 2.247 0.135
item_jm_ammo_heavy	-1013.265320 1753.424194 128.457520	-0.434 -0.006 0.385
item_jm_ammo_heavy	400.649780 1748.211060 256.447601	-0.537 -0.005 0.427
item_jm_ammo_heavy	-1001.787903 270.751099 0.382205	-0.345 0.001 0.361
item_jm_ammo_heavy	-532.070923 747.908691 0.405704	-1.024 0.078 0.828
item_jm_ammo_heavy	337.309753 750.663330 -879.582275	-0.747 -0.006 0.663
item_jm_ammo_heavy	677.085022 49.534801 0.374305	0.751 -0.022 -0.518
item_jm_ammo_heavy	684.699463 -999.368225 40.418247	-0.780 -0.012 0.624
item_jm_ammo_heavy	662.336365 -999.534302 40.375710	0.666 -0.001 -0.452
item_jm_ammo_heavy	683.504395 -975.830139 40.432091	-0.633 -0.007 0.562
item_jm_ammo_heavy	663.588745 -974.306030 40.415272	-0.758 -0.006 0.677
item_jm_ammo_heavy	685.564575 -955.574219 40.388161	-0.990 0.017 0.882
item_jm_ammo_heavy	662.421387 -953.676270 40.487759	-0.195 -0.005 0.173
weapon_jm_primary_smg	286.171448 988.569763 1.096338	0.208 6.193 -87.152
weapon_jm_primary_smg	740.553345 928.901123 1.096338	0.208 6.182 -87.152
weapon_jm_primary_smg	2012.449219 -727.826599 1.096338	0.208 6.182 -87.152
weapon_jm_primary_smg	2014.856079 -699.486572 1.096338	0.208 6.194 -87.152
weapon_jm_primary_smg	153.841156 -359.077515 1.096338	0.208 6.194 -87.152
weapon_jm_primary_smg	-778.433044 501.898529 1.094457	0.285 6.445 -87.258
weapon_jm_primary_smg	-776.508606 515.037048 1.094462	0.275 6.390 -87.234
weapon_jm_primary_smg	346.729858 64.776169 1.096338	0.208 6.184 -87.152
weapon_jm_primary_smg	354.057037 1932.581543 297.093109	0.323 6.187 -87.293
weapon_jm_grenade_smoke	987.987976 36.879456 104.163551	-2.428 -1.323 -1.327
weapon_jm_grenade_smoke	988.410706 25.809515 104.213875	-0.585 -1.513 -0.320
weapon_jm_grenade_smoke	988.345215 16.701311 104.158279	-2.614 -1.235 -1.438
weapon_jm_grenade_smoke	41.252747 52.959026 104.181480	-1.770 -1.448 -0.968
weapon_jm_grenade_smoke	39.919922 37.918446 104.164536	-2.391 -1.323 -1.308
weapon_jm_grenade_smoke	42.014679 19.270281 104.164536	-2.391 -1.323 -1.308
weapon_jm_grenade_smoke	-541.073242 741.122681 0.151824	-2.535 -1.217 -1.822
weapon_jm_grenade_smoke	-1008.413574 283.811798 0.167571	-2.020 -1.367 -1.453
weapon_jm_grenade_smoke	418.269257 794.344055 -839.848389	-2.865 -1.205 -1.567
weapon_jm_grenade_smoke	408.402985 793.904907 -839.841614	-2.618 -1.234 -1.431
weapon_jm_grenade_smoke	414.004883 990.820984 -839.842712	-2.657 -1.239 -1.453
weapon_jm_grenade_smoke	427.162201 991.552429 -839.843811	-2.698 -1.246 -1.475
weapon_jm_primary_lmg	515.780396 -511.459961 -2.269082	18.436 -0.441 3.528
weapon_jm_primary_lmg	-1000.308105 1774.951538 125.808456	18.634 -0.456 2.992
