# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lava_lake
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	2272.268799 346.713409 53.139542	2.225 -18.487 -84.173
weapon_jm_secondary_heavy	2274.243408 331.701508 53.106499	2.212 -18.358 -83.834
weapon_jm_secondary_heavy	-2008.693726 120.290039 53.173832	2.238 -18.493 -84.524
weapon_jm_secondary_heavy	-2022.525513 130.277756 53.136078	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	-138.177368 -126.899391 16.970490	1.890 -19.155 -85.986
weapon_jm_grenade_tag	-969.306763 1955.602783 52.458221	-1.937 -1.428 -1.059
weapon_jm_grenade_tag	-955.824524 1955.405396 52.446812	-2.356 -1.358 -1.288
weapon_jm_grenade_tag	2021.957520 1918.640747 52.442833	-2.502 -1.323 -1.368
weapon_jm_grenade_tag	2031.290894 1907.384888 52.451466	-2.185 -1.389 -1.195
weapon_jm_grenade_jump	-1315.769897 -1088.846558 196.471649	-1.434 -1.484 -0.784
weapon_jm_grenade_jump	672.745728 -1710.886719 196.457932	-1.937 -1.428 -1.059
weapon_jm_grenade_jump	655.002563 -1719.356445 196.449356	-2.252 -1.362 -1.231
weapon_jm_grenade_jump	-1317.556030 -1077.796631 196.454651	-2.057 -1.402 -1.125
weapon_jm_primary_smg	-716.490784 91.145782 53.375034	0.301 6.174 -87.266
weapon_jm_primary_smg	1486.822754 533.699524 53.376011	0.266 6.174 -87.224
weapon_jm_primary_smg	938.060852 -1981.940186 53.375881	0.271 6.177 -87.229
weapon_jm_grenade_glue	2280.950684 361.848724 57.732399	-0.046 0.000 -0.026
weapon_jm_grenade_glue	2260.021729 361.000671 57.700047	-0.057 0.000 -0.033
weapon_jm_grenade_glue	2557.390625 -487.552948 57.930260	-0.046 0.000 -0.026
weapon_jm_grenade_glue	2559.051025 -466.691833 57.907703	-0.000 0.000 -0.064
weapon_jm_primary_lmg	-33.427158 7.218915 14.752354	12.410 0.417 2.712
weapon_jm_primary_rifle	-985.579834 1957.877197 53.139004	0.179 11.252 -87.171
weapon_jm_primary_rifle	949.248352 -51.204479 53.154255	0.157 11.253 -87.340
weapon_jm_primary_rifle	-263.877472 -1499.909180 53.143105	0.173 11.252 -87.216
weapon_jm_primary_rifle	-1339.301514 -1233.265747 53.150673	0.162 11.252 -87.301
weapon_jm_primary_rifle	2722.949707 -363.871155 53.172352	0.083 9.196 -87.866
weapon_jm_secondary_light	2272.048584 396.123901 53.177261	-0.761 34.052 90.069
weapon_jm_secondary_light	2272.952881 378.429199 53.174717	-0.357 34.069 89.651
weapon_jm_secondary_light	2587.364014 -477.801910 53.373363	-0.809 34.051 90.118
weapon_jm_secondary_light	2572.684326 -481.939941 53.372330	-0.645 34.057 89.948
weapon_jm_secondary_light	-2015.099609 74.756531 53.175755	-0.522 34.064 89.821
weapon_jm_secondary_light	-2014.162842 92.186012 53.176716	-0.674 34.057 89.979
weapon_jm_secondary_light	-1723.033936 416.127777 53.176529	-0.645 34.057 89.948
weapon_jm_secondary_light	-1704.743896 416.801941 53.161320	-0.158 34.311 89.339
weapon_jm_secondary_light	162.692169 96.763252 16.145752	36.452 0.495 0.346
weapon_jm_secondary_auto	2543.227295 -482.948883 53.588295	-0.711 25.624 91.379
weapon_jm_secondary_auto	2524.670410 -479.243408 53.585609	-0.550 25.638 91.047
weapon_jm_secondary_auto	-1679.022461 417.250763 53.393326	-0.761 25.609 91.483
weapon_jm_secondary_auto	-1664.231567 415.656708 53.386894	-0.378 25.641 90.690
weapon_jm_secondary_auto	-216.202789 185.143311 17.111340	-0.923 25.088 91.465
weapon_jm_primary_sniper	644.805603 -1701.912231 195.438889	3.525 13.214 65.210
weapon_jm_primary_sniper	-1318.780273 -1095.455688 195.465942	3.463 13.215 65.366
weapon_jm_primary_sniper	1982.584839 347.609467 171.416855	3.576 13.232 65.083
weapon_jm_primary_shotgun	-1028.784058 1178.830078 53.761642	-0.504 -9.608 -89.226
weapon_jm_primary_shotgun	1997.158447 1915.572021 53.763145	-0.505 -9.608 -89.237
weapon_jm_primary_shotgun	394.866974 -1754.550781 53.754387	-0.502 -9.610 -89.167
weapon_jm_primary_shotgun	-951.521912 -1083.246460 53.716633	-0.490 -9.618 -88.864
weapon_jm_primary_shotgun	-1783.662476 -486.452820 53.705730	-0.487 -9.620 -88.776
weapon_jm_primary_shotgun	2381.461426 664.760437 53.728672	-0.494 -9.615 -88.960
weapon_jm_grenade_frag	-1688.974365 421.819580 54.408363	-36.226 -56.268 -90.741
weapon_jm_grenade_frag	-1694.487427 409.785675 54.445946	-36.800 -55.691 -91.641
weapon_jm_grenade_frag	-2016.989014 108.528183 54.393517	-35.999 -56.486 -90.392
weapon_jm_grenade_frag	-2027.260010 109.143494 54.354164	-35.398 -57.047 -89.483
weapon_jm_grenade_health	150.891693 92.209564 16.359659	-0.094 0.000 -0.036
weapon_jm_grenade_health	-133.617310 -114.911362 16.368616	-0.089 0.000 -0.034
weapon_jm_grenade_health	-225.824692 181.777832 16.363266	-0.083 0.187 -0.212
ent_jm_carepackage_spawn	123.808502 78.468712 16.392344	0.009 -0.016 0.189
ent_jm_carepackage_spawn	-267.973572 160.250488 16.391560	-0.044 -0.002 -0.022
ent_jm_carepackage_spawn	-126.979134 -165.477600 16.332846	-0.015 -0.016 0.022
ent_jm_carepackage_spawn	-133.947815 -500.045654 16.405361	0.006 0.000 0.004
ent_jm_carepackage_spawn	-247.422287 -730.409729 16.405359	0.006 0.000 0.004
ent_jm_carepackage_spawn	-198.095901 -1097.151733 16.419764	-0.014 0.036 -0.155
ent_jm_carepackage_spawn	-261.739227 -1685.749390 16.359673	0.002 0.000 -0.001
ent_jm_carepackage_spawn	337.985046 -1855.329224 16.350935	0.002 0.000 -0.001
ent_jm_carepackage_spawn	514.910583 -1850.824951 160.386459	0.003 0.000 0.001
ent_jm_carepackage_spawn	546.230286 -1665.047974 160.406372	-0.012 0.012 -0.013
ent_jm_carepackage_spawn	603.561707 -2053.862549 16.397881	0.004 0.000 0.002
ent_jm_carepackage_spawn	817.837830 -1935.887939 16.367912	0.002 0.000 -0.001
ent_jm_carepackage_spawn	897.380371 -1622.600952 16.355375	0.002 0.000 -0.001
ent_jm_carepackage_spawn	1033.380493 -1358.692383 16.435158	0.035 -0.000 0.034
ent_jm_carepackage_spawn	1214.582886 -1175.063477 16.334320	0.002 0.000 -0.001
ent_jm_carepackage_spawn	1358.922607 -893.739075 16.346369	0.002 0.000 -0.001
ent_jm_carepackage_spawn	1473.966553 -663.436279 16.440632	-0.003 -0.012 0.005
ent_jm_carepackage_spawn	1466.498535 -397.431244 16.362152	-0.011 -0.017 0.021
ent_jm_carepackage_spawn	1951.033203 -402.840942 16.355925	0.001 0.000 -0.000
ent_jm_carepackage_spawn	2178.065430 -390.018158 16.372328	0.001 0.000 0.000
ent_jm_carepackage_spawn	2438.690674 -564.598572 16.351507	0.001 0.000 -0.000
ent_jm_carepackage_spawn	2665.553955 -292.204041 16.351507	0.001 0.000 -0.000
ent_jm_carepackage_spawn	2449.822998 -185.295044 16.337423	0.001 0.000 -0.000
ent_jm_carepackage_spawn	2351.040283 -382.567108 16.344624	0.001 0.000 -0.000
ent_jm_carepackage_spawn	2529.703857 -382.991547 16.409948	0.007 0.000 0.006
ent_jm_carepackage_spawn	2267.070068 21.939884 16.433212	0.029 -0.000 0.029
ent_jm_carepackage_spawn	2127.749756 242.931702 16.368410	0.001 0.000 0.000
ent_jm_carepackage_spawn	2363.557129 429.507141 16.388580	0.002 0.000 0.002
ent_jm_carepackage_spawn	1987.137085 638.182373 16.334949	0.001 0.000 -0.000
ent_jm_carepackage_spawn	1870.873779 417.439056 16.497309	-0.073 0.002 -0.073
ent_jm_carepackage_spawn	2138.472412 408.632446 16.404959	0.018 -0.009 -0.012
ent_jm_carepackage_spawn	2115.975342 383.385986 136.376129	0.002 0.000 0.001
ent_jm_carepackage_spawn	1640.006958 443.217041 16.370262	-0.010 -0.017 0.020
ent_jm_carepackage_spawn	1465.287476 290.172791 16.401320	0.004 0.000 0.004
ent_jm_carepackage_spawn	1560.753296 -3.540539 16.396721	0.003 0.000 0.003
ent_jm_carepackage_spawn	1219.947754 -18.528751 16.342110	-0.012 -0.016 0.024
ent_jm_carepackage_spawn	1273.187500 222.452759 16.386097	-0.009 0.017 -0.017
ent_jm_carepackage_spawn	1108.895630 256.013885 16.424070	0.016 -0.000 0.016
ent_jm_carepackage_spawn	731.747314 192.637894 16.412338	-0.007 -0.017 0.013
ent_jm_carepackage_spawn	421.226624 124.174850 16.399807	0.004 0.000 0.003
ent_jm_carepackage_spawn	1971.937622 1077.582642 16.340521	-0.014 -0.016 0.022
ent_jm_carepackage_spawn	1996.154785 1338.674683 16.366405	0.001 0.000 0.000
ent_jm_carepackage_spawn	1846.594116 1523.087402 16.342260	0.001 0.000 -0.000
ent_jm_carepackage_spawn	1849.228271 1912.115112 16.366407	0.001 0.000 0.000
ent_jm_carepackage_spawn	1991.030396 1733.031128 16.419157	0.011 -0.000 0.011
ent_jm_carepackage_spawn	-986.301636 1904.917480 16.462763	0.251 0.000 0.251
ent_jm_carepackage_spawn	-1034.750122 1719.306763 16.362309	0.001 0.000 0.000
ent_jm_carepackage_spawn	-958.729492 1539.321045 16.355299	0.007 -0.008 0.003
ent_jm_carepackage_spawn	-979.601135 1289.675171 16.421984	-0.023 -0.084 0.098
ent_jm_carepackage_spawn	-916.627686 909.372498 16.410980	-0.032 -0.111 0.092
ent_jm_carepackage_spawn	-998.011841 568.163940 16.337423	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-553.078247 141.937134 16.408867	-0.012 -0.018 0.022
ent_jm_carepackage_spawn	-973.867371 221.429153 16.444181	0.000 -6.258 0.212
ent_jm_carepackage_spawn	-1392.054932 208.074829 16.337637	-0.019 -0.015 0.032
ent_jm_carepackage_spawn	-1793.892578 350.035950 16.349247	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-1983.800171 250.307159 16.382664	0.037 0.025 0.109
ent_jm_carepackage_spawn	-1720.997803 -13.122241 16.381966	-0.009 0.008 -0.008
ent_jm_carepackage_spawn	-1681.326050 -253.499374 16.440069	-0.005 -0.064 0.095
ent_jm_carepackage_spawn	-1672.823730 -648.348877 16.477058	-0.004 -0.058 0.037
ent_jm_carepackage_spawn	-1775.854492 -611.241272 26.315439	-0.001 0.000 0.003
ent_jm_carepackage_spawn	-1710.801270 -996.451538 16.353106	0.006 0.004 0.045
ent_jm_carepackage_spawn	-1481.622070 -1258.498779 16.326643	0.002 0.000 -0.002
ent_jm_carepackage_spawn	-1503.963623 -1181.914917 160.365906	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1457.851929 -996.752991 160.348679	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1254.519165 -1087.955322 160.339264	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1176.418945 -1211.227905 16.341660	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1153.741821 -904.170959 16.420080	0.012 -0.000 0.011
ent_jm_carepackage_spawn	-1508.437134 -914.527649 16.365896	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1041.387207 -1095.900024 16.323336	-0.025 0.012 -0.027
ent_jm_carepackage_spawn	-700.804565 -1080.553711 160.394745	0.004 0.000 0.002
ent_jm_carepackage_spawn	-425.113159 -1084.971680 16.406616	0.008 -0.024 0.032
