# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lobby
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-666.582825 983.018311 0.945880	12.584 -10.271 -66.456
weapon_jm_secondary_heavy	-662.157959 979.391235 0.940513	13.387 -1.196 -64.872
weapon_jm_secondary_heavy	-654.475342 979.829285 1.026009	15.254 -14.193 -62.204
weapon_jm_secondary_heavy	-651.018982 976.690735 0.804472	12.136 -3.980 -56.777
weapon_jm_secondary_heavy	-661.122986 975.866455 0.955020	10.271 -48.478 -70.965
weapon_jm_secondary_heavy	-670.401978 973.807800 0.965066	2.219 -38.544 -85.439
weapon_jm_secondary_heavy	-674.915771 971.202271 0.723380	2.737 -32.487 -65.376
weapon_jm_secondary_heavy	-661.958618 966.316284 0.922993	15.813 -3.598 -59.841
item_jm_ammo_light	-586.448120 947.439087 0.314796	0.446 0.073 0.062
item_jm_ammo_light	-584.367859 936.765991 0.334568	0.450 0.064 0.054
item_jm_ammo_light	-584.072510 923.434326 0.398338	0.463 0.055 0.029
item_jm_ammo_light	-583.651489 913.142822 0.348678	1.111 0.298 -0.011
item_jm_ammo_light	-589.544556 906.069031 0.434259	0.478 14.952 -0.505
item_jm_ammo_light	-597.627563 917.689575 0.451282	0.891 0.570 0.026
item_jm_ammo_light	-607.413208 923.068176 5.638884	-44.114 177.993 -179.997
item_jm_ammo_light	-600.555847 927.326416 7.389705	-29.628 72.974 -127.104
item_jm_ammo_light	-597.071960 953.822388 0.422618	0.841 0.287 -0.008
item_jm_ammo_light	-609.092407 953.123779 0.350022	0.453 0.062 0.048
item_jm_ammo_light	-626.894287 950.141235 0.419457	0.467 0.054 0.020
item_jm_ammo_light	-629.752747 939.881653 0.362794	1.038 0.500 -0.040
item_jm_ammo_light	-618.515076 938.578064 0.416124	0.258 -0.369 -0.056
item_jm_ammo_light	-614.870728 939.552551 3.339254	89.449 -8.398 -3.513
item_jm_ammo_light	-627.642944 929.762756 0.419292	1.526 0.389 -0.023
item_jm_ammo_heavy	-1015.646667 944.060547 0.372135	0.763 -0.121 -0.527
item_jm_ammo_heavy	-1018.121216 927.949097 0.371432	0.767 -0.117 -0.534
item_jm_ammo_heavy	-1015.337830 912.256470 0.378979	0.134 0.003 -0.024
item_jm_ammo_heavy	-1010.312561 889.357910 0.417493	-0.856 -0.019 0.667
item_jm_ammo_heavy	-1009.293335 867.147461 0.374240	0.752 -0.022 -0.519
item_jm_ammo_heavy	-993.581665 890.119202 0.374240	0.752 -0.022 -0.519
item_jm_ammo_heavy	-999.348267 909.256104 0.350440	0.832 0.002 -0.666
item_jm_ammo_heavy	-1000.227356 921.144348 0.431929	-0.632 -0.007 0.562
item_jm_ammo_heavy	-1000.658997 942.259827 0.381349	-0.209 0.001 0.254
item_jm_ammo_heavy	-990.367798 943.659607 0.425609	-0.682 -0.006 0.606
item_jm_ammo_heavy	-988.004333 932.032471 0.418943	-0.724 -0.005 0.647
item_jm_ammo_heavy	-988.591248 919.832153 0.413603	-0.980 0.003 0.770
item_jm_ammo_heavy	-985.906494 898.819214 0.433136	-0.623 -0.006 0.553
item_jm_ammo_heavy	-989.372559 874.983582 0.376394	0.495 0.018 -0.317
weapon_jm_primary_smg	-752.981201 1005.484009 1.084018	0.197 6.644 -87.079
weapon_jm_primary_smg	-755.596863 996.114624 0.866130	-0.373 6.132 -78.434
weapon_jm_primary_smg	-755.114197 984.661194 0.994450	0.561 5.599 -84.116
weapon_jm_primary_smg	-750.691040 973.997070 1.043555	-0.395 5.015 -83.799
weapon_jm_primary_smg	-750.612061 966.449036 0.965392	-0.166 6.434 -75.812
weapon_jm_grenade_smoke	-1020.456848 606.025513 1.618934	18.224 11.326 -89.854
weapon_jm_grenade_smoke	-1014.294312 632.050232 2.037452	-28.034 -142.772 87.583
weapon_jm_grenade_smoke	-1015.952332 663.542236 1.848860	41.079 -155.982 66.293
weapon_jm_grenade_smoke	-1021.705994 681.996826 3.820816	4.462 -0.672 76.975
weapon_jm_grenade_smoke	-1017.543823 710.540039 2.089715	24.628 88.351 89.902
weapon_jm_grenade_smoke	-1013.406067 750.778015 2.119089	24.529 81.609 90.022
weapon_jm_grenade_smoke	-1021.456787 768.017700 1.693884	19.735 1.847 -90.609
weapon_jm_grenade_smoke	-1021.681702 800.420349 1.791117	-40.943 -2.177 -87.911
weapon_jm_grenade_smoke	-1020.900635 817.166504 1.968569	-23.504 -2.287 74.324
weapon_jm_grenade_smoke	-1008.192200 794.297668 1.628196	18.852 -78.359 -90.452
weapon_jm_grenade_smoke	-1020.121399 766.129150 0.228020	-0.729 2.777 0.382
weapon_jm_grenade_smoke	-1020.586914 731.922852 1.840078	23.484 10.183 -91.576
weapon_jm_grenade_smoke	-1021.795959 695.960876 1.624780	12.906 -0.138 -90.266
weapon_jm_grenade_smoke	-1021.634766 657.936829 1.808132	-50.617 -10.062 -77.252
weapon_jm_grenade_smoke	-1021.411316 627.011414 1.571604	7.820 2.305 -90.027
weapon_jm_grenade_smoke	-1021.681702 598.425903 1.650397	1.036 -47.434 -89.995
weapon_jm_grenade_smoke	-1018.797852 657.911560 2.110738	-55.416 11.476 42.627
weapon_jm_grenade_smoke	-1020.570313 690.438721 1.679194	6.469 -54.645 -90.872
