# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lockdown
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	1115.009277 -486.860565 37.178375	2.240 -18.493 -84.572
weapon_jm_secondary_heavy	1113.462158 -506.841553 37.158184	2.232 -18.490 -84.364
weapon_jm_secondary_heavy	1117.663818 -185.081467 37.130630	2.221 -18.466 -84.082
weapon_jm_secondary_heavy	1115.882935 -199.650711 37.094986	2.207 -18.321 -83.717
weapon_jm_grenade_push	546.229126 -1313.327393 36.452305	-2.152 -1.401 -1.177
weapon_jm_grenade_push	548.787170 -736.253174 36.451351	-2.183 -1.389 -1.199
weapon_jm_grenade_push	-549.921997 -734.171143 36.457371	-1.966 -1.430 -1.075
weapon_jm_grenade_push	-553.781677 -1313.737915 36.446766	-2.356 -1.359 -1.288
weapon_jm_grenade_push	7.008978 -1402.378784 -167.813049	-1.569 -1.475 -0.858
weapon_jm_grenade_push	-10.922017 -646.017090 -167.833527	-2.320 -1.370 -1.269
weapon_jm_grenade_push	-0.439812 -976.754333 128.171936	-2.120 -1.402 -1.159
item_jm_ammo_light	-1128.733887 -186.471466 36.649845	0.449 0.052 0.037
item_jm_ammo_light	-1132.023804 -204.017136 36.664104	0.453 0.051 0.032
item_jm_ammo_light	-1130.843140 -221.867844 36.609745	0.437 0.064 0.052
item_jm_ammo_light	-1132.791382 -531.632813 36.609745	0.437 0.064 0.052
item_jm_ammo_light	-1127.992554 -512.202454 36.589092	0.431 0.075 0.060
item_jm_ammo_light	-1128.752075 -497.588623 36.652874	0.450 0.052 0.036
item_jm_ammo_light	-1128.854370 -1566.741211 36.629631	0.443 0.057 0.045
item_jm_ammo_light	-1128.406494 -1547.922607 36.611874	0.438 0.064 0.051
item_jm_ammo_light	-1129.451172 -1874.953979 36.679695	0.457 0.050 0.026
item_jm_ammo_light	-1130.540649 -1848.016724 36.598618	0.434 0.068 0.056
item_jm_ammo_light	-1128.059448 -1863.853027 36.609745	0.437 0.064 0.052
item_jm_ammo_light	-1123.945068 -1581.542969 36.635033	0.444 0.055 0.043
item_jm_ammo_light	1129.641846 -1519.613159 36.629631	0.443 0.057 0.045
item_jm_ammo_light	1128.601929 -1536.881592 36.629631	0.443 0.057 0.045
item_jm_ammo_light	1130.475098 -1555.530884 36.657246	0.451 0.052 0.035
item_jm_ammo_light	1128.881226 -1822.636230 36.665417	0.453 0.051 0.032
item_jm_ammo_light	1127.607300 -1845.392334 36.600914	0.435 0.068 0.055
item_jm_ammo_light	1129.471680 -1863.971802 36.616032	0.439 0.060 0.050
item_jm_ammo_heavy	-6.355066 -1410.327759 -167.620010	-0.011 0.002 0.092
item_jm_ammo_heavy	-2.520376 -636.086121 -167.595978	-0.993 -0.010 0.844
item_jm_ammo_heavy	1133.839233 -491.853241 36.711140	0.797 0.008 0.672
item_jm_ammo_heavy	1132.901611 -511.505493 36.658394	-0.304 0.002 -0.183
item_jm_ammo_heavy	1134.953735 -475.700012 36.731747	0.598 0.007 0.504
item_jm_ammo_heavy	1134.913086 -170.539246 36.627647	-0.589 -0.004 -0.471
item_jm_ammo_heavy	1130.099731 -190.313705 36.749104	0.765 -0.002 0.602
item_jm_ammo_heavy	1135.346680 -209.919708 36.690758	1.031 -0.004 0.788
item_jm_ammo_heavy	607.750183 -735.300964 36.628361	-0.699 0.005 -0.579
item_jm_ammo_heavy	-601.527649 -1317.132080 36.714973	0.720 0.010 0.621
weapon_jm_primary_smg	-326.633118 -1032.413452 1.094067	0.289 6.175 -87.252
weapon_jm_primary_smg	335.012482 -1023.957581 1.093962	0.293 6.174 -87.256
weapon_jm_primary_smg	-603.769775 -741.295044 37.374653	0.313 6.175 -87.281
weapon_jm_primary_smg	591.586975 -1319.676514 37.374561	0.316 6.184 -87.285
weapon_jm_grenade_smoke	-1121.598145 -1524.832031 36.474720	-1.331 -1.490 -0.728
weapon_jm_grenade_smoke	-1119.507202 -1823.681763 36.449585	-2.252 -1.362 -1.231
weapon_jm_grenade_smoke	1117.378540 -1557.519409 36.432888	-2.865 -1.205 -1.567
weapon_jm_grenade_smoke	1119.740112 -222.472473 36.476318	-1.272 -1.495 -0.695
weapon_jm_grenade_smoke	1120.348511 -519.369385 36.444794	-2.428 -1.323 -1.327
weapon_jm_grenade_smoke	-1116.554199 -168.562592 36.450504	-2.218 -1.361 -1.213
weapon_jm_grenade_smoke	-1117.779419 -481.503235 36.463440	-1.744 -1.459 -0.953
weapon_jm_grenade_smoke	-86.694618 -999.984619 36.449596	-2.252 -1.362 -1.231
weapon_jm_grenade_smoke	-89.790138 -994.444275 -147.545349	-2.057 -1.402 -1.125
weapon_jm_grenade_smoke	86.566925 -1037.657349 -147.528946	-1.456 -1.484 -0.796
weapon_jm_grenade_smoke	1117.746704 -1879.631714 36.476837	-1.253 -1.495 -0.685
weapon_jm_grenade_smoke	90.863441 -1032.803589 36.436344	-2.739 -1.229 -1.498
weapon_jm_grenade_smoke	-559.425354 -1357.683838 -215.824692	-1.996 -1.430 -1.091
weapon_jm_grenade_smoke	561.125244 -1411.493530 -215.815704	-1.667 -1.464 -0.911
weapon_jm_grenade_smoke	-561.119324 -636.933594 -215.803894	-1.234 -1.496 -0.675
weapon_jm_grenade_smoke	560.126160 -638.153137 -215.822296	-1.908 -1.428 -1.043
weapon_jm_primary_lmg	7.755935 -1069.371338 125.808449	18.634 -0.367 2.992
weapon_jm_primary_rifle	96.118057 -1018.804138 37.229336	0.014 11.518 -88.219
weapon_jm_primary_rifle	90.335579 -1024.679932 -146.885864	-0.048 7.061 -88.261
weapon_jm_primary_rifle	-89.199203 -1023.324585 -146.879684	0.204 11.253 -86.968
weapon_jm_primary_rifle	-85.830872 -1026.847290 37.133190	0.187 11.252 -87.107
weapon_jm_secondary_light	-1116.923096 -214.306702 37.176010	-0.571 34.062 89.872
weapon_jm_secondary_light	-1116.107666 -201.475616 37.177425	-0.797 34.051 90.105
weapon_jm_secondary_light	-1117.956909 -523.342346 37.175503	-0.491 34.065 89.789
weapon_jm_secondary_light	-1114.093872 -508.529205 37.175797	-0.538 34.064 89.837
weapon_jm_secondary_light	806.375977 -205.444458 -375.107025	-0.377 147.812 89.666
weapon_jm_secondary_light	1111.139648 -1518.050537 37.176231	-0.607 34.060 89.909
weapon_jm_secondary_light	1108.938354 -1538.598999 37.176231	-0.607 34.060 89.909
weapon_jm_secondary_light	1111.713379 -1827.515625 37.175457	-0.484 34.065 89.782
weapon_jm_secondary_light	1110.952515 -1854.354858 37.173603	-0.192 34.071 89.481
weapon_jm_secondary_light	560.766968 -650.202515 -215.955185	4.345 -0.457 0.326
weapon_jm_secondary_light	-558.126892 -646.274170 -215.831161	36.731 0.399 0.063
weapon_jm_secondary_light	-559.784180 -1367.461914 -215.818405	36.557 0.389 0.046
weapon_jm_secondary_light	555.835632 -1404.672729 -215.809891	36.442 0.382 0.034
weapon_jm_secondary_auto	-1112.179199 -1567.740356 37.392567	-0.719 25.619 91.396
weapon_jm_secondary_auto	-1111.851196 -1549.367554 37.391083	-0.630 25.633 91.212
weapon_jm_secondary_auto	-1111.962769 -1870.954956 37.386372	-0.350 25.642 90.634
weapon_jm_secondary_auto	-1111.221069 -1846.008545 37.391548	-0.658 25.630 91.269
weapon_jm_primary_sniper	-8.495689 -1385.384277 -168.819809	3.474 13.204 65.339
weapon_jm_primary_sniper	-2.032335 -650.641602 -168.864151	3.576 13.232 65.083
weapon_jm_primary_shotgun	578.473572 -741.136475 37.816925	-0.521 -9.594 -89.669
weapon_jm_primary_shotgun	-584.511902 -1305.503174 37.726692	-0.494 -9.616 -88.945
item_jm_ammo_medium	560.608582 -1312.543335 36.633549	-0.125 -0.020 -0.031
item_jm_ammo_medium	88.106659 -995.768555 36.722767	0.002 0.030 0.006
item_jm_ammo_medium	89.804611 -1005.505188 -147.302155	0.755 -0.296 0.205
item_jm_ammo_medium	-356.859497 -1026.853516 0.388700	-0.096 -0.020 -0.029
item_jm_ammo_medium	362.348419 -1023.254456 0.345314	-0.134 -0.019 -0.040
item_jm_ammo_medium	-571.252930 -734.853699 36.648247	-0.113 -0.020 -0.028
item_jm_ammo_medium	-85.475830 -1045.096680 -147.310562	-0.077 -0.021 -0.019
item_jm_ammo_medium	-86.655258 -1046.870972 36.696255	-0.072 -0.021 -0.018
weapon_jm_grenade_fire	-1105.795288 -1292.693604 2.127056	-36.226 -56.267 -90.741
weapon_jm_grenade_fire	-1106.044678 -752.377075 2.179064	-37.020 -55.447 -91.993
weapon_jm_grenade_fire	1103.005493 -745.996582 2.159515	-36.721 -55.759 -91.517
weapon_jm_grenade_fire	1103.768921 -1288.441040 2.161072	-36.745 -55.733 -91.554
weapon_jm_grenade_fire	347.239288 -1029.266602 2.078701	-35.487 -56.967 -89.616
weapon_jm_grenade_fire	-343.528015 -1009.942444 2.184796	-37.108 -55.352 -92.133
ent_jm_carepackage_spawn	872.505066 -102.929695 0.329883	0.001 0.000 -0.000
ent_jm_carepackage_spawn	1040.658936 -363.622589 0.394094	-0.031 0.022 -0.015
ent_jm_carepackage_spawn	850.333069 -598.713013 0.337221	-0.013 -0.016 0.025
ent_jm_carepackage_spawn	-3.354799 -563.559143 0.401316	0.004 0.000 0.004
ent_jm_carepackage_spawn	509.657776 -673.270874 -215.603302	0.003 0.000 0.003
ent_jm_carepackage_spawn	-470.317078 -662.477112 -215.614853	0.002 0.000 0.001
ent_jm_carepackage_spawn	-827.433289 -107.576553 0.351498	0.001 0.000 0.000
ent_jm_carepackage_spawn	-1029.844238 -353.066833 0.381619	0.002 0.000 0.001
ent_jm_carepackage_spawn	-848.219238 -606.565796 0.349239	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-1067.238159 -1287.267822 0.344615	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-1053.047241 -748.497742 0.414003	0.008 0.000 0.008
ent_jm_carepackage_spawn	-577.953796 -1256.259033 0.377983	0.002 0.000 0.001
ent_jm_carepackage_spawn	-588.110535 -789.959778 0.372321	0.001 0.000 0.001
ent_jm_carepackage_spawn	-825.672546 -1027.951172 0.398267	0.004 0.000 0.003
ent_jm_carepackage_spawn	-869.055603 -1449.255737 0.327695	-0.015 -0.015 0.024
ent_jm_carepackage_spawn	-1040.343750 -1692.215210 0.349235	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-844.647034 -1946.726318 0.372322	0.001 0.000 0.001
ent_jm_carepackage_spawn	-495.381012 -1377.058594 -215.637711	0.001 0.000 0.000
ent_jm_carepackage_spawn	503.776794 -1382.811401 -215.653061	0.001 0.000 -0.000
ent_jm_carepackage_spawn	905.492554 -1436.082886 0.435427	0.035 -0.000 0.035
ent_jm_carepackage_spawn	1033.797852 -1705.773926 0.321996	0.001 0.000 -0.000
ent_jm_carepackage_spawn	890.094421 -1929.449829 0.390247	0.003 0.000 0.002
ent_jm_carepackage_spawn	1113.677246 -798.727966 0.404277	0.005 0.000 0.004
ent_jm_carepackage_spawn	1109.352783 -1237.812256 0.372322	0.001 0.000 0.001
ent_jm_carepackage_spawn	840.149109 -1045.092285 0.391901	0.003 0.000 0.002
ent_jm_carepackage_spawn	590.158875 -1255.049194 0.402806	0.005 0.000 0.004
ent_jm_carepackage_spawn	587.761536 -799.984558 0.455366	0.162 -0.000 0.161
ent_jm_carepackage_spawn	293.494385 -1020.141174 0.393528	0.003 0.000 0.002
ent_jm_carepackage_spawn	-286.499786 -1018.894653 0.383396	0.002 0.000 0.001
ent_jm_carepackage_spawn	1.134121 -1023.139343 128.425201	0.016 -0.000 0.013
ent_jm_carepackage_spawn	-165.878189 -1027.690430 -183.500183	-0.000 -0.953 0.000
ent_jm_carepackage_spawn	153.439972 -1037.732300 -183.587128	0.695 -0.963 -0.487
ent_jm_carepackage_spawn	3.004582 -1471.331543 0.374123	-0.012 0.018 -0.016
