# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lost_at_sea
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-1823.300415 1815.662476 264.854156	2.466 -16.774 -84.011
weapon_jm_secondary_heavy	1830.427368 1809.468506 264.885101	2.235 -18.491 -84.448
weapon_jm_secondary_heavy	1809.561035 -1831.899048 264.891327	2.238 -18.492 -84.512
weapon_jm_secondary_heavy	-1829.144165 -1813.733032 264.863251	2.227 -18.490 -84.224
weapon_jm_secondary_heavy	-316.521210 1188.885864 296.869537	2.229 -18.490 -84.289
weapon_jm_secondary_heavy	1193.142212 -312.183807 296.908447	2.244 -18.496 -84.688
weapon_jm_secondary_heavy	316.649109 -859.829895 296.851196	2.222 -18.469 -84.101
weapon_jm_secondary_heavy	-856.605591 -321.815735 296.845642	2.220 -18.437 -84.044
weapon_jm_grenade_tag	322.096802 1025.430054 296.166473	-2.320 -1.370 -1.269
weapon_jm_grenade_tag	1015.556091 324.281372 296.156189	-2.698 -1.247 -1.475
weapon_jm_grenade_tag	-328.521027 -1021.858643 296.156189	-2.698 -1.246 -1.475
weapon_jm_grenade_tag	-1028.866089 329.066376 296.177704	-1.908 -1.428 -1.043
weapon_jm_grenade_tag	-978.496948 46.301476 440.171051	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	44.983265 975.340942 440.171906	-2.123 -1.402 -1.158
weapon_jm_grenade_tag	1072.606445 48.279495 440.155090	-2.739 -1.229 -1.497
weapon_jm_grenade_tag	-47.855927 -978.402771 440.171906	-2.122 -1.402 -1.158
weapon_jm_grenade_jump	-1829.610474 1807.216309 264.183594	-1.692 -1.464 -0.925
weapon_jm_grenade_jump	1826.656982 -1815.054199 264.168335	-2.251 -1.362 -1.231
weapon_jm_grenade_jump	-978.409668 197.042648 384.160492	-2.540 -1.297 -1.389
weapon_jm_grenade_jump	1072.942383 199.846680 384.182220	-1.743 -1.459 -0.953
weapon_jm_primary_smg	992.250916 329.404205 297.093719	0.301 6.174 -87.266
weapon_jm_primary_smg	-327.349548 -1009.659485 297.100189	0.284 5.934 -87.473
weapon_jm_primary_smg	-1054.856445 329.446472 297.094177	0.284 6.176 -87.246
weapon_jm_primary_smg	323.243866 995.347778 296.972961	0.342 -0.003 -86.252
weapon_jm_primary_smg	-1032.473389 240.946045 417.095154	0.250 6.163 -87.203
weapon_jm_primary_smg	250.050781 1020.100281 417.093628	0.304 6.174 -87.270
weapon_jm_primary_smg	1021.371460 244.404190 417.093109	0.323 6.187 -87.293
weapon_jm_primary_smg	-253.207428 -1029.701782 417.102234	0.154 5.951 -87.252
weapon_jm_grenade_glue	-154.245255 994.954407 269.479248	-0.036 0.000 -0.020
weapon_jm_grenade_glue	1053.738281 -165.315872 269.461456	-0.041 -0.000 0.024
weapon_jm_grenade_glue	167.584808 -987.812134 269.421753	-0.054 0.000 -0.031
weapon_jm_grenade_glue	-996.036255 -166.203140 269.525024	-0.128 0.000 0.175
weapon_jm_primary_lmg	-1.015882 -0.494717 320.317230	18.520 0.961 2.702
weapon_jm_primary_rifle	-60.014359 -1023.795654 537.122131	-0.681 0.016 -90.546
weapon_jm_primary_rifle	1022.464722 53.897007 536.889648	0.134 11.253 -87.523
weapon_jm_primary_rifle	62.819519 1024.418335 536.929810	0.079 8.122 -88.022
weapon_jm_primary_rifle	-1022.096436 54.901497 536.927185	0.082 11.255 -87.938
weapon_jm_secondary_light	-276.513489 1189.278076 296.171600	36.693 0.397 0.059
weapon_jm_secondary_light	-240.746643 1186.990967 296.175415	36.641 0.394 0.054
weapon_jm_secondary_light	-240.868546 853.779663 296.185486	36.505 0.386 0.040
weapon_jm_secondary_light	-281.704620 849.581970 296.177216	36.617 0.392 0.052
weapon_jm_secondary_light	853.781250 -277.998108 296.194672	36.379 0.378 0.028
weapon_jm_secondary_light	858.554199 -240.088593 296.165161	36.781 0.402 0.068
weapon_jm_secondary_light	1193.847534 -237.800781 296.172241	36.684 0.396 0.058
weapon_jm_secondary_light	1188.118164 -276.943604 296.175415	36.641 0.394 0.054
weapon_jm_secondary_light	235.617264 -860.128906 296.172241	36.684 0.396 0.058
weapon_jm_secondary_light	270.948029 -859.464783 296.190491	36.436 0.382 0.034
weapon_jm_secondary_light	277.793793 -1192.533569 296.185028	36.511 0.386 0.041
weapon_jm_secondary_light	246.183060 -1189.453125 296.175415	36.641 0.394 0.054
weapon_jm_secondary_light	-1194.060913 -272.940094 296.180542	36.572 0.390 0.047
weapon_jm_secondary_light	-1197.746338 -245.868729 296.181061	36.565 0.389 0.046
weapon_jm_secondary_light	-857.590515 -239.965988 296.177216	36.617 0.392 0.052
weapon_jm_secondary_light	-855.238586 -278.464386 296.170929	36.703 0.398 0.060
weapon_jm_secondary_auto	-318.523682 854.599060 297.111328	-0.719 25.619 91.396
weapon_jm_secondary_auto	854.863953 -318.952362 297.110168	-0.651 25.630 91.255
weapon_jm_secondary_auto	325.092377 -1193.234497 297.113098	-0.826 25.595 91.616
weapon_jm_secondary_auto	-1190.428711 -315.723145 297.112457	-0.788 25.608 91.538
weapon_jm_primary_sniper	-133.840073 -1015.249939 631.134094	3.580 13.234 65.072
weapon_jm_primary_sniper	131.936981 1021.763123 631.099731	3.660 13.272 64.874
weapon_jm_primary_shotgun	1051.581787 319.901917 297.463501	-0.499 -9.613 -89.090
weapon_jm_primary_shotgun	-318.548126 -1051.622681 297.478241	-0.479 -9.741 -89.295
weapon_jm_primary_shotgun	-1001.352478 324.400665 297.487274	-0.420 -9.883 -89.588
weapon_jm_primary_shotgun	326.100952 1049.704224 297.503113	-0.511 -8.548 -89.408
weapon_jm_primary_shotgun	-198.338165 -978.559448 385.449280	-0.495 -9.615 -88.976
weapon_jm_primary_shotgun	202.566269 971.512939 385.424438	-0.487 -9.620 -88.776
weapon_jm_grenade_frag	-53.785843 -1028.112061 538.146362	-36.520 -55.972 -91.200
weapon_jm_grenade_frag	1010.841492 45.612297 538.168213	-36.854 -54.706 -91.727
weapon_jm_grenade_frag	51.111301 1017.643005 537.899902	10.344 -35.795 -85.409
weapon_jm_grenade_frag	-1022.700439 45.742592 538.099426	-37.351 -54.154 -90.499
weapon_jm_grenade_health	1822.909546 1823.232788 264.350128	-0.100 0.000 -0.038
