# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lucker
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	531.249268 661.836060 621.114746	2.215 -18.401 -83.922
weapon_jm_secondary_heavy	437.386719 1302.636230 485.106201	2.212 -18.358 -83.834
weapon_jm_secondary_heavy	92.822067 459.575195 293.114746	2.215 -18.401 -83.922
weapon_jm_secondary_heavy	914.204102 260.323914 37.124996	2.219 -18.440 -84.024
item_jm_ammo_light	1077.584351 462.784668 832.342468	0.452 0.062 0.051
item_jm_ammo_light	-115.293678 485.906799 832.384033	0.461 0.056 0.034
item_jm_ammo_light	638.057190 1304.575684 484.602936	0.435 0.064 0.054
item_jm_ammo_light	14.965179 175.733047 428.649597	0.449 0.052 0.037
item_jm_ammo_light	1007.668579 463.908020 292.629395	0.443 0.057 0.045
item_jm_ammo_light	928.738586 175.277374 428.613739	0.438 0.060 0.050
item_jm_ammo_light	173.681488 265.601685 36.613979	0.438 0.060 0.050
item_jm_ammo_light	511.389313 240.738663 36.620075	0.440 0.060 0.048
item_jm_ammo_light	526.150513 273.815613 36.677502	0.457 0.050 0.027
item_jm_ammo_light	539.784485 872.472778 620.591309	0.432 0.068 0.059
item_jm_ammo_heavy	512.118530 733.216248 832.375549	0.668 -0.001 -0.455
item_jm_ammo_heavy	1117.881470 466.981964 832.393433	-0.966 -0.004 0.855
item_jm_ammo_heavy	-105.280579 460.393158 832.382385	-0.411 0.000 0.419
item_jm_ammo_heavy	553.426514 664.351990 620.706299	0.862 0.008 0.719
item_jm_ammo_heavy	425.635834 1304.243652 484.706360	0.861 0.008 0.718
item_jm_ammo_heavy	614.714661 1306.994141 484.684174	1.091 -0.012 0.909
item_jm_ammo_heavy	78.861000 161.588181 428.660675	0.024 -0.000 0.082
item_jm_ammo_heavy	79.989349 464.799835 292.716858	0.652 -0.004 0.492
item_jm_ammo_heavy	935.915039 259.569061 36.690212	-0.791 0.002 0.692
item_jm_ammo_heavy	487.105133 857.526794 620.737000	0.547 0.006 0.460
weapon_jm_primary_smg	381.472290 1300.390259 485.376190	0.249 6.163 -87.203
weapon_jm_primary_smg	941.250977 459.340485 293.375580	0.271 6.177 -87.229
weapon_jm_primary_smg	870.067566 262.829102 37.377117	0.225 6.146 -87.173
weapon_jm_grenade_smoke	627.687439 1308.529297 484.457123	-1.966 -1.430 -1.075
weapon_jm_grenade_smoke	417.370026 1305.269287 484.464600	-1.692 -1.464 -0.925
weapon_jm_grenade_smoke	520.633606 667.882446 620.451172	-2.185 -1.389 -1.195
weapon_jm_grenade_smoke	482.688599 254.702469 36.482056	-1.063 -1.503 -0.581
weapon_jm_primary_lmg	531.376160 855.991943 618.089478	18.634 -0.374 2.992
weapon_jm_primary_lmg	514.494934 255.818787 34.089699	18.634 -0.370 2.992
weapon_jm_primary_rifle	480.734344 660.253723 621.168213	-0.005 13.092 -87.679
weapon_jm_primary_rifle	25.881443 458.359833 293.159180	0.055 6.791 -87.721
weapon_jm_primary_rifle	993.985107 173.031143 429.145447	0.169 11.252 -87.245
weapon_jm_primary_rifle	136.716248 266.461456 37.149490	0.164 11.252 -87.287
weapon_jm_secondary_light	-106.007362 479.243408 832.180542	36.471 0.407 0.069
weapon_jm_secondary_light	990.950928 462.941376 293.176910	-0.750 34.052 90.057
weapon_jm_secondary_light	523.964050 239.964096 37.175964	-0.563 34.062 89.863
weapon_jm_secondary_light	504.432861 274.232941 37.176075	-0.580 34.062 89.881
weapon_jm_secondary_light	518.851440 870.311584 621.121948	0.458 34.647 88.944
weapon_jm_secondary_auto	1091.724731 463.928558 833.111328	-0.736 25.839 91.402
weapon_jm_secondary_auto	657.031189 1302.511353 485.387573	-0.433 25.676 90.809
weapon_jm_secondary_auto	30.790430 177.230728 429.391571	-0.673 25.629 91.299
weapon_jm_secondary_auto	946.417786 175.872070 429.389343	-0.539 25.639 91.024
weapon_jm_secondary_auto	184.079666 270.217957 37.390762	-0.610 25.634 91.171
weapon_jm_primary_sniper	501.163971 726.895386 831.191040	3.476 12.595 65.683
weapon_jm_primary_sniper	1107.340454 488.874390 831.145691	3.601 12.626 65.633
weapon_jm_primary_sniper	-71.545441 474.493073 831.135681	3.629 12.634 65.622
weapon_jm_primary_shotgun	584.873535 1298.458984 485.329529	-0.252 -8.491 -83.680
weapon_jm_primary_shotgun	81.693710 173.797501 429.378082	-0.350 -8.491 -84.137
weapon_jm_primary_shotgun	485.486542 863.690918 621.360352	-0.314 -8.491 -83.970
item_jm_ammo_medium	511.059601 669.352234 620.669861	-0.094 -0.020 -0.023
item_jm_ammo_medium	408.974823 1311.469360 484.679382	-0.086 -0.020 -0.021
item_jm_ammo_medium	56.023487 472.782166 292.616974	-0.139 -0.019 -0.035
item_jm_ammo_medium	964.746521 468.374756 292.676300	-0.089 -0.020 -0.022
item_jm_ammo_medium	961.640564 172.898041 428.688080	-0.078 -0.021 -0.020
item_jm_ammo_medium	106.936111 267.700775 36.654083	-0.108 -0.020 -0.027
item_jm_ammo_medium	897.026672 268.277557 36.650223	-0.111 -0.020 -0.028
weapon_jm_grenade_fire	511.404694 851.237610 620.475037	-1.311 -1.491 -0.717
weapon_jm_grenade_fire	52.165642 177.777313 428.458710	-1.908 -1.428 -1.043
weapon_jm_grenade_fire	971.417480 160.937119 428.467957	-1.569 -1.475 -0.858
weapon_jm_grenade_fire	548.291504 258.211548 36.466896	-1.617 -1.471 -0.884
weapon_jm_grenade_push	501.030640 734.058472 834.199097	-37.327 -48.634 -92.488
weapon_jm_grenade_push	1101.492065 464.791412 834.578796	17.149 -66.695 -99.173
weapon_jm_grenade_push	-98.262611 469.695343 834.002197	13.550 -41.767 -88.229
