# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_melon_manor
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	1817.171143 1072.718628 548.722778	2.259 -18.507 -85.081
weapon_jm_secondary_heavy	1637.672485 30.644344 37.207348	2.251 -18.500 -84.869
weapon_jm_secondary_heavy	1600.666626 31.789148 37.136017	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	424.404572 801.524231 37.214794	2.254 -18.503 -84.945
weapon_jm_secondary_heavy	467.014709 797.824707 37.160992	2.233 -18.491 -84.393
weapon_jm_secondary_heavy	489.355865 29.206247 37.195969	2.246 -18.497 -84.752
weapon_jm_secondary_heavy	24.102551 415.362183 136.970200	1.656 -19.229 -86.394
weapon_jm_grenade_tag	-674.786255 352.934418 36.440681	-2.578 -1.238 -1.410
weapon_jm_grenade_tag	11.878786 417.511261 33.092644	-1.666 -1.078 -1.245
weapon_jm_grenade_tag	758.537109 497.356323 24.163553	-2.428 -1.323 -1.328
weapon_jm_grenade_tag	1157.622803 -168.829346 55.410736	-2.739 -1.229 -1.498
weapon_jm_grenade_tag	1109.379883 -80.994385 144.155396	-0.746 -1.696 -1.137
weapon_jm_grenade_jump	347.146118 162.639969 144.165665	-2.081 -1.342 -1.498
weapon_jm_grenade_jump	1825.773071 1084.131958 547.947083	-2.152 -1.401 -1.177
weapon_jm_grenade_jump	-28.870531 1078.505005 36.435226	-2.780 -1.170 -1.520
weapon_jm_grenade_jump	1623.189087 30.902521 36.468185	-1.569 -1.475 -0.858
weapon_jm_grenade_jump	401.630188 548.264893 172.476608	-1.253 -1.495 -0.685
weapon_jm_grenade_jump	699.863098 459.145355 176.196777	-1.070 -1.375 -0.771
weapon_jm_primary_smg	1960.766235 -604.751099 37.375153	0.296 6.174 -87.260
weapon_jm_primary_smg	-33.214447 -580.224854 37.374821	0.307 6.174 -87.273
weapon_jm_primary_smg	-726.772583 935.427551 37.375187	0.294 6.174 -87.258
weapon_jm_primary_smg	1221.945313 542.247620 37.374779	0.308 6.177 -87.275
weapon_jm_primary_smg	421.195862 -32.460098 37.375641	0.278 6.176 -87.238
weapon_jm_primary_smg	793.200256 926.138916 173.374313	0.316 6.184 -87.285
weapon_jm_primary_smg	1534.091431 -56.778999 143.487671	-7.367 1.083 -2.338
weapon_jm_grenade_glue	1936.713867 -602.702332 41.778370	-0.034 0.000 -0.013
weapon_jm_grenade_glue	144.076996 662.759460 41.793499	-0.049 0.000 0.025
weapon_jm_grenade_glue	207.812805 25.559160 173.494553	-0.032 0.000 -0.013
weapon_jm_grenade_glue	34.870247 558.509827 41.766609	-0.036 0.000 -0.018
weapon_jm_primary_lmg	1816.513916 1100.203125 545.584473	18.634 -0.370 2.992
weapon_jm_primary_rifle	1946.499878 1117.950562 37.202126	0.091 11.255 -87.868
weapon_jm_primary_rifle	1274.977295 -356.002502 45.144382	0.171 11.252 -87.231
weapon_jm_primary_rifle	129.314133 670.050171 37.134663	0.185 11.252 -87.123
weapon_jm_primary_rifle	33.133999 590.213318 37.130165	0.191 11.252 -87.074
weapon_jm_primary_rifle	658.539185 61.362030 169.260666	0.087 4.353 -88.983
weapon_jm_primary_rifle	1476.331909 -33.594944 8.908588	0.109 13.135 -87.738
weapon_jm_secondary_light	-668.695251 320.106506 37.176983	-0.727 34.054 90.034
weapon_jm_secondary_light	-668.666199 338.574646 37.175541	-0.498 34.065 89.797
weapon_jm_secondary_light	-667.739563 371.167969 37.176647	-0.674 34.057 89.979
weapon_jm_secondary_light	-667.480103 388.535736 37.176647	-0.674 34.057 89.979
weapon_jm_secondary_light	504.183563 33.537914 37.176426	-0.635 34.059 89.938
weapon_jm_secondary_light	452.298920 34.084068 37.176868	-0.706 34.055 90.011
weapon_jm_secondary_light	758.215393 492.598358 24.173559	36.667 0.395 0.057
weapon_jm_secondary_auto	1560.998901 -472.546021 181.391556	-0.673 25.629 91.299
weapon_jm_secondary_auto	1514.666260 -466.027588 181.390305	-0.598 25.636 91.144
weapon_jm_secondary_auto	424.522827 554.710876 173.387833	-0.451 25.641 90.840
weapon_jm_secondary_auto	371.099091 551.993591 173.392471	-0.727 25.619 91.412
weapon_jm_secondary_auto	272.729584 76.086754 41.111168	-0.700 25.442 91.373
weapon_jm_secondary_auto	474.069275 29.577257 37.388584	-0.480 25.640 90.902
weapon_jm_secondary_auto	1165.665649 -163.647720 56.367241	-0.736 25.618 91.430
weapon_jm_primary_sniper	350.811554 150.804764 143.113129	3.629 1.492 64.951
weapon_jm_primary_shotgun	-35.304752 1083.551636 37.736168	-0.496 -9.575 -89.021
weapon_jm_primary_shotgun	-424.481476 -417.520752 37.787636	-0.512 -9.888 -89.434
weapon_jm_primary_shotgun	1465.527100 540.829102 37.810017	-0.519 -9.596 -89.613
weapon_jm_primary_shotgun	869.612122 449.501892 37.769810	-0.507 -9.607 -89.291
weapon_jm_primary_shotgun	411.862915 -480.485657 37.751244	-0.501 -9.611 -89.142
weapon_jm_primary_shotgun	54.123363 927.300232 173.716339	-0.490 -9.618 -88.864
weapon_jm_primary_shotgun	353.779388 720.533386 309.696106	-0.484 -9.620 -88.701
weapon_jm_primary_shotgun	348.390961 428.333740 1.500205	-0.498 -10.282 -89.621
weapon_jm_primary_shotgun	1111.330688 -98.929916 145.499619	-0.499 -10.312 -89.837
