# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_mile_high_club
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	2415.444580 2944.269043 5152.970215	1.717 -19.212 -86.288
weapon_jm_secondary_heavy	2411.496338 2808.064941 5152.969727	1.587 -19.241 -86.514
weapon_jm_secondary_heavy	4306.819824 4044.993896 5152.969727	1.627 -19.247 -86.444
weapon_jm_secondary_heavy	4306.244629 3905.224365 5152.969727	1.627 -19.247 -86.444
weapon_jm_grenade_push	4785.181152 2889.161865 5128.171387	-2.152 -1.401 -1.177
weapon_jm_grenade_push	1377.056152 2882.225586 5128.116699	-1.218 -1.250 -0.710
weapon_jm_grenade_push	4846.250000 2878.495117 5128.174805	-2.027 -1.422 -1.108
weapon_jm_grenade_push	1318.073608 2879.706299 5128.160645	-2.540 -1.297 -1.389
weapon_jm_grenade_push	3921.700684 2262.820557 5144.173340	-2.056 -1.402 -1.123
weapon_jm_grenade_push	2722.625732 4601.193359 5144.181152	-1.769 -1.449 -0.966
weapon_jm_grenade_push	5335.954590 3974.969727 5128.121582	-1.164 -1.249 -0.678
weapon_jm_grenade_push	5401.204102 3975.275391 5128.171387	-2.152 -1.401 -1.177
weapon_jm_grenade_push	1872.496948 3974.382080 5128.175781	-1.996 -1.430 -1.092
weapon_jm_grenade_push	1938.755493 3990.918701 5128.163574	-2.428 -1.323 -1.328
item_jm_ammo_light	1837.479736 2787.751953 5152.367188	0.467 0.060 0.037
item_jm_ammo_light	1835.961548 2969.051025 5152.348633	0.465 0.064 0.044
item_jm_ammo_light	2221.676025 2966.760498 5152.402832	0.471 0.056 0.024
item_jm_ammo_light	2225.248047 2784.893311 5152.322266	0.462 0.070 0.053
item_jm_ammo_light	2801.144043 2949.845215 5152.350098	0.465 0.064 0.043
item_jm_ammo_light	2799.550293 2786.227783 5152.333008	0.463 0.066 0.049
item_jm_ammo_light	4785.585938 2874.065430 5128.365723	0.457 0.058 0.043
item_jm_ammo_light	4072.156982 4787.458496 5144.386230	0.461 0.055 0.033
item_jm_ammo_light	2647.981445 2067.630859 5144.342285	0.452 0.061 0.051
item_jm_ammo_light	1937.086670 3977.276855 5128.374512	0.459 0.057 0.039
item_jm_ammo_light	3922.881592 4046.345947 5152.348633	0.465 0.064 0.044
item_jm_ammo_light	3923.933838 3909.164307 5152.350098	0.465 0.064 0.043
item_jm_ammo_light	4496.007813 4065.530029 5152.312988	0.461 0.075 0.056
item_jm_ammo_light	4501.555664 3884.724365 5152.360840	0.466 0.060 0.039
item_jm_ammo_light	4880.401367 4055.422607 5152.344727	0.465 0.064 0.045
item_jm_ammo_light	4879.533203 3878.501465 5152.344727	0.465 0.064 0.045
item_jm_ammo_light	3161.884033 3987.584473 5128.337402	0.465 0.067 0.049
item_jm_ammo_light	3562.146729 2891.196289 5128.373535	0.468 0.059 0.036
item_jm_ammo_heavy	4689.632324 2863.266846 5000.435059	-0.651 -0.005 0.506
item_jm_ammo_heavy	3050.028809 2773.822510 5152.384766	-0.989 -0.010 0.885
item_jm_ammo_heavy	2954.038086 2774.680420 5152.425781	-0.668 -0.006 0.597
item_jm_ammo_heavy	2414.891846 2967.482422 5152.383789	0.556 -0.001 0.504
item_jm_ammo_heavy	2415.004639 2788.482422 5152.430664	-0.636 -0.007 0.565
item_jm_ammo_heavy	2596.414795 2072.377197 5144.414063	-0.771 -0.005 0.687
item_jm_ammo_heavy	4134.921875 4789.973633 5144.376953	0.473 0.018 -0.294
item_jm_ammo_heavy	2027.098145 3960.840332 5000.372070	0.766 -0.119 -0.531
item_jm_ammo_heavy	3676.033447 4080.178711 5152.385742	-1.301 -0.017 1.138
item_jm_ammo_heavy	3815.271973 4081.051270 5152.480469	0.287 -0.013 0.236
item_jm_ammo_heavy	4303.563965 4070.199707 5152.376465	-0.341 0.002 -0.221
item_jm_ammo_heavy	4308.626465 3881.274170 5152.379883	-0.053 0.002 0.130
weapon_jm_primary_smg	5038.727051 4053.240479 5127.462402	-7.426 0.732 -1.759
weapon_jm_primary_smg	1678.533325 2806.465576 5127.449707	-7.363 0.841 -1.891
weapon_jm_primary_smg	1662.357544 2963.577393 5127.456543	-7.396 0.828 -1.822
weapon_jm_primary_smg	5068.357422 3897.031250 5127.479004	-7.507 0.719 -1.589
weapon_jm_grenade_smoke	2608.314697 2800.842529 5152.161621	-0.732 -1.334 -0.427
weapon_jm_grenade_smoke	2602.328613 2960.684570 5152.124512	-1.129 -1.267 -0.658
weapon_jm_grenade_smoke	3556.174805 2880.200928 5128.127930	-1.097 -1.265 -0.639
weapon_jm_grenade_smoke	3950.176270 2264.765381 5144.174316	-2.026 -1.423 -1.107
weapon_jm_grenade_smoke	2755.974854 4599.929688 5144.172363	-2.088 -1.401 -1.140
weapon_jm_grenade_smoke	4113.649902 3897.148438 5152.136230	-1.002 -1.284 -0.584
weapon_jm_grenade_smoke	4114.129883 4054.825928 5152.140625	-0.958 -1.299 -0.558
weapon_jm_grenade_smoke	3178.188721 3972.839844 5128.129395	-1.080 -1.264 -0.629
weapon_jm_grenade_smoke	1707.047241 2878.253662 5296.152832	-2.822 -1.186 -1.543
weapon_jm_grenade_smoke	5013.057129 3975.473633 5296.166504	-2.320 -1.370 -1.269
weapon_jm_primary_lmg	3542.456543 2869.416504 5125.733887	12.395 0.616 2.620
weapon_jm_primary_lmg	3163.297363 3957.041748 5125.784668	18.568 4.799 2.408
weapon_jm_primary_lmg	4767.505859 2508.427002 5141.808105	18.634 -0.370 2.992
weapon_jm_primary_lmg	1958.126709 4332.828125 5141.808105	18.634 -0.366 2.992
weapon_jm_primary_rifle	3987.317383 2898.660645 5155.066406	0.172 3.651 -87.228
weapon_jm_primary_rifle	3991.717529 2940.111084 5155.090332	0.139 0.421 -87.488
weapon_jm_primary_rifle	4128.164063 2768.264893 5155.091797	0.119 -0.069 -87.766
weapon_jm_primary_rifle	4156.733398 2778.208984 5155.077637	0.156 0.095 -87.350
weapon_jm_primary_rifle	2739.670410 3961.130615 5155.124023	0.100 -0.415 -87.852
weapon_jm_primary_rifle	2733.658936 3916.871582 5155.132324	0.080 -3.436 -87.956
weapon_jm_primary_rifle	2562.841309 4068.942627 5155.151855	0.063 2.127 -88.244
weapon_jm_primary_rifle	2605.556641 4076.110352 5155.083496	-0.173 -0.966 -87.827
weapon_jm_secondary_light	2219.678711 2942.829346 5152.143555	36.463 0.504 0.356
weapon_jm_secondary_light	2223.613770 2805.912598 5152.176758	36.292 0.406 0.191
weapon_jm_secondary_light	2796.658691 2968.139404 5152.156250	36.397 0.466 0.292
weapon_jm_secondary_light	2795.906982 2813.846680 5152.172852	36.311 0.417 0.209
weapon_jm_secondary_light	4783.458496 2882.730713 5128.088379	18.808 -0.802 -0.916
weapon_jm_secondary_light	1934.191650 3966.470215 5128.170410	36.712 0.380 0.066
weapon_jm_secondary_light	3921.490967 4065.849121 5152.162109	36.367 0.448 0.263
weapon_jm_secondary_light	3916.271484 3883.711182 5152.163086	36.363 0.446 0.259
weapon_jm_secondary_light	4495.641602 4043.758545 5152.172852	36.311 0.417 0.209
weapon_jm_secondary_light	4491.863770 3914.623047 5152.156250	36.397 0.466 0.292
weapon_jm_secondary_light	3159.971191 3975.528809 5128.151855	36.421 0.473 0.316
weapon_jm_secondary_light	3565.140625 2899.604004 5128.171387	36.321 0.416 0.220
weapon_jm_secondary_auto	1836.047729 2806.321533 5153.108398	-0.707 25.364 91.115
weapon_jm_secondary_auto	1833.979004 2948.858887 5153.110840	-0.879 25.103 91.396
weapon_jm_secondary_auto	4053.265869 4787.449707 5145.110840	-0.703 25.624 91.363
weapon_jm_secondary_auto	2664.870361 2073.332275 5145.109863	-0.651 25.630 91.255
weapon_jm_secondary_auto	4878.236816 4075.928711 5153.109863	-0.829 25.114 91.315
weapon_jm_secondary_auto	4883.304199 3910.802002 5153.108887	-0.755 25.123 91.198
weapon_jm_primary_sniper	4685.846191 2883.476074 4999.085449	3.693 13.285 64.791
weapon_jm_primary_sniper	2591.892334 2093.349854 5143.163086	3.513 13.212 65.241
weapon_jm_primary_sniper	4128.833984 4779.413574 5143.151855	3.539 13.219 65.176
weapon_jm_primary_sniper	2042.216187 3979.933350 4999.097656	3.665 13.272 64.861
weapon_jm_primary_shotgun	3020.446289 2770.505615 5153.486328	-0.415 -13.817 -89.598
weapon_jm_primary_shotgun	2926.270020 2769.213379 5153.498047	-0.488 -10.289 -89.782
weapon_jm_primary_shotgun	3706.346924 4079.104004 5153.494629	-0.473 -10.293 -90.015
weapon_jm_primary_shotgun	3789.276855 4073.255859 5153.497070	-0.485 -10.289 -89.830
item_jm_ammo_medium	5010.950195 4051.700439 5128.378418	-0.105 -0.020 -0.032
item_jm_ammo_medium	1709.353516 2804.992188 5128.394043	-0.092 -0.020 -0.028
item_jm_ammo_medium	3978.830322 2925.800781 5186.667480	-1.384 -0.666 0.049
item_jm_ammo_medium	3988.880615 2940.608887 5186.665527	0.007 0.030 0.007
item_jm_ammo_medium	3979.858398 2884.306152 5186.561035	0.015 0.025 0.016
item_jm_ammo_medium	3988.943604 2898.867432 5186.616699	0.011 0.030 0.011
item_jm_ammo_medium	4100.970215 2782.618164 5186.588867	0.013 0.028 0.014
item_jm_ammo_medium	4117.184082 2779.181152 5186.629395	-0.099 -0.020 -0.026
item_jm_ammo_medium	4160.462402 2780.064209 5186.579102	-0.142 -0.018 -0.037
item_jm_ammo_medium	4146.180664 2775.943848 5186.648438	-0.082 -0.020 -0.022
item_jm_ammo_medium	2606.295898 4080.926270 5186.664551	0.332 1.312 0.197
item_jm_ammo_medium	2619.467285 4078.117188 5186.655762	0.369 1.314 0.219
item_jm_ammo_medium	2557.659912 4079.652100 5186.687988	0.235 1.308 0.139
item_jm_ammo_medium	2573.894531 4077.432129 5186.639648	0.436 1.323 0.258
item_jm_ammo_medium	2733.013672 3966.964600 5186.604492	0.120 0.020 -0.031
item_jm_ammo_medium	2726.266357 3956.364502 5186.583984	-0.138 -0.019 -0.036
item_jm_ammo_medium	2734.160400 3928.373535 5186.600098	-0.124 -0.020 -0.033
item_jm_ammo_medium	2726.074463 3913.851807 5186.614258	-0.112 -0.020 -0.029
item_jm_ammo_medium	1695.349609 2960.565674 5128.419922	-0.069 -0.020 -0.021
item_jm_ammo_medium	5031.060547 3894.566650 5128.456055	-0.268 0.030 -0.359
weapon_jm_grenade_fire	3981.598389 2931.216309 5156.280273	-35.568 -56.121 -89.593
weapon_jm_grenade_fire	4119.872070 2785.113281 5156.366699	-36.844 -54.910 -91.626
weapon_jm_grenade_fire	2980.307617 2770.881836 5154.164551	-37.076 -55.693 -91.726
weapon_jm_grenade_fire	3976.210205 2269.464111 5146.089844	-35.661 -56.709 -89.879
weapon_jm_grenade_fire	2785.807861 4600.400879 5146.104004	-35.873 -56.509 -90.201
weapon_jm_grenade_fire	2727.674316 3953.576416 5156.323730	-36.212 -55.530 -90.605
weapon_jm_grenade_fire	2581.868896 4073.490234 5156.378906	19.127 -33.188 -88.930
weapon_jm_grenade_fire	3747.911865 4089.376953 5154.241699	8.365 -41.017 -93.366
weapon_jm_grenade_fire	1955.778809 4343.624023 5146.081055	-35.526 -56.830 -89.675
weapon_jm_grenade_fire	4771.721191 2520.965332 5146.083984	-35.571 -56.792 -89.743
ent_jm_carepackage_spawn	4822.604492 2879.037842 5128.399902	0.004 0.000 0.003
ent_jm_carepackage_spawn	1901.366333 3976.196289 5128.388672	0.003 0.000 0.002
ent_jm_carepackage_spawn	4789.715820 2880.100342 5504.369141	0.024 -0.028 0.028
ent_jm_carepackage_spawn	1934.373047 3975.010010 5504.417969	-0.005 -0.023 0.037
ent_jm_carepackage_spawn	2751.348633 4555.885254 5144.357910	0.001 0.000 0.000
ent_jm_carepackage_spawn	1965.163086 4284.268555 5144.405273	0.005 0.000 0.005
ent_jm_carepackage_spawn	4107.667480 4741.552246 5144.416504	0.010 -0.000 0.009
ent_jm_carepackage_spawn	4136.438965 3394.507324 5144.336914	0.001 0.000 -0.000
ent_jm_carepackage_spawn	3952.930664 3381.125488 5144.364258	0.001 0.000 0.000
ent_jm_carepackage_spawn	4746.745117 3185.104980 5144.374023	0.002 0.000 0.001
ent_jm_carepackage_spawn	2809.130615 3567.320068 5144.388184	0.002 0.000 0.002
ent_jm_carepackage_spawn	2551.199219 3298.610107 5144.384766	0.002 0.000 0.001
ent_jm_carepackage_spawn	1962.541260 3641.043701 5144.406738	0.006 0.000 0.005
ent_jm_carepackage_spawn	4750.018555 2562.649170 5144.395020	0.003 0.000 0.002
ent_jm_carepackage_spawn	3944.992920 2310.162109 5144.353516	0.001 0.000 -0.000
ent_jm_carepackage_spawn	2620.250488 2130.504150 5144.386719	0.002 0.000 0.001
ent_jm_carepackage_spawn	4367.610840 2862.850098 5128.398438	0.004 0.000 0.003
ent_jm_carepackage_spawn	3822.571533 2857.913818 5128.370605	0.001 0.000 0.000
ent_jm_carepackage_spawn	3428.311523 2884.622559 5128.386719	0.003 0.000 0.001
ent_jm_carepackage_spawn	3083.809570 2874.608887 5128.343262	-0.011 0.005 -0.001
ent_jm_carepackage_spawn	2693.960449 2794.039551 5128.400391	-0.018 0.010 -0.011
ent_jm_carepackage_spawn	2322.338623 2958.915527 5128.425781	-0.006 0.016 -0.010
ent_jm_carepackage_spawn	1579.016357 2875.241943 5128.420410	0.012 -0.000 0.011
ent_jm_carepackage_spawn	2325.964355 3993.442383 5128.447754	0.089 -0.000 0.088
