# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_mines
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	1459.971924 2519.105225 53.253361	2.274 -18.466 -85.424
weapon_jm_secondary_heavy	1480.320557 2517.449219 53.132412	2.222 -18.469 -84.101
weapon_jm_secondary_heavy	1242.561157 -113.306244 45.099689	2.209 -18.342 -83.764
weapon_jm_secondary_heavy	1249.417603 -126.731468 45.142857	2.226 -18.490 -84.207
weapon_jm_secondary_heavy	544.126587 1037.032471 45.132462	2.222 -18.469 -84.101
weapon_jm_grenade_tag	1259.753784 -115.945992 44.435223	-2.780 -1.170 -1.520
weapon_jm_grenade_tag	1264.823486 -76.896767 44.453190	-2.120 -1.402 -1.159
weapon_jm_grenade_tag	-1256.520752 1358.274170 44.451435	-2.185 -1.389 -1.195
weapon_jm_grenade_jump	-293.291351 356.378967 44.450512	-2.218 -1.361 -1.213
weapon_jm_grenade_jump	-331.200745 355.263367 44.466228	-1.642 -1.464 -0.898
weapon_jm_grenade_jump	-1259.758911 1327.849365 44.450535	-2.218 -1.361 -1.213
weapon_jm_primary_smg	159.930710 2157.175781 45.374783	0.308 6.177 -87.275
weapon_jm_primary_smg	164.347885 2196.660645 45.375385	0.287 6.175 -87.249
weapon_jm_grenade_glue	1427.332275 2523.812744 57.854820	-0.840 -0.061 1.504
weapon_jm_grenade_glue	1474.898926 2527.698242 57.699947	-0.057 0.000 -0.033
weapon_jm_grenade_glue	274.389435 2282.995361 49.714733	-0.052 0.000 -0.030
weapon_jm_grenade_glue	229.136368 2280.650146 49.758564	-0.038 0.000 -0.021
weapon_jm_grenade_glue	2395.466309 811.599182 49.744270	-0.042 0.000 -0.024
weapon_jm_primary_lmg	542.944641 1008.558350 42.028809	18.479 -0.508 3.524
weapon_jm_primary_rifle	1460.306763 2519.201904 173.228745	0.008 12.030 -88.223
weapon_jm_primary_rifle	1501.197754 2511.410645 173.226929	-0.023 10.970 -88.247
weapon_jm_primary_rifle	1909.655518 339.697479 80.599495	0.147 11.253 -87.426
weapon_jm_primary_rifle	1910.783325 299.384338 80.570641	0.187 11.252 -87.107
weapon_jm_primary_rifle	2075.841553 1625.727417 45.140324	0.177 11.252 -87.186
weapon_jm_primary_rifle	-982.270691 1375.548096 45.138947	0.179 11.252 -87.171
weapon_jm_secondary_light	1411.712769 2518.731445 53.175026	-0.422 34.068 89.718
weapon_jm_secondary_light	1433.943359 2520.692871 53.175236	-0.455 34.067 89.752
weapon_jm_secondary_light	269.751831 2273.297119 45.142754	-0.011 38.752 89.295
weapon_jm_secondary_light	285.013428 2271.800293 45.176216	-0.598 34.060 89.899
weapon_jm_secondary_light	-298.332764 349.080688 45.175858	-0.546 34.063 89.846
weapon_jm_secondary_light	-283.267426 342.130005 45.176418	-0.635 34.059 89.938
weapon_jm_secondary_light	1246.070801 -66.321129 45.176430	-0.635 34.059 89.938
weapon_jm_secondary_light	1246.708618 -83.369560 45.176193	-0.598 34.060 89.899
weapon_jm_secondary_light	1951.348022 513.052124 45.176018	-0.571 34.062 89.872
weapon_jm_secondary_light	1955.563965 497.379028 45.176418	-0.635 34.059 89.938
weapon_jm_secondary_light	-1248.265137 1317.798584 45.176689	-0.674 34.057 89.979
weapon_jm_secondary_light	-1247.979492 1341.992920 45.176147	-0.589 34.061 89.890
weapon_jm_secondary_light	-1246.860229 1373.305664 45.175880	-0.546 34.063 89.846
weapon_jm_secondary_auto	218.012436 2273.999756 45.391956	-0.680 25.626 91.315
weapon_jm_secondary_auto	237.469223 2274.507813 45.387390	0.228 25.337 91.516
weapon_jm_secondary_auto	-353.386078 357.385773 45.393875	-0.797 25.608 91.557
weapon_jm_secondary_auto	-339.400146 346.016693 45.390873	-0.617 25.634 91.184
weapon_jm_secondary_auto	1959.506470 471.069977 45.389668	-0.545 25.639 91.035
weapon_jm_secondary_auto	1958.742798 453.330780 45.390762	-0.610 25.634 91.171
weapon_jm_primary_sniper	-304.949768 31.098402 43.400249	3.615 13.251 64.985
weapon_jm_primary_sniper	-343.514923 48.074856 43.455833	3.487 13.205 65.306
