# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_nightclub
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	1128.749146 666.073608 424.853027	2.223 -18.473 -84.119
weapon_jm_secondary_heavy	-488.488342 664.536926 424.822968	2.211 -18.361 -83.811
weapon_jm_grenade_tag	1166.342896 -379.260193 104.129227	-1.006 -1.579 -1.537
weapon_jm_grenade_tag	1080.264038 -523.577515 104.135109	-0.947 -1.604 -1.447
weapon_jm_grenade_tag	938.774231 -531.933472 104.168640	-0.615 -1.722 -0.936
weapon_jm_grenade_tag	-382.353638 -527.294067 104.189682	-0.406 -1.752 -0.615
weapon_jm_grenade_tag	-522.771912 -472.055664 104.133667	-0.963 -1.567 -1.468
weapon_jm_grenade_tag	-525.144470 -312.048401 104.141975	-0.883 -1.638 -1.340
weapon_jm_grenade_tag	1128.135498 -441.786163 352.741577	-0.924 -1.761 -1.085
weapon_jm_grenade_tag	-338.138763 -443.638885 352.748322	-0.845 -1.780 -0.991
weapon_jm_grenade_jump	324.457458 808.604431 440.165497	-2.356 -1.359 -1.288
weapon_jm_grenade_jump	-1172.667236 -25.397402 64.172073	-1.873 -1.400 -1.348
weapon_jm_grenade_jump	1122.133423 675.752930 424.156219	-2.698 -1.246 -1.475
weapon_jm_grenade_jump	-482.540802 682.896790 424.182922	-1.717 -1.464 -0.939
weapon_jm_primary_smg	322.034119 -502.046143 63.432785	-7.278 0.961 -2.066
weapon_jm_primary_smg	-264.508270 -618.356689 357.375641	0.269 6.177 -87.227
weapon_jm_primary_smg	893.290527 -612.433472 357.374481	0.310 6.184 -87.277
weapon_jm_primary_smg	1455.955078 409.623718 65.092880	0.331 6.551 -87.304
weapon_jm_primary_smg	264.181763 41.904739 -282.624176	0.263 6.174 -87.219
weapon_jm_primary_smg	371.321503 36.734135 -282.626007	0.328 6.191 -87.300
weapon_jm_grenade_glue	-1177.564941 29.231745 69.453941	0.050 0.000 0.029
weapon_jm_grenade_glue	-968.950989 497.334747 102.403465	0.060 4.837 -0.194
weapon_jm_grenade_glue	-824.145752 -499.165375 102.427452	-0.561 -0.441 1.339
weapon_jm_grenade_glue	407.759674 40.119038 -278.250427	-0.041 0.000 -0.023
weapon_jm_grenade_glue	225.252655 45.284801 -278.295715	0.000 -0.000 -0.067
weapon_jm_primary_lmg	336.377106 634.799683 -298.193085	18.630 -0.512 2.955
weapon_jm_primary_rifle	1029.390625 657.826355 101.153175	0.159 11.252 -87.327
weapon_jm_primary_rifle	-384.993866 664.876587 101.149544	0.164 11.253 -87.287
weapon_jm_primary_rifle	323.630859 757.045898 192.937439	0.123 3.580 -88.494
weapon_jm_primary_rifle	-729.005676 293.183594 -282.824951	0.128 11.253 -87.572
weapon_jm_primary_rifle	1176.902954 147.569901 -282.806732	0.103 11.254 -87.773
weapon_jm_secondary_light	-529.039001 -343.896301 104.189941	36.285 0.366 0.101
weapon_jm_secondary_light	-535.924255 -414.572998 104.155602	36.539 0.446 0.237
weapon_jm_secondary_light	-528.387756 -497.414124 104.176941	36.381 0.396 0.153
weapon_jm_secondary_light	-473.105438 -532.779419 104.194221	36.253 0.356 0.085
weapon_jm_secondary_light	-394.793549 -526.407959 104.154686	36.546 0.448 0.241
weapon_jm_secondary_light	961.249451 -529.343140 104.163246	36.483 0.428 0.207
weapon_jm_secondary_light	1045.967896 -525.599609 104.176941	36.381 0.396 0.153
weapon_jm_secondary_light	1160.693970 -497.223267 104.148895	36.589 0.462 0.264
weapon_jm_secondary_light	1168.318970 -395.032257 104.176941	36.381 0.396 0.153
weapon_jm_primary_sniper	321.502197 786.809387 439.110748	3.634 13.261 64.937
weapon_jm_primary_sniper	322.516418 -90.700439 319.144012	3.568 12.656 65.234
weapon_jm_primary_shotgun	1261.385864 -570.915588 65.498230	-0.489 -10.287 -89.764
weapon_jm_primary_shotgun	-556.666748 -619.762329 65.498306	-0.489 -10.287 -89.759
weapon_jm_primary_shotgun	116.205322 675.254333 1.499458	-0.494 -10.284 -89.675
weapon_jm_primary_shotgun	509.007538 668.674561 1.494539	-0.472 -10.293 -90.031
weapon_jm_primary_shotgun	1810.063110 -189.662415 65.493607	-0.456 -9.739 -89.516
weapon_jm_grenade_frag	-1178.260010 3.373348 66.044853	13.095 -31.786 -89.019
weapon_jm_grenade_frag	361.880157 827.568481 192.744370	21.235 -14.864 -40.199
weapon_jm_grenade_frag	281.591339 825.303101 193.922348	-43.818 -50.263 -85.757
weapon_jm_grenade_frag	1126.111450 -11.622297 354.715271	-36.278 -55.459 -90.722
weapon_jm_grenade_frag	-334.717804 -13.071701 354.675903	-35.697 -55.991 -89.808
weapon_jm_grenade_health	295.158234 594.592102 -295.657410	-0.105 0.000 -0.040
weapon_jm_grenade_health	1798.739868 320.630768 200.388779	-0.076 0.000 -0.029
weapon_jm_grenade_health	1464.573364 -186.075485 192.359634	-0.094 0.000 -0.036
ent_jm_carepackage_spawn	1407.215332 122.165077 64.337280	0.001 0.000 -0.000
ent_jm_carepackage_spawn	1572.654663 187.187729 64.374130	0.002 0.000 0.001
ent_jm_carepackage_spawn	1685.313110 53.096668 64.454514	-0.010 -0.082 0.064
