# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_parksquare
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-76.917290 -2141.072266 -978.823975	2.239 -18.493 -84.560
weapon_jm_secondary_heavy	1332.420532 315.658539 56.970585	1.971 -18.759 -85.846
weapon_jm_secondary_heavy	1290.167236 -264.598785 96.729004	2.168 -18.665 -85.503
weapon_jm_secondary_heavy	590.565979 -1541.938721 56.970505	1.883 -18.769 -85.998
weapon_jm_secondary_heavy	288.374115 -881.879883 56.970585	1.971 -18.759 -85.846
weapon_jm_secondary_heavy	18.523973 -817.388794 56.970695	2.067 -18.698 -85.678
weapon_jm_secondary_heavy	-777.758240 -1531.280029 97.420128	2.224 -18.472 -84.155
weapon_jm_secondary_heavy	-1171.124268 434.645630 64.970520	1.913 -19.148 -85.947
weapon_jm_secondary_heavy	-1043.688232 659.395325 64.970436	1.848 -19.164 -86.059
weapon_jm_secondary_heavy	1119.479980 496.982147 104.970589	1.974 -20.577 -85.840
weapon_jm_secondary_heavy	1025.054688 228.485718 256.851227	2.222 -18.469 -84.101
weapon_jm_secondary_heavy	509.541107 182.810577 97.371529	2.004 -18.733 -85.787
weapon_jm_secondary_heavy	297.017548 -807.050171 64.970520	1.911 -18.795 -85.949
weapon_jm_secondary_heavy	-811.141602 -683.156799 64.970619	2.000 -18.734 -85.794
weapon_jm_secondary_heavy	-1376.643677 221.693924 336.970612	1.992 -18.745 -85.809
weapon_jm_grenade_tag	-50.032387 52.231247 72.199989	-0.641 -1.566 -0.650
weapon_jm_grenade_tag	44.148914 -42.646244 72.148117	-1.746 -1.380 -1.779
weapon_jm_grenade_tag	-48.642448 -34.990391 72.144341	-1.827 -1.288 -1.861
weapon_jm_grenade_tag	47.194950 47.712719 72.167496	-1.334 -1.499 -1.355
weapon_jm_grenade_tag	1015.165527 331.778748 65.610435	19.066 48.996 -90.114
weapon_jm_grenade_tag	-689.739563 -896.681396 64.112862	-1.168 -1.482 -1.787
weapon_jm_grenade_tag	51.321106 -2142.364502 -979.565979	-2.780 -1.170 -1.521
weapon_jm_grenade_tag	-621.094604 -944.864685 96.730072	-2.320 -1.370 -1.269
weapon_jm_grenade_tag	498.547638 182.622299 96.565529	-1.394 -1.486 -1.419
weapon_jm_grenade_tag	-1385.041260 233.878906 336.150543	-1.694 -1.375 -1.726
weapon_jm_grenade_jump	-933.429199 -35.071304 616.180847	-1.588 -1.441 -1.142
weapon_jm_grenade_jump	387.475586 959.702332 200.139282	-0.973 -1.300 -0.567
