# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_pirate_jet
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	1183.269165 111.278763 -82.849442	2.229 -18.490 -84.289
weapon_jm_secondary_heavy	1285.897339 156.267395 38.707005	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	288.755188 -1260.651245 181.130402	2.221 -18.466 -84.082
weapon_jm_secondary_heavy	-480.792847 26.698509 109.158241	2.232 -18.490 -84.364
weapon_jm_grenade_tag	241.602203 204.646057 -91.548836	-2.185 -1.389 -1.195
weapon_jm_grenade_tag	239.796448 173.556213 -91.557472	-2.502 -1.323 -1.368
weapon_jm_grenade_tag	256.978577 194.400940 -91.544518	-2.026 -1.422 -1.108
weapon_jm_grenade_tag	232.423080 -210.172119 -91.527771	-1.413 -1.484 -0.772
weapon_jm_grenade_tag	240.843292 -184.948746 -91.539749	-1.852 -1.448 -1.012
weapon_jm_grenade_tag	261.253235 -196.618164 -91.545357	-2.057 -1.402 -1.125
weapon_jm_grenade_jump	-19.841057 1366.281128 -91.548836	-2.185 -1.389 -1.195
weapon_jm_grenade_jump	316.358215 -1.064888 272.190704	-1.372 -1.355 -0.847
weapon_jm_grenade_jump	288.141968 -1298.021973 180.449356	-2.252 -1.362 -1.231
weapon_jm_grenade_jump	547.780884 1.088625 32.209183	0.658 1.704 0.606
weapon_jm_primary_smg	-483.090515 8.514808 -90.625191	0.298 6.174 -87.263
weapon_jm_primary_smg	-4.445851 -994.843262 -82.622665	0.208 4.680 -87.152
weapon_jm_primary_smg	455.749939 -230.039505 109.375565	0.282 6.176 -87.243
weapon_jm_grenade_glue	1317.604980 153.864120 43.327740	0.038 -0.000 -0.023
weapon_jm_grenade_glue	410.195313 -11.775561 113.751663	-0.040 0.000 -0.022
weapon_jm_grenade_glue	-248.158905 -76.553841 -122.505447	-0.033 0.000 -0.013
weapon_jm_primary_lmg	100.250374 -4.531220 -1.967169	12.297 0.417 2.707
weapon_jm_primary_rifle	1382.833862 -253.049850 -90.853279	0.168 11.252 -87.259
weapon_jm_primary_rifle	35.055817 -212.105667 -90.847122	0.159 11.252 -87.327
weapon_jm_primary_rifle	-476.189819 -23.299454 -90.859909	0.177 11.252 -87.186
weapon_jm_secondary_light	257.713837 1368.956299 -90.824120	-0.589 34.061 89.890
weapon_jm_secondary_light	247.656097 -205.502579 -90.824120	-0.589 34.061 89.890
weapon_jm_secondary_light	250.013214 -178.075974 -90.822815	-0.797 34.051 90.105
weapon_jm_secondary_light	239.490738 -192.362427 -90.865685	-0.539 34.291 89.478
weapon_jm_secondary_light	252.107208 178.217194 -90.825005	-0.448 34.067 89.745
weapon_jm_secondary_light	238.544205 192.146973 -90.824005	-0.607 34.060 89.909
weapon_jm_secondary_light	254.035522 212.206100 -90.825005	-0.448 34.067 89.745
weapon_jm_secondary_light	-493.441742 -8.337642 -90.823112	-0.750 34.052 90.057
weapon_jm_secondary_light	-495.363251 4.974497 -90.822968	-0.773 34.052 90.080
weapon_jm_secondary_light	-482.551178 -25.683611 109.177338	-0.773 34.052 90.080
weapon_jm_secondary_auto	1.991042 1366.421143 -90.605385	-0.855 25.578 91.678
weapon_jm_secondary_auto	272.382629 -991.796387 -82.606682	-0.779 25.609 91.519
weapon_jm_secondary_auto	408.687958 9.128832 109.393188	-0.752 25.617 91.465
weapon_jm_secondary_auto	-240.095825 -80.093185 -126.889381	-0.727 25.648 91.324
